,acronym,country_name,id,name,grant_id,grant_year,grant_title
201,,South Korea,grid.419666.a,Samsung (South Korea),US-10036884-B2,2013,Display including electrowetting prism array
202,,United States,grid.421234.2,ExxonMobil (United States),WO-2016094830-A1,2015,METHODS OF SEPARATING AROMATIC COMPOUNDS FROM LUBE BASE STOCKES
203,ESI,United States,grid.480080.4,Electro Scientific Industries (United States),US-9776277-B2,2014,Phased array steering apparatus for laser beam positioning systems
204,,Japan,grid.410834.a,Panasonic (Japan),WO-2014024379-A1,2013,"MESOPOROUS SILICA FINE PARTICLES, METHOD FOR PRODUCING MESOPOROUS SILICA FINE PARTICLES, MESOPOROUS SILICA FINE PARTICLE-CONTAINING COMPOSITION, MESOPOROUS SILICA FINE PARTICLE-CONTAINING MOLDING, AND ORGANIC ELECTROLUMINESCENCE ELEMENT"
205,,Denmark,grid.426261.5,Oticon (Denmark),EP-3185590-A1,2016,A HEARING DEVICE COMPRISING A SENSOR FOR PICKING UP ELECTROMAGNETIC SIGNALS FROM THE BODY
206,,United States,grid.264772.2,Texas State University,US-9082011-B2,2013,Person identification using ocular biometrics with liveness detection
207,,United States,grid.455373.3,Beam Engineering for Advanced Measurements (United States),US-9715048-B2,2015,Broadband optics for manipulating light beams and images
208,USA,United States,grid.420176.6,United States Army,US-9715048-B2,2015,Broadband optics for manipulating light beams and images
209,,United States,grid.417480.e,Raytheon (United States),US-9632345-B2,2013,"Liquid crystal control structure, tip-tilt-focus optical phased array and high power adaptive optic"
210,,South Korea,grid.419666.a,Samsung (South Korea),US-9557572-B2,2014,Three dimensional (3D) image display device and liquid crystal lens panel therefor
211,,United States,grid.417480.e,Raytheon (United States),US-9835856-B2,2013,Adaptive optic having meander resistors
212,,United States,grid.417480.e,Raytheon (United States),US-10056731-B2,2016,Planar waveguide (PWG) amplifier-based laser system with adaptive optic wavefront correction in low-power beam path
213,,United States,grid.417480.e,Raytheon (United States),US-10069270-B2,2016,Planar waveguides with enhanced support and/or cooling features for high-power laser systems
214,,United States,grid.421234.2,ExxonMobil (United States),WO-2016094778-A1,2015,ORGANOSILICA MATERIALS AND USES THEREOF
215,,United States,grid.38142.3c,Harvard University,US-9137516-B2,2013,Sub-diffraction limit image resolution in three dimensions
216,,United States,grid.455373.3,Beam Engineering for Advanced Measurements (United States),US-20150077700-A1,2014,METHODS AND APPARATUS FOR OPHTHALMIC DEVICES INCLUDING CYCLOIDALLY ORIENTED LIQUID CRYSTAL LAYERS
217,J&J,United States,grid.417429.d,Johnson & Johnson (United States),US-20150077700-A1,2014,METHODS AND APPARATUS FOR OPHTHALMIC DEVICES INCLUDING CYCLOIDALLY ORIENTED LIQUID CRYSTAL LAYERS
218,,United States,grid.38142.3c,Harvard University,US-10024796-B2,2011,Nucleic acid nanostructure barcode probes
219,,United States,grid.65499.37,Dana-Farber Cancer Institute,US-10024796-B2,2011,Nucleic acid nanostructure barcode probes
220,,United States,grid.38142.3c,Harvard University,US-10073035-B2,2016,Sub-diffraction limit image resolution and other imaging techniques
221,,Belgium,grid.5342.0,Ghent University,WO-2013001046-A1,2012,METHODS AND SYSTEMS FOR TRIMMING PHOTONIC DEVICES
222,,South Korea,grid.419666.a,Samsung (South Korea),US-9664912-B2,2013,Image display and liquid crystal lens therefor
223,,United States,grid.249880.f,Jackson Laboratory,EP-2631633-A1,2009,3D biplane microscopy
224,UMS,United States,grid.411025.3,University of Maine System,EP-2631633-A1,2009,3D biplane microscopy
225,,United States,grid.421234.2,ExxonMobil (United States),WO-2016094843-A3,2015,OLEFIN POLYMERIZATION CATALYST SYSTEM COMPRISING MESOPOROUS ORGANOSILICA SUPPORT
226,,United States,grid.417480.e,Raytheon (United States),US-9470953-B2,2013,High power optical switch
227,,United States,grid.38142.3c,Harvard University,US-8564792-B2,2008,Sub-diffraction limit image resolution in three dimensions
228,CU,United States,grid.266185.e,University of Colorado System,US-8620065-B2,2011,"Methods and systems for three dimensional optical imaging, sensing, particle localization and manipulation"
229,UCB,United States,grid.266190.a,University of Colorado Boulder,US-8620065-B2,2011,"Methods and systems for three dimensional optical imaging, sensing, particle localization and manipulation"
230,,United States,grid.420451.6,Google,US-9335548-B1,2013,Head-wearable display with collimated light source and beam steering mechanism
231,,United States,grid.471192.8,Delphi (United States),US-8823641-B2,2012,System for projecting 3D images and detecting gestures
