,name,position,score,frequency,pubid,title,year
40,effectiveness,41,0.05,8,pub.1094467700,,2014
41,design,42,0.02,13,pub.1094467700,,2014
0,general class,1,1.0,1,pub.1061804345,,2014
1,class,2,0.97,3,pub.1061804345,,2014
2,priors,3,0.94,1,pub.1061804345,,2014
3,group-sparse modeling,4,0.9,1,pub.1061804345,,2014
4,modeling,5,0.87,5,pub.1061804345,,2014
5,Bayesian framework,6,0.84,2,pub.1061804345,,2014
6,framework,7,0.81,3,pub.1061804345,,2014
7,special case,8,0.77,1,pub.1061804345,,2014
8,cases,9,0.74,4,pub.1061804345,,2014
9,class corresponds,10,0.71,1,pub.1061804345,,2014
10,corresponds,11,0.68,1,pub.1061804345,,2014
11,version,12,0.65,1,pub.1061804345,,2014
12,sparse modeling,13,0.61,1,pub.1061804345,,2014
13,prior formulation,14,0.58,1,pub.1061804345,,2014
14,formulation,15,0.55,2,pub.1061804345,,2014
15,properties,16,0.52,24,pub.1061804345,,2014
16,different modeling approaches,17,0.48,1,pub.1061804345,,2014
17,modeling approach,18,0.45,1,pub.1061804345,,2014
18,approach,19,0.42,18,pub.1061804345,,2014
19,connection,20,0.39,1,pub.1061804345,,2014
20,estimation procedure,21,0.35,1,pub.1061804345,,2014
21,procedure,22,0.32,3,pub.1061804345,,2014
22,variational inference,23,0.29,1,pub.1061804345,,2014
23,inference,24,0.26,2,pub.1061804345,,2014
24,Bayesian estimation,25,0.23,1,pub.1061804345,,2014
25,estimation,26,0.19,8,pub.1061804345,,2014
26,deterministic inference,27,0.16,1,pub.1061804345,,2014
27,flexibility,28,0.13,3,pub.1061804345,,2014
28,extension,29,0.1,2,pub.1061804345,,2014
29,multiple measurements,30,0.06,1,pub.1061804345,,2014
30,group correlations,31,0.03,1,pub.1061804345,,2014
0,development,1,1.0,27,pub.1020466100,,2014
0,third-order sum frequency generation,1,1.0,1,pub.1028022090,,2014
1,sum frequency generation,2,0.96,1,pub.1028022090,,2014
2,frequency generation,3,0.92,1,pub.1028022090,,2014
3,generation,4,0.88,14,pub.1028022090,,2014
4,optical processes,5,0.85,1,pub.1028022090,,2014
6,generation mechanism,7,0.77,1,pub.1028022090,,2014
7,mechanism,8,0.73,7,pub.1028022090,,2014
8,third harmonic generation,9,0.69,1,pub.1028022090,,2014
9,harmonic generation,10,0.65,4,pub.1028022090,,2014
10,white-light supercontinuum,11,0.62,1,pub.1028022090,,2014
11,supercontinuum,12,0.58,1,pub.1028022090,,2014
12,spectra,13,0.54,9,pub.1028022090,,2014
13,spectrometer,14,0.5,1,pub.1028022090,,2014
14,ratio spectra,15,0.46,1,pub.1028022090,,2014
15,resonant enhancement,16,0.42,1,pub.1028022090,,2014
16,enhancement,17,0.38,7,pub.1028022090,,2014
17,electronic states,18,0.35,1,pub.1028022090,,2014
18,state,19,0.31,9,pub.1028022090,,2014
19,promising method,20,0.27,2,pub.1028022090,,2014
20,method,21,0.23,84,pub.1028022090,,2014
21,imaging,22,0.19,7,pub.1028022090,,2014
22,molecules,23,0.15,10,pub.1028022090,,2014
23,sum frequency generation spectroscopy,24,0.12,1,pub.1028022090,,2014
24,generation spectroscopy,25,0.08,1,pub.1028022090,,2014
25,spectroscopy,26,0.04,4,pub.1028022090,,2014
0,ice adhesion force,1,1.0,1,pub.1009140020,,2014
1,adhesion force,2,0.96,1,pub.1009140020,,2014
2,force,3,0.92,7,pub.1009140020,,2014
3,solid surface,4,0.88,1,pub.1009140020,,2014
4,surface,5,0.85,42,pub.1009140020,,2014
5,shearing forces,6,0.81,1,pub.1009140020,,2014
6,interface,7,0.77,9,pub.1009140020,,2014
7,ice,8,0.73,1,pub.1009140020,,2014
8,possibility,9,0.69,4,pub.1009140020,,2014
9,apparent values,10,0.65,1,pub.1009140020,,2014
10,values,11,0.62,13,pub.1009140020,,2014
11,influence,12,0.58,10,pub.1009140020,,2014
12,surface unevenness,13,0.54,1,pub.1009140020,,2014
13,method,14,0.5,84,pub.1009140020,,2014
14,nano scale,15,0.46,1,pub.1009140020,,2014
15,scanning probe microscope,16,0.42,1,pub.1009140020,,2014
16,probe microscope,17,0.38,1,pub.1009140020,,2014
17,microscope,18,0.35,11,pub.1009140020,,2014
18,copper oxide,19,0.31,1,pub.1009140020,,2014
19,oxide,20,0.27,3,pub.1009140020,,2014
20,test plate,21,0.23,1,pub.1009140020,,2014
21,plate,22,0.19,17,pub.1009140020,,2014
22,representative values,23,0.15,1,pub.1009140020,,2014
23,shearing stress,24,0.12,1,pub.1009140020,,2014
24,adhesion area,25,0.08,1,pub.1009140020,,2014
25,measurements,26,0.04,30,pub.1009140020,,2014
0,precise quantification,1,1.0,1,pub.1047137576,,2014
1,quantification,2,0.98,1,pub.1047137576,,2014
2,cellular potential,3,0.95,1,pub.1047137576,,2014
3,potential,4,0.93,11,pub.1047137576,,2014
4,stem cells,5,0.91,3,pub.1047137576,,2014
5,cells,6,0.88,5,pub.1047137576,,2014
6,human bone marrow-derived mesenchymal stem cells,7,0.86,1,pub.1047137576,,2014
7,bone marrow-derived mesenchymal stem cells,8,0.84,1,pub.1047137576,,2014
8,marrow-derived mesenchymal stem cells,9,0.81,1,pub.1047137576,,2014
9,mesenchymal stem cells,10,0.79,2,pub.1047137576,,2014
10,clinical stem cell therapy,11,0.77,1,pub.1047137576,,2014
11,stem cell therapy,12,0.74,1,pub.1047137576,,2014
12,cell therapy,13,0.72,2,pub.1047137576,,2014
13,multiple differentiation potential,14,0.7,1,pub.1047137576,,2014
14,differentiation potential,15,0.67,2,pub.1047137576,,2014
15,prediction of potential,16,0.65,1,pub.1047137576,,2014
16,differentiation culture,17,0.63,1,pub.1047137576,,2014
17,culture,18,0.6,4,pub.1047137576,,2014
18,multiple potentials,19,0.58,1,pub.1047137576,,2014
19,expansion,20,0.56,2,pub.1047137576,,2014
20,advances,21,0.53,2,pub.1047137576,,2014
21,multi-lineage differentiation potential,22,0.51,1,pub.1047137576,,2014
22,population,23,0.49,2,pub.1047137576,,2014
23,morphological features,24,0.47,2,pub.1047137576,,2014
24,expansion culture,25,0.44,1,pub.1047137576,,2014
25,gene-expression profiles,26,0.42,1,pub.1047137576,,2014
26,profile,27,0.4,4,pub.1047137576,,2014
27,undifferentiated cells,28,0.37,1,pub.1047137576,,2014
28,senescence-related genes,29,0.35,1,pub.1047137576,,2014
29,genes,30,0.33,1,pub.1047137576,,2014
30,cytoskeleton,31,0.3,1,pub.1047137576,,2014
31,decrease,32,0.28,4,pub.1047137576,,2014
32,stage,33,0.26,2,pub.1047137576,,2014
33,performance of morphology,34,0.23,1,pub.1047137576,,2014
34,morphology,35,0.21,4,pub.1047137576,,2014
35,gene expression,36,0.19,1,pub.1047137576,,2014
36,expression,37,0.16,2,pub.1047137576,,2014
37,combination of features,38,0.14,1,pub.1047137576,,2014
38,combination,39,0.12,6,pub.1047137576,,2014
39,such comparisons,40,0.09,1,pub.1047137576,,2014
40,list,41,0.07,1,pub.1047137576,,2014
41,human mesenchymal stem cells,42,0.05,2,pub.1047137576,,2014
42,intact cells,43,0.02,1,pub.1047137576,,2014
0,predictors,1,1.0,2,pub.1047610372,,2014
0,function,1,1.0,9,pub.1009550446,,2014
1,scanner,2,0.5,26,pub.1009550446,,2014
0,scanner,1,1.0,26,pub.1004947403,,2014
0,potentiality,1,1.0,2,pub.1052575650,,2014
1,novel surface treatment process,2,0.98,1,pub.1052575650,,2014
2,surface treatment process,3,0.96,1,pub.1052575650,,2014
3,treatment process,4,0.93,1,pub.1052575650,,2014
5,metallization of ceramics,6,0.89,1,pub.1052575650,,2014
6,metallization,7,0.87,1,pub.1052575650,,2014
7,ceramics,8,0.84,3,pub.1052575650,,2014
8,principles,9,0.82,4,pub.1052575650,,2014
9,ball milling,10,0.8,1,pub.1052575650,,2014
10,milling,11,0.78,1,pub.1052575650,,2014
11,energy,12,0.76,8,pub.1052575650,,2014
12,ultrasonic vibration,13,0.73,2,pub.1052575650,,2014
13,vibration,14,0.71,3,pub.1052575650,,2014
14,experiments,15,0.69,31,pub.1052575650,,2014
15,alumina,16,0.67,2,pub.1052575650,,2014
16,nickel,17,0.64,2,pub.1052575650,,2014
17,ceramic substrate,18,0.62,1,pub.1052575650,,2014
18,substrate,19,0.6,27,pub.1052575650,,2014
19,main emphasis,20,0.58,1,pub.1052575650,,2014
20,films,21,0.56,20,pub.1052575650,,2014
21,formation mechanism,22,0.53,1,pub.1052575650,,2014
22,results,23,0.51,56,pub.1052575650,,2014
23,impact treatment,24,0.49,1,pub.1052575650,,2014
24,ambient temperature,25,0.47,1,pub.1052575650,,2014
25,temperature,26,0.44,14,pub.1052575650,,2014
26,pressure,27,0.42,7,pub.1052575650,,2014
27,formation,28,0.4,7,pub.1052575650,,2014
28,adherent films,29,0.38,1,pub.1052575650,,2014
29,Ni,30,0.36,2,pub.1052575650,,2014
30,surface,31,0.33,42,pub.1052575650,,2014
31,alumina substrates,32,0.31,1,pub.1052575650,,2014
32,SEM,33,0.29,1,pub.1052575650,,2014
33,TEM observations,34,0.27,2,pub.1052575650,,2014
34,observations,35,0.24,4,pub.1052575650,,2014
35,tight contact,36,0.22,1,pub.1052575650,,2014
36,contact,37,0.2,4,pub.1052575650,,2014
37,plastic flow,38,0.18,1,pub.1052575650,,2014
38,flow,39,0.16,5,pub.1052575650,,2014
39,Ni films,40,0.13,1,pub.1052575650,,2014
40,main origin,41,0.11,1,pub.1052575650,,2014
41,high adhesion strength,42,0.09,1,pub.1052575650,,2014
42,adhesion strength,43,0.07,1,pub.1052575650,,2014
43,strength,44,0.04,6,pub.1052575650,,2014
44,mechanical metallization,45,0.02,1,pub.1052575650,,2014
0,technology,1,1.0,19,pub.1027618023,,2014
1,silicon,2,0.95,10,pub.1027618023,,2014
2,process wafers,3,0.91,2,pub.1027618023,,2014
3,wafers,4,0.86,18,pub.1027618023,,2014
4,new simulation results,5,0.82,1,pub.1027618023,,2014
5,results,6,0.77,56,pub.1027618023,,2014
6,model,7,0.73,23,pub.1027618023,,2014
7,new optics,8,0.68,1,pub.1027618023,,2014
8,optics,9,0.64,30,pub.1027618023,,2014
9,optical system,10,0.59,8,pub.1027618023,,2014
11,diffraction optics,12,0.5,1,pub.1027618023,,2014
12,polarization optics,13,0.45,1,pub.1027618023,,2014
13,profile,14,0.41,4,pub.1027618023,,2014
14,polarization status,15,0.36,1,pub.1027618023,,2014
15,light,16,0.32,23,pub.1027618023,,2014
16,optical simulation,17,0.27,1,pub.1027618023,,2014
17,simulations,18,0.23,26,pub.1027618023,,2014
18,diameter,19,0.18,4,pub.1027618023,,2014
19,depth,20,0.14,3,pub.1027618023,,2014
20,array,21,0.09,7,pub.1027618023,,2014
21,circuit,22,0.05,8,pub.1027618023,,2014
0,radiation,1,1.0,4,pub.1114801340,,2014
1,sensitivity,2,0.9,6,pub.1114801340,,2014
2,polymethylmethacrylate,3,0.8,2,pub.1114801340,,2014
3,mJ/cm2,4,0.7,1,pub.1114801340,,2014
4,lines,5,0.6,6,pub.1114801340,,2014
5,exposure,6,0.5,8,pub.1114801340,,2014
6,special emphasis,7,0.4,1,pub.1114801340,,2014
7,effect,8,0.3,49,pub.1114801340,,2014
8,thickness,9,0.2,12,pub.1114801340,,2014
9,contrast,10,0.1,7,pub.1114801340,,2014
0,technique,1,1.0,39,pub.1114793317,,2014
1,dosage control,2,0.91,1,pub.1114793317,,2014
2,exposure dose,3,0.82,1,pub.1114793317,,2014
3,dosage accuracy,4,0.73,1,pub.1114793317,,2014
4,first time,5,0.64,3,pub.1114793317,,2014
5,time,6,0.55,22,pub.1114793317,,2014
6,simple method,7,0.45,1,pub.1114793317,,2014
7,method,8,0.36,84,pub.1114793317,,2014
8,exposure apparatus,9,0.27,5,pub.1114793317,,2014
9,apparatus,10,0.18,11,pub.1114793317,,2014
10,exposure system,11,0.09,5,pub.1114793317,,2014
0,power margin,1,1.0,1,pub.1114744299,,2014
1,magneto-optical disks,2,0.96,2,pub.1114744299,,2014
2,disk,3,0.91,4,pub.1114744299,,2014
3,example,4,0.87,5,pub.1114744299,,2014
4,sensitivity,5,0.83,6,pub.1114744299,,2014
5,conditions,6,0.78,25,pub.1114744299,,2014
6,drive,7,0.74,6,pub.1114744299,,2014
7,writing method,8,0.7,1,pub.1114744299,,2014
8,method,9,0.65,84,pub.1114744299,,2014
9,mark edge recording,10,0.61,1,pub.1114744299,,2014
10,drive conditions,11,0.57,1,pub.1114744299,,2014
11,channel conditions,12,0.52,1,pub.1114744299,,2014
12,waveforms,13,0.48,3,pub.1114744299,,2014
13,writing power,14,0.43,1,pub.1114744299,,2014
14,power,15,0.39,5,pub.1114744299,,2014
15,equalizer,16,0.35,2,pub.1114744299,,2014
16,MO disk,17,0.3,1,pub.1114744299,,2014
17,power conditions,18,0.26,2,pub.1114744299,,2014
18,results,19,0.22,56,pub.1114744299,,2014
19,parameters,20,0.17,9,pub.1114744299,,2014
20,optimum recording conditions,21,0.13,1,pub.1114744299,,2014
21,magneto-optical disk drives,22,0.09,1,pub.1114744299,,2014
22,disk drives,23,0.04,4,pub.1114744299,,2014
0,new imaging method,1,1.0,2,pub.1114764576,,2014
1,imaging method,2,0.86,3,pub.1114764576,,2014
2,effect,3,0.71,49,pub.1114764576,,2014
3,patterns,4,0.57,7,pub.1114764576,,2014
4,good exposure,5,0.43,1,pub.1114764576,,2014
5,exposure,6,0.29,8,pub.1114764576,,2014
6,evaluation,7,0.14,11,pub.1114764576,,2014
0,distance measurement system,1,1.0,1,pub.1114753496,,2014
1,measurement system,2,0.97,3,pub.1114753496,,2014
3,planar light wave circuits,4,0.93,1,pub.1114753496,,2014
4,wave circuits,5,0.9,1,pub.1114753496,,2014
5,circuit,6,0.88,8,pub.1114753496,,2014
6,fiber optics,7,0.85,1,pub.1114753496,,2014
7,optics,8,0.82,30,pub.1114753496,,2014
8,construction,9,0.8,2,pub.1114753496,,2014
9,civil engineering,10,0.78,1,pub.1114753496,,2014
10,engineering,11,0.75,1,pub.1114753496,,2014
11,thermooptic switch,12,0.72,1,pub.1114753496,,2014
12,switch,13,0.7,2,pub.1114753496,,2014
13,index change,14,0.68,1,pub.1114753496,,2014
14,thermooptic effect,15,0.65,1,pub.1114753496,,2014
15,effect,16,0.62,49,pub.1114753496,,2014
16,light path,17,0.6,1,pub.1114753496,,2014
17,path,18,0.57,4,pub.1114753496,,2014
18,light signals,19,0.55,1,pub.1114753496,,2014
19,signals,20,0.53,10,pub.1114753496,,2014
20,performance,21,0.5,27,pub.1114753496,,2014
21,DM system,22,0.47,1,pub.1114753496,,2014
22,linearity measurements,23,0.45,1,pub.1114753496,,2014
23,measurements,24,0.42,30,pub.1114753496,,2014
24,distance,25,0.4,9,pub.1114753496,,2014
25,sheets,26,0.38,2,pub.1114753496,,2014
26,corner-cube prism,27,0.35,1,pub.1114753496,,2014
27,prism,28,0.33,1,pub.1114753496,,2014
28,resolution,29,0.3,18,pub.1114753496,,2014
29,results,30,0.28,56,pub.1114753496,,2014
30,specification,31,0.25,1,pub.1114753496,,2014
31,conventional system,32,0.23,1,pub.1114753496,,2014
32,bulk optics,33,0.2,1,pub.1114753496,,2014
33,advantages,34,0.17,17,pub.1114753496,,2014
34,robustness,35,0.15,3,pub.1114753496,,2014
35,compactness,36,0.12,1,pub.1114753496,,2014
36,ease of alignment,37,0.1,1,pub.1114753496,,2014
37,ease,38,0.07,2,pub.1114753496,,2014
38,alignment,39,0.05,6,pub.1114753496,,2014
39,stability,40,0.03,4,pub.1114753496,,2014
0,object-image distance,1,1.0,2,pub.1114766887,,2014
1,distance,2,0.96,9,pub.1114766887,,2014
2,size,3,0.93,14,pub.1114766887,,2014
3,distortion,4,0.89,12,pub.1114766887,,2014
4,reduction factor,5,0.85,1,pub.1114766887,,2014
5,beam currents,6,0.81,2,pub.1114766887,,2014
6,current,7,0.78,5,pub.1114766887,,2014
7,time,8,0.74,22,pub.1114766887,,2014
8,lithography system,9,0.7,6,pub.1114766887,,2014
10,reticle,11,0.63,3,pub.1114766887,,2014
11,projector,12,0.59,1,pub.1114766887,,2014
12,wafers,13,0.56,18,pub.1114766887,,2014
13,electron optical column,14,0.52,2,pub.1114766887,,2014
14,optical column,15,0.48,2,pub.1114766887,,2014
15,formation,16,0.44,7,pub.1114766887,,2014
16,aberrations,17,0.41,9,pub.1114766887,,2014
17,radial,18,0.37,1,pub.1114766887,,2014
18,azimuthal distortion,19,0.33,2,pub.1114766887,,2014
19,beam blur,20,0.3,2,pub.1114766887,,2014
20,beam,21,0.26,10,pub.1114766887,,2014
21,mrad,22,0.22,3,pub.1114766887,,2014
22,function,23,0.19,9,pub.1114766887,,2014
23,magnetic doublet,24,0.15,2,pub.1114766887,,2014
24,doublet,25,0.11,2,pub.1114766887,,2014
25,image projection system,26,0.07,2,pub.1114766887,,2014
26,projection system,27,0.04,2,pub.1114766887,,2014
0,atomic force,1,1.0,1,pub.1114785973,,2014
1,force,2,0.98,7,pub.1114785973,,2014
2,distance curves,3,0.96,1,pub.1114785973,,2014
3,curves,4,0.94,2,pub.1114785973,,2014
4,silicon nitride probe,5,0.92,1,pub.1114785973,,2014
5,probe,6,0.91,5,pub.1114785973,,2014
6,silicon samples,7,0.89,1,pub.1114785973,,2014
7,samples,8,0.87,14,pub.1114785973,,2014
8,water,9,0.85,12,pub.1114785973,,2014
9,atomic force microscope,10,0.83,6,pub.1114785973,,2014
10,force microscope,11,0.81,7,pub.1114785973,,2014
11,microscope,12,0.79,11,pub.1114785973,,2014
12,water cell,13,0.77,1,pub.1114785973,,2014
13,liquid drops,14,0.75,1,pub.1114785973,,2014
14,drop,15,0.74,1,pub.1114785973,,2014
15,glass lamellae,16,0.72,1,pub.1114785973,,2014
16,lamellae,17,0.7,1,pub.1114785973,,2014
17,top,18,0.68,2,pub.1114785973,,2014
18,cantilever base,19,0.66,1,pub.1114785973,,2014
19,sample surface,20,0.64,5,pub.1114785973,,2014
20,surface,21,0.62,42,pub.1114785973,,2014
21,processing,22,0.6,7,pub.1114785973,,2014
22,force curve data,23,0.58,1,pub.1114785973,,2014
23,curve data,24,0.57,1,pub.1114785973,,2014
24,short-range forces,25,0.55,1,pub.1114785973,,2014
25,silicon wafers,26,0.53,4,pub.1114785973,,2014
26,wafers,27,0.51,18,pub.1114785973,,2014
27,groove,28,0.49,3,pub.1114785973,,2014
28,silicon nitride cantilevers,29,0.47,1,pub.1114785973,,2014
29,nitride cantilevers,30,0.45,1,pub.1114785973,,2014
30,cantilever,31,0.43,5,pub.1114785973,,2014
31,surface properties,32,0.42,1,pub.1114785973,,2014
32,properties,33,0.4,24,pub.1114785973,,2014
33,repulsive double layer forces,34,0.38,1,pub.1114785973,,2014
34,double layer forces,35,0.36,1,pub.1114785973,,2014
35,layer forces,36,0.34,1,pub.1114785973,,2014
36,relevant dependence,37,0.32,1,pub.1114785973,,2014
37,dependence,38,0.3,10,pub.1114785973,,2014
38,sample topography,39,0.28,1,pub.1114785973,,2014
39,topography,40,0.26,1,pub.1114785973,,2014
40,force curves,41,0.25,1,pub.1114785973,,2014
41,attractive hydration forces,42,0.23,1,pub.1114785973,,2014
42,hydration forces,43,0.21,1,pub.1114785973,,2014
43,strong dependence,44,0.19,1,pub.1114785973,,2014
44,values,45,0.17,13,pub.1114785973,,2014
45,inclined faces,46,0.15,1,pub.1114785973,,2014
46,results,47,0.13,56,pub.1114785973,,2014
47,tip curvature radius,48,0.11,1,pub.1114785973,,2014
48,curvature radius,49,0.09,1,pub.1114785973,,2014
49,radius,50,0.08,2,pub.1114785973,,2014
50,contact region,51,0.06,1,pub.1114785973,,2014
51,region,52,0.04,14,pub.1114785973,,2014
52,tilt,53,0.02,2,pub.1114785973,,2014
0,dopant type,1,1.0,1,pub.1114740369,,2014
1,dopant concentration,2,0.96,2,pub.1114740369,,2014
2,silicon,3,0.93,10,pub.1114740369,,2014
3,scanning capacitance microscope,4,0.89,1,pub.1114740369,,2014
4,capacitance microscope,5,0.86,1,pub.1114740369,,2014
5,microscope,6,0.82,11,pub.1114740369,,2014
6,region,7,0.79,14,pub.1114740369,,2014
7,different dopant types,8,0.75,1,pub.1114740369,,2014
8,atomic force microscope,9,0.71,6,pub.1114740369,,2014
9,force microscope,10,0.68,7,pub.1114740369,,2014
10,SCM images,11,0.64,1,pub.1114740369,,2014
11,images,12,0.61,28,pub.1114740369,,2014
12,DC bias voltage,13,0.57,1,pub.1114740369,,2014
13,bias voltage,14,0.54,1,pub.1114740369,,2014
14,voltage,15,0.5,6,pub.1114740369,,2014
15,DC bias,16,0.46,1,pub.1114740369,,2014
16,samples,17,0.43,14,pub.1114740369,,2014
17,modulation voltage,18,0.39,1,pub.1114740369,,2014
18,DC bias dependence,19,0.36,1,pub.1114740369,,2014
19,bias dependence,20,0.32,1,pub.1114740369,,2014
20,dependence,21,0.29,10,pub.1114740369,,2014
21,dC/dV signal,22,0.25,1,pub.1114740369,,2014
22,signals,23,0.21,10,pub.1114740369,,2014
23,capacitance microscopy,24,0.18,2,pub.1114740369,,2014
24,microscopy,25,0.14,22,pub.1114740369,,2014
25,characterization tools,26,0.11,1,pub.1114740369,,2014
26,semiconductor devices,27,0.07,3,pub.1114740369,,2014
27,devices,28,0.04,20,pub.1114740369,,2014
0,lines,1,1.0,6,pub.1114787210,,2014
1,patterns,2,0.75,7,pub.1114787210,,2014
2,multiple exposures,3,0.5,1,pub.1114787210,,2014
3,exposure,4,0.25,8,pub.1114787210,,2014
0,extreme ultraviolet lithography,1,1.0,6,pub.1114743686,,2014
1,ultraviolet lithography,2,0.98,7,pub.1114743686,,2014
2,lithography,3,0.96,36,pub.1114743686,,2014
3,promising candidate,4,0.93,2,pub.1114743686,,2014
4,candidates,5,0.91,6,pub.1114743686,,2014
5,fabrication of semiconductor,6,0.89,2,pub.1114743686,,2014
6,fabrication,7,0.87,23,pub.1114743686,,2014
7,semiconductors,8,0.84,4,pub.1114743686,,2014
8,feature size,9,0.82,3,pub.1114743686,,2014
9,size,10,0.8,14,pub.1114743686,,2014
10,order,11,0.78,31,pub.1114743686,,2014
11,fine patterns,12,0.76,3,pub.1114743686,,2014
12,single-layer resist process,13,0.73,2,pub.1114743686,,2014
13,resist process,14,0.71,3,pub.1114743686,,2014
15,resist materials,16,0.67,2,pub.1114743686,,2014
16,materials,17,0.64,15,pub.1114743686,,2014
17,small absorption,18,0.62,1,pub.1114743686,,2014
18,absorption,19,0.6,5,pub.1114743686,,2014
19,method,20,0.58,84,pub.1114743686,,2014
20,transmittance,21,0.56,8,pub.1114743686,,2014
21,EUV wavelengths,22,0.53,2,pub.1114743686,,2014
22,wavelength,23,0.51,19,pub.1114743686,,2014
23,reflectometer,24,0.49,3,pub.1114743686,,2014
24,good agreement,25,0.47,4,pub.1114743686,,2014
25,agreement,26,0.44,4,pub.1114743686,,2014
26,actual transmittance,27,0.42,1,pub.1114743686,,2014
27,study of transmittance,28,0.4,1,pub.1114743686,,2014
28,kinds of polymers,29,0.38,1,pub.1114743686,,2014
29,kind,30,0.36,8,pub.1114743686,,2014
30,polymers,31,0.33,3,pub.1114743686,,2014
31,resist,32,0.31,6,pub.1114743686,,2014
32,commercial resists,33,0.29,1,pub.1114743686,,2014
33,influence,34,0.27,10,pub.1114743686,,2014
34,photoacid generator,35,0.24,1,pub.1114743686,,2014
35,generator,36,0.22,1,pub.1114743686,,2014
36,transmittance measurements,37,0.2,1,pub.1114743686,,2014
37,measurements,38,0.18,30,pub.1114743686,,2014
38,carbon,39,0.16,1,pub.1114743686,,2014
39,silicon atoms,40,0.13,1,pub.1114743686,,2014
40,high transmittance,41,0.11,3,pub.1114743686,,2014
41,low transmittance,42,0.09,1,pub.1114743686,,2014
42,negligible affect,43,0.07,1,pub.1114743686,,2014
43,extreme ultraviolet wavelengths,44,0.04,3,pub.1114743686,,2014
44,ultraviolet wavelengths,45,0.02,3,pub.1114743686,,2014
0,optical lithography technology,1,1.0,1,pub.1114757603,,2014
1,lithography technology,2,0.98,2,pub.1114757603,,2014
2,technology,3,0.96,19,pub.1114757603,,2014
3,wavelength,4,0.94,19,pub.1114757603,,2014
4,extreme ultraviolet lithography,5,0.91,6,pub.1114757603,,2014
5,ultraviolet lithography,6,0.89,7,pub.1114757603,,2014
6,lithography,7,0.87,36,pub.1114757603,,2014
7,promising method,8,0.85,2,pub.1114757603,,2014
8,method,9,0.83,84,pub.1114757603,,2014
9,fabrication of semiconductor,10,0.81,2,pub.1114757603,,2014
10,fabrication,11,0.79,23,pub.1114757603,,2014
11,semiconductors,12,0.77,4,pub.1114757603,,2014
12,feature size,13,0.74,3,pub.1114757603,,2014
13,size,14,0.72,14,pub.1114757603,,2014
14,order,15,0.7,31,pub.1114757603,,2014
15,fine patterns,16,0.68,3,pub.1114757603,,2014
16,single-layer resist process,17,0.66,2,pub.1114757603,,2014
17,resist process,18,0.64,3,pub.1114757603,,2014
19,resist materials,20,0.6,2,pub.1114757603,,2014
20,materials,21,0.57,15,pub.1114757603,,2014
21,small absorption coefficient,22,0.55,1,pub.1114757603,,2014
22,absorption coefficient,23,0.53,1,pub.1114757603,,2014
23,coefficient,24,0.51,8,pub.1114757603,,2014
24,transmittance,25,0.49,8,pub.1114757603,,2014
25,EUV wavelengths,26,0.47,2,pub.1114757603,,2014
26,reflectometer,27,0.45,3,pub.1114757603,,2014
27,EUV light,28,0.43,1,pub.1114757603,,2014
28,light,29,0.4,23,pub.1114757603,,2014
29,CO2 plasma,30,0.38,1,pub.1114757603,,2014
30,plasma,31,0.36,6,pub.1114757603,,2014
31,parameters,32,0.34,9,pub.1114757603,,2014
32,reflectivity,33,0.32,7,pub.1114757603,,2014
33,resist,34,0.3,6,pub.1114757603,,2014
34,multilayer mirrors,35,0.28,3,pub.1114757603,,2014
35,mirror,36,0.26,17,pub.1114757603,,2014
36,mirror surface,37,0.23,2,pub.1114757603,,2014
37,surface,38,0.21,42,pub.1114757603,,2014
38,resist samples,39,0.19,1,pub.1114757603,,2014
39,samples,40,0.17,14,pub.1114757603,,2014
40,resist polymer,41,0.15,1,pub.1114757603,,2014
41,polymers,42,0.13,3,pub.1114757603,,2014
42,good agreement,43,0.11,4,pub.1114757603,,2014
43,agreement,44,0.09,4,pub.1114757603,,2014
44,measurements,45,0.06,30,pub.1114757603,,2014
45,extreme ultraviolet wavelengths,46,0.04,3,pub.1114757603,,2014
46,ultraviolet wavelengths,47,0.02,3,pub.1114757603,,2014
0,maximum beam current,1,1.0,1,pub.1114788238,,2014
1,beam currents,2,0.97,2,pub.1114788238,,2014
2,current,3,0.93,5,pub.1114788238,,2014
3,object-image distance,4,0.9,2,pub.1114788238,,2014
4,distance,5,0.86,9,pub.1114788238,,2014
5,semiangle,6,0.83,2,pub.1114788238,,2014
6,mrad,7,0.79,3,pub.1114788238,,2014
7,size,8,0.76,14,pub.1114788238,,2014
8,squares,9,0.72,2,pub.1114788238,,2014
9,field size,10,0.69,1,pub.1114788238,,2014
10,beam energy,11,0.66,2,pub.1114788238,,2014
11,energy,12,0.62,8,pub.1114788238,,2014
12,energy width,13,0.59,1,pub.1114788238,,2014
13,width,14,0.55,5,pub.1114788238,,2014
14,keV,15,0.52,1,pub.1114788238,,2014
15,eV,16,0.48,5,pub.1114788238,,2014
16,space-charge effects,17,0.45,1,pub.1114788238,,2014
17,effect,18,0.41,49,pub.1114788238,,2014
18,beam,19,0.38,10,pub.1114788238,,2014
19,residual distortion,20,0.34,1,pub.1114788238,,2014
20,distortion,21,0.31,12,pub.1114788238,,2014
21,correction,22,0.28,7,pub.1114788238,,2014
22,beam rotation,23,0.24,1,pub.1114788238,,2014
23,rotation,24,0.21,1,pub.1114788238,,2014
24,position,25,0.17,12,pub.1114788238,,2014
25,aberrations,26,0.14,9,pub.1114788238,,2014
