Grant Number,Title,Funding Amount in USD,Start Year,End Year,Funder,Funder Country,Dimensions ID
P01AI057127,Immunopathogenesis of acute and early HIV infection,8985629.0,2004,2010,National Institute of Allergy and Infectious Diseases,United States,grant.2435126
P50CA108786,SPORE in Brain Cancer,12266496.0,2004,2010,National Cancer Institute,United States,grant.2440212
P30AI060354,Harvard University Center for AIDS Research,60230920.0,2004,2024,National Institute of Allergy and Infectious Diseases,United States,grant.2438712
R21CA091624,Autologous Dendritic Cell Vaccines in NSCLC,603827.0,2004,2007,National Cancer Institute,United States,grant.2603257
R21CA099265,Peptide Booster Vaccination in A2+ Melanoma Patients,583430.0,2004,2007,National Cancer Institute,United States,grant.2603582
U01CI000164,A School-Based Intervention to Reduce Lyme Disease,,2004,2009,Centers for Disease Control and Prevention,United States,grant.2689337
R01DE015324,MAGE-A3/HPV 16 Peptide Vaccines for Head and Neck Cancer,792436.0,2004,2010,National Institute of Dental and Craniofacial Research,United States,grant.2490908
R43AI058870,iMIC for HIV Research,99941.0,2004,2005,National Institute of Allergy and Infectious Diseases,United States,grant.2641176
P50CA098252,SPORE in Cervical Cancer,37810968.0,2003,2024,National Cancer Institute,United States,grant.2440195
R01DA017476,A Randomized Trial of Vaccine Adherence in Young IDU,2010333.0,2003,2008,National Institute on Drug Abuse,United States,grant.2485745
R01DA017482,HIV Vaccine Trials in Women,1653241.0,2003,2007,National Institute on Drug Abuse,United States,grant.2485747
U54HD061221,Rare Diseases Clinical Research Consortia (RDCRC) for the Rare Diseases Clinical Research Network (RDCRN) (U54 Clinical Trial Optional),14223792.0,2003,2024,National Institute of Child Health and Human Development,United States,grant.2699292
U54RR019453,Rare Diseases CRC- Urea Cycle Disorders,7038501.0,2003,2009,National Center for Advancing Translational Sciences,United States,grant.2699521
P50CA101451,Michigan Center for Health Communications Research II,18207004.0,2003,2015,National Cancer Institute,United States,grant.2440199
R21CA105776,CTLA-4 Blockade in GM-CSF Vaccinated Patients,729356.0,2003,2006,National Cancer Institute,United States,grant.2603838
P50CA101942,DF/HCC Kidney Cancer SPORE,35617792.0,2003,2020,National Cancer Institute,United States,grant.2440200
R21CA105696,A Phase I/II Trial of a Therapeutic HPV Vaccine,606000.0,2003,2007,National Cancer Institute,United States,grant.2603831
U19AI055794,Dendritic Cell-Based Immunotherapy for HIV Infection,1626362.0,2003,2013,National Institute of Allergy and Infectious Diseases,United States,grant.2695741
U10HL074424,COPD Clinical Research Network - Data Coordinating Center,20977188.0,2003,2015,National Heart Lung and Blood Institute,United States,grant.2694404
U54AI057168,Middle Atlantic Regional Center for Excellence for Biodefense and Emerging Infect,91450944.0,2003,2015,National Institute of Allergy and Infectious Diseases,United States,grant.2698983
U54AI057159,New England Regional Center of Excellence in Biodefense and Emerging Infectious D,113703600.0,2003,2015,National Institute of Allergy and Infectious Diseases,United States,grant.2698981
U19AI057229,"Influenza responses and repertoire in vaccination, infection and tonsil organoids.",63578120.0,2003,2024,National Institute of Allergy and Infectious Diseases,United States,grant.2695759
U19AI057266,Vaccine Induced Immunity in the Young and Aged,58817920.0,2003,2024,National Institute of Allergy and Infectious Diseases,United States,grant.2695761
P01AI055793,Basic and Clinical Studies of CpG ODN in HIV Disease,2201316.0,2003,2006,National Institute of Allergy and Infectious Diseases,United States,grant.2435110
R01AI051355,PHASE IB TRIAL OF CYTOMEGALOVIRUS GLYCOPROTEIN B VACCINE,865817.0,2003,2010,National Institute of Allergy and Infectious Diseases,United States,grant.2455742
R01AI051986,HIV Therapy &Interruption RCT in Resource Poor Clinic,983015.0,2003,2007,National Institute of Allergy and Infectious Diseases,United States,grant.2455853
K23CA100691,T Cell Memory After Immunization with a HER2 DNA Vaccine,655290.0,2003,2009,National Cancer Institute,United States,grant.2418414
P01AG020677,"Aging Well, Sleeping Efficiently",17511796.0,2003,2017,National Institute on Aging,United States,grant.2434755
P50CA105632,Reducing Cervical Cancer in Appalachia,17226688.0,2003,2017,National Cancer Institute,United States,grant.2440207
R01DA014502,SYRINGE EXCHANGE BASED HEPATITIS B VACCINATION OF IDU'S,1607768.0,2003,2007,National Institute on Drug Abuse,United States,grant.2485242
U01AI053719,INDO-US Collaboration to Develop Rotavirus Vaccines,1130283.0,2003,2008,National Institute of Allergy and Infectious Diseases,United States,grant.2687567
U19AI053217,CIPRA-SA:  Safeguard the household: comprehensive AIDS research: Extension,44850708.0,2002,2012,National Institute of Allergy and Infectious Diseases,United States,grant.2695737
U01DE014961,Integrated Microfluidic System for Oral Diagnostics,4200000.0,2002,2008,National Institute of Dental and Craniofacial Research,United States,grant.2689673
R01HL072705,Cardiovascular Status of HAART-Exposed Infants/Children,5630880.0,2002,2009,National Heart Lung and Blood Institute,United States,grant.2539155
P50CA096888,SPORE in Lymphoma,13583458.0,2002,2010,National Cancer Institute,United States,grant.2440186
R01MH065867,SOUTH AFRICAN ADOLESCENT HEALTH PROMOTION PROJECT,5616071.0,2002,2011,National Institute of Mental Health,United States,grant.2550162
P50CA097186,The Pacific Northwest Prostate Cancer SPORE,40271988.0,2002,2023,National Cancer Institute,United States,grant.2440188
R01AI049644,Interventions to Increase HBV Vaccination in STD Clinics,2997512.0,2002,2008,National Institute of Allergy and Infectious Diseases,United States,grant.2455438
R01CA093714,Chemotherapy plus vaccine for metastatic breast cancer,1769241.0,2002,2008,National Cancer Institute,United States,grant.2475817
M01RR016587,GENERAL CLINICAL RESEARCH CENTER,6761860.0,2002,2007,National Center for Advancing Translational Sciences,United States,grant.2424052
P30CA093373,Cancer Center Support Grant P30,59376908.0,2002,2021,National Cancer Institute,United States,grant.2438874
K08AI051223,Cytokine-Augmented DNA Vaccine-Elicited Immunity to HIV,447620.0,2002,2005,National Institute of Allergy and Infectious Diseases,United States,grant.2409959
R01MH064882,RCT OF STEPPING STONES BEHAVIOURAL INTERVENTION FOR HIV,1458000.0,2002,2007,National Institute of Mental Health,United States,grant.2550038
R01CA095648,Immunotherapy for Renal Cell Carcinoma,2261484.0,2002,2012,National Cancer Institute,United States,grant.2476088
R01AI051181,Hiv Immune Reactivity 'in Vivo' and 'In Vitro',2108792.0,2002,2008,National Institute of Allergy and Infectious Diseases,United States,grant.2455701
P01CA095426,Innate Immunity: Elucidation and Modulation for Cancer Therapy,29634280.0,2002,2017,National Cancer Institute,United States,grant.2435776
P01CA094237,ENHANCING T CELL THERAPY OF CANCER,27835980.0,2001,2020,National Cancer Institute,United States,grant.2435773
R01AI050467,Role of Immunization Site in Eliciting Mucosal Immunity,1248486.0,2001,2004,National Institute of Allergy and Infectious Diseases,United States,grant.2455566
U01HL069294,BMT Clinical Research Network Data Coordinating Center,63255056.0,2001,2011,National Heart Lung and Blood Institute,United States,grant.2691735
U01DK061055,Type 1 Diabetes Trialnet: Operations Coord. Center,93180848.0,2001,2010,National Institute of Diabetes and Digestive and Kidney Diseases,United States,grant.2689988
R01HL069114,Chlamydia Infection as a Risk Factor for Cerebrovascula*,1422870.0,2001,2006,National Heart Lung and Blood Institute,United States,grant.2538393
R21CA094523,Immunotherapy with TRICOM Modified Dendritic Cells,634872.0,2001,2003,National Cancer Institute,United States,grant.2603357
P01AI049364,"DNA/MWA Immunogens, Cross-clade Immune Responses",12774926.0,2001,2007,National Institute of Allergy and Infectious Diseases,United States,grant.2435070
T32HD040672,Training in Epidemiology and Clinical Trials (TECT),4168854.0,2001,2017,National Institute of Child Health and Human Development,United States,grant.2684418
U10HD040498,MULTICENTER NETWORK OF NEONATAL INTENSIVE CARE UNITS,2074426.0,2001,2007,National Institute of Child Health and Human Development,United States,grant.2694218
U10HD040521,MULTICENTER NETWORK OF NEONATAL INTENSIVE CARE UNITS,2292384.0,2001,2009,National Institute of Child Health and Human Development,United States,grant.2694221
U10HD040492,Eunice Kennedy Shriver NICHD Cooperative Multicenter Neonatal Research Network,5423450.0,2001,2016,National Institute of Child Health and Human Development,United States,grant.2694217
U10HD040689,NICHD Cooperative Multicenter Neonatal Research Network,5631441.0,2001,2016,National Institute of Child Health and Human Development,United States,grant.2694225
R01CA089102,IMMUNOTHERAPY WITH RENAL TUMOR RNA TRANSFECTED  CELLS,1032504.0,2001,2005,National Cancer Institute,United States,grant.2475224
R01CA088972,CEA BASED VACCINE THERAPY IN PATIENTS WITH ADVANCED CA,1465467.0,2001,2006,National Cancer Institute,United States,grant.2475203
U01AI058935,Protecutive immunity to human cholera in Bangladesh,7806005.0,2000,2016,National Institute of Allergy and Infectious Diseases,United States,grant.2687680
P01AI047490,NOVEL HIV VACCINES,5698191.0,2000,2007,National Institute of Allergy and Infectious Diseases,United States,grant.2435058
R01AG018367,BEHAVIORAL INTERVENTION FOR HERPES ZOSTER RISK IN AGING,1316250.0,2000,2005,National Institute on Aging,United States,grant.2447007
R01AI045407,DISSEMINATED TUBERCULOSIS IN HIV INFECTION,4588139.0,2000,2005,National Institute of Allergy and Infectious Diseases,United States,grant.2454586
U01AI045407,Disseminated Tuberculosis in HIV Infection,4287054.0,2000,2008,National Institute of Allergy and Infectious Diseases,United States,grant.2687451
R01CA088058,ALLOGENIC PANCREATIC TUMOR VACCINE CELL LINE,1599665.0,2000,2005,National Cancer Institute,United States,grant.2475134
R01AG016634,RANDOMIZED TRIAL OF TAPWATER TREATMENT IN THE ELDERLY,2858456.0,2000,2007,National Institute on Aging,United States,grant.2446737
R01AI047062,Assessing Laboratory Correlates of Immune Protection,3606069.0,2000,2008,National Institute of Allergy and Infectious Diseases,United States,grant.2454889
P50CA083639,The University of Texas M. D. Anderson Cancer Center SPORE in Ovarian Cancer,33020950.0,1999,2017,National Cancer Institute,United States,grant.2440150
U10CA081851,Comprehensive Cancer Center of Wake Forest COOP Research Base,22009600.0,1999,2015,National Cancer Institute,United States,grant.2693681
R21CA082614,IMMUNE RESPONSE TO THE MUTATED GP?00 PEPTIDE (209O-2M),139348.0,1999,2001,National Cancer Institute,United States,grant.2602921
R01CA082661,PHASE I TRIAL OF A PEPTIDE VACCINE AGAINST EGFRVIII,603043.0,1999,2006,National Cancer Institute,United States,grant.2474417
P30CA082103,Cancer Center Support Grant,150120496.0,1999,2023,National Cancer Institute,United States,grant.2438870
P01CA078673,"Immunotherapy with High Frequency, CEA Specific T Cells",13164640.0,1999,2010,National Cancer Institute,United States,grant.2435718
P01AI045142,DEVELOPMENT OF A NOVEL MULTIENVELOPE AIDS VACCINE,7044139.0,1999,2006,National Institute of Allergy and Infectious Diseases,United States,grant.2435034
R01AI044628,IN VIVO INDUCTION OF HIV SPECIFIC CTL BY DENDRITIC CELLS,2337090.0,1999,2004,National Institute of Allergy and Infectious Diseases,United States,grant.2454445
P01AI043664,ANTIGEN DELIVERY FOR ADJUVANT HIV IMMUNOTHERAPY,3127447.0,1998,2006,National Institute of Allergy and Infectious Diseases,United States,grant.2435022
N01AI085346,Malaria:Clinical Research and Trial Preparation Sites-26685346,2765994.0,1998,2003,National Institute of Allergy and Infectious Diseases,United States,grant.2424955
U01HD036790,Data Ctr for the Cooperative Neonatal Research Network,21844932.0,1998,2008,National Institute of Child Health and Human Development,United States,grant.2691028
U01CA076576,Phase I Trials of Anti-Cancer Agents,9098593.0,1998,2015,National Cancer Institute,United States,grant.2688806
R01CA077544,Control of CMV infection post-HCT using attenuated MVA-based CMV subunit vaccine,5568224.0,1998,2018,National Cancer Institute,United States,grant.2473626
P30CA076292,Moffitt Cancer Center Support Grant,63066708.0,1998,2022,National Cancer Institute,United States,grant.2438867
P01CA073743,Dendritic Cell Biology and Therapy,12298725.0,1998,2011,National Cancer Institute,United States,grant.2435679
K12CA076930,Career Development in Pediatric and Medical Oncology,9763326.0,1997,2021,National Cancer Institute,United States,grant.2416431
R01AI041050,Control of Epidemic Influenza,4457497.0,1997,2009,National Institute of Allergy and Infectious Diseases,United States,grant.2453708
U01AI041534,Understanding and Altering the Virologic Setpoint,10131316.0,1997,2008,National Institute of Allergy and Infectious Diseases,United States,grant.2687417
P51OD011106,Wisconsin National Primate Research Center Support,89781568.0,1997,2022,Office of the Director,United States,grant.2441127
P30CA072720,Cancer Center Support Grant,64367452.0,1997,2024,National Cancer Institute,United States,grant.2438866
P50HL056384,Immune Dysregulation in Allergic Asthma,9745710.0,1996,2007,National Heart Lung and Blood Institute,United States,grant.2440735
U10HD034216,Cooperative Multicenter Neonatal Research Network - UAB,6447199.0,1996,2016,National Institute of Child Health and Human Development,United States,grant.2694198
P01CA068484,Therapeutic Index of Acute Lymphoblastic Leukemia,31949828.0,1995,2013,National Cancer Institute,United States,grant.2435657
U01CA069853,Phase I Clinical Trials of Anti-Cancer Agents,3611323.0,1995,2009,National Cancer Institute,United States,grant.2688755
U01CA069912,Phase I Clinical Trials of Anticancer Agents,10132902.0,1995,2014,National Cancer Institute,United States,grant.2688759
U01CA062490,Early Clinical Trials of New Anti-Cancer Agents with Phase I Emphasis,10220664.0,1994,2014,National Cancer Institute,United States,grant.2688662
U01CA062461,Phase I Studies of Targeted Anti-Cancer Therapies,7240486.0,1994,2015,National Cancer Institute,United States,grant.2688655
U01CA062500,EARLY CLINICAL TRIALS OF ANTIANGIOGENESIS AGENTS,,1994,1998,National Cancer Institute,United States,grant.2688664
R01HL051630,EXPRESSION OF TUBERCULOSIS IN THE LUNG,2217527.0,1993,2007,National Heart Lung and Blood Institute,United States,grant.2534757
U01CA061498,SYSTEMIC IMMUNITY BY PARTICLE MEDIATED BRM GENE TRANSFER,,1993,2001,National Cancer Institute,United States,grant.2688632
P30CA060553,The Robert H. Lurie Comprehensive Cancer Center,107854592.0,1993,2023,National Cancer Institute,United States,grant.2438861
P50CA058204,SPORE in Prostate Cancer,21273374.0,1992,2010,National Cancer Institute,United States,grant.2440137
P50CA058223,SPORE in Breast Cancer,43018240.0,1992,2023,National Cancer Institute,United States,grant.2440139
M01RR007122,General Clinical Research Center,35231168.0,1992,2011,National Center for Advancing Translational Sciences,United States,grant.2424041
U01CA058211,TREATMENT OF NEUROBLASTOMA WITH IL2 TRANSDUCED TUMOR,,1992,1996,National Cancer Institute,United States,grant.2688565
R01CA057653,Melanoma vaccines using MHC-associated peptides,3388834.0,1992,2014,National Cancer Institute,United States,grant.2471259
R01AI032391,Killer Cells &Viral Load in Vertical HIV Infection,2711141.0,1991,2010,National Institute of Allergy and Infectious Diseases,United States,grant.2452395
P30CA054174,Cancer Therapy & Research Center at UTHSCSA,40827196.0,1991,2020,National Cancer Institute,United States,grant.2438859
R01AI030904,Protective CMI mechanisms of a dual-subtype FIV vaccine,4213791.0,1991,2015,National Institute of Allergy and Infectious Diseases,United States,grant.2452138
U10HD021385,Cooperative Multicenter Network of Neontal Intensive Care Units,8748209.0,1991,2016,National Institute of Child Health and Human Development,United States,grant.2694140
U10HD021397,Maternal Lifestyle Study,6688404.0,1991,2007,National Institute of Child Health and Human Development,United States,grant.2694141
U10HD027880,NICHD Cooperative Multicenter Neonatal Research Network,6142607.0,1991,2016,National Institute of Child Health and Human Development,United States,grant.2694169
U10HD027851,Eunice Kennedy Shriver NICHD Cooperative Multicenter Neonatal Research Network,5024081.0,1991,2016,National Institute of Child Health and Human Development,United States,grant.2694162
P30CA051008,Georgetown University Lombardi Comprehensive Cancer Center Support Grant,54687552.0,1990,2023,National Cancer Institute,United States,grant.2438858
R37CA051323,Natural History of HPV Infection to Neoplasia,15443312.0,1990,2017,National Cancer Institute,United States,grant.2634352
P30CA044579,University of Virginia Cancer Center Support Grant,52850196.0,1987,2022,National Cancer Institute,United States,grant.2438852
P30CA043703,Case Comprehensive Cancer Center Support Grant,101426208.0,1987,2023,National Cancer Institute,United States,grant.2438851
K12HD000850,Pediatric Scientist Development Program (K12) 2017-2022,34799756.0,1986,2022,National Institute of Child Health and Human Development,United States,grant.2416545
P01AG005842,Improving Health Outcomes for an Aging Population,39924648.0,1986,2023,National Institute on Aging,United States,grant.2434634
P30CA036727,Fred & Pamela Buffett Cancer Center Support Grant,35622972.0,1984,2021,National Cancer Institute,United States,grant.2438847
P50NS020023,SRC on Primary Tumors of the CNS,17310368.0,1984,2015,National Institute of Neurological Disorders and Stroke,United States,grant.2441054
U10CA031946,Cancer and Leukemia Group B,158397808.0,1982,2015,National Cancer Institute,United States,grant.2693347
U10CA032102,Southwest Oncology Group Treatment Grant,141286976.0,1981,2015,National Cancer Institute,United States,grant.2693350
P01CA030206,Hematopoietic Cell Transplantation for Hematologic Malignancies,31844534.0,1981,2013,National Cancer Institute,United States,grant.2435461
P30CA033572,Cancer Center Support Grant,55374368.0,1981,2022,National Cancer Institute,United States,grant.2438845
U10CA027469,Gynecologic Oncology Group,132577192.0,1980,2015,National Cancer Institute,United States,grant.2693310
P30CA014089,USC Norris Comprehensive Cancer Center (Core) Grant,132882592.0,1980,2020,National Cancer Institute,United States,grant.2438805
P30CA015083,Mayo Comprehensive Cancer Center Grant,110102400.0,1980,2024,National Cancer Institute,United States,grant.2438813
P30CA006927,Comprehensive Cancer Center Program at Fox Chase,124246648.0,1979,2021,National Cancer Institute,United States,grant.2438790
P30CA022453,Cancer Center Support Grant,48334076.0,1979,2020,National Cancer Institute,United States,grant.2438835
M01RR000070,General Clinical Research Center,32397614.0,1978,2008,National Center for Advancing Translational Sciences,United States,grant.2423981
M01RR000032,General Clinical Research Center,23574104.0,1978,2008,National Center for Advancing Translational Sciences,United States,grant.2423956
M01RR000633,GENERAL CLINICAL RESEARCH CENTER,20980404.0,1978,2007,National Center for Advancing Translational Sciences,United States,grant.2424011
P30CA023074,University of Arizona Cancer Center - Cancer Center Support Grant,81123232.0,1978,2021,National Cancer Institute,United States,grant.2438836
P01CA023766,Immunobiology of Allogeneic Hematopoietic Cell Transplantation,51138044.0,1978,2024,National Cancer Institute,United States,grant.2435422
P30CA016672,Cancer Center Support Grant,207129520.0,1978,2024,National Cancer Institute,United States,grant.2438826
P30CA023108,Cancer Center Support Grant,67678440.0,1978,2024,National Cancer Institute,United States,grant.2438839
P30CA016056,Roswell Park Cancer Center Support Grant,83418016.0,1978,2024,National Cancer Institute,United States,grant.2438818
U10CA021115,Eastern Cooperative Oncology Group Operations Office,132636432.0,1978,2016,National Cancer Institute,United States,grant.2693275
P30CA006973,Regional Oncology Research Center,151138480.0,1978,2022,National Cancer Institute,United States,grant.2438791
M01RR000042,General Clinical Research Center,40798736.0,1977,2007,National Center for Advancing Translational Sciences,United States,grant.2423963
P30CA006516,Dana-Farber/Harvard Cancer Center,238734720.0,1977,2021,National Cancer Institute,United States,grant.2438789
P30CA016042,Cancer Center Support Grant,94728944.0,1977,2025,National Cancer Institute,United States,grant.2438817
P30CA021765,Cancer Center Support Grant (CCSG),117691216.0,1977,2024,National Cancer Institute,United States,grant.2438833
P30CA016058,Cancer Center Support Grant,90288128.0,1977,2020,National Cancer Institute,United States,grant.2438819
P30CA013330,Core Support for Cancer Center,82920984.0,1977,2022,National Cancer Institute,United States,grant.2438800
P30CA014599,Cancer Center Support Grant,89704640.0,1977,2023,National Cancer Institute,United States,grant.2438810
P30CA008748,Cancer Center Support Grant,250916048.0,1977,2023,National Cancer Institute,United States,grant.2438793
P30CA015704,Cancer Center Support Grant,216676224.0,1977,2024,National Cancer Institute,United States,grant.2438816
P01CA015396,Bone  Marrow Transplantation in Human Disease,38146988.0,1976,2019,National Cancer Institute,United States,grant.2435375
P30CA014236,Cancer Center Support Grant,130248544.0,1976,2024,National Cancer Institute,United States,grant.2438807
P30CA012197,Cancer Center Support Grant,38103464.0,1976,2022,National Cancer Institute,United States,grant.2438796
P01HL009011,A RESEARCH AND RESOURCE PROGRAM IN BLOOD,,1976,1986,National Heart Lung and Blood Institute,United States,grant.2436693
P30CA014520,UW Comprehensive CANCER CENTER SUPPORT,103526592.0,1976,2023,National Cancer Institute,United States,grant.2438809
M01RR000030,GENERAL CLINICAL RESEARCH CENTER,20045440.0,1975,2006,National Center for Advancing Translational Sciences,United States,grant.2423955
M01RR000039,GENERAL CLINICAL RESEARCH CENTER,21262572.0,1974,2007,National Center for Advancing Translational Sciences,United States,grant.2423961
M01RR000044,General Clinical Research Center,13806891.0,1974,2006,National Center for Advancing Translational Sciences,United States,grant.2423965
,Development of recombinant TB vaccine,101459.0,1999,2003,Canadian Institutes of Health Research,Canada,grant.7664870
,Hepatitis C: Vaccines and Immunotherapy,9841.0,2000,2001,Canadian Institutes of Health Research,Canada,grant.7628231
,DNA vaccine for chlamydia,67329.0,1999,2001,Canadian Institutes of Health Research,Canada,grant.7623304
211347,nd,1514.0,2016,2017,Fonds de Recherche du Québec – Nature et technologies,Canada,grant.7575791
VIRX0201,New Generation Recombinant Viral Vaccine Vectors,81841.0,2002,2003,"Ministry of Business, Innovation and Employment",New Zealand,grant.7568437
SWSS0402,The automated synthesis of tuberculosis vaccines,182350.0,2004,2007,"Ministry of Business, Innovation and Employment",New Zealand,grant.7567590
2010-0029242,신변종 인플루엔자 바이러스 제어 연구,0.0,2010,2011,National Research Foundation of Korea,South Korea,
762208,Mucosal Vaccine against HIV-1 Infection,66584.0,2008,2010,University Grants Committee,China,grant.7437133
AF/090/97,Oral DNA Vaccines,638466.0,1997,1999,Innovation and Technology Commission,China,grant.7167590
,Microcontainers for oral vaccine delivery,579532.0,2014,2014,Danish Agency for Science and Higher Education,Denmark,grant.7148384
,Microcontainers for oral vaccine delivery,88992.0,2014,2014,Danish Agency for Science and Higher Education,Denmark,grant.7148384
VM0108,EC collaborative study for tetanus vaccines,23691.0,1992,1993,Department for Environment Food and Rural Affairs,United Kingdom,grant.7043734
SE2805,Antigenic properties of vaccine virus strains,230794.0,1996,1999,Department for Environment Food and Rural Affairs,United Kingdom,grant.7042974
SE1203,Alternative methods of formulating FMDV vaccines,74889.0,1990,1993,Department for Environment Food and Rural Affairs,United Kingdom,grant.7042624
SE1201,To maintain the footandmouth vaccine bank,552165.0,1990,1993,Department for Environment Food and Rural Affairs,United Kingdom,grant.7042622
609967,Vaccins et adjuvants pour la vache laitière,3391.0,2016,2017,Natural Sciences and Engineering Research Council,Canada,grant.6972056
606399,Prototype vaccine against sea lice,3391.0,2016,2017,Natural Sciences and Engineering Research Council,Canada,grant.6968725
604388,Thermal Stabilization of Phage and Vaccines,3391.0,2016,2017,Natural Sciences and Engineering Research Council,Canada,grant.6966722
159106,A DNA Vaccine to Prevent Schistosomiasis,71382.0,2001,2004,National Health and Medical Research Council,Australia,grant.6844591
890745,Immune response to malaria vaccine candidate,229287.0,1989,1991,National Health and Medical Research Council,Australia,grant.6735165
900006,Development of a contraceptive vaccine,46740.0,1990,1991,National Health and Medical Research Council,Australia,grant.6732885
920969,Challenging the malaria vaccine development strategy,78134.0,1992,1998,National Health and Medical Research Council,Australia,grant.6731341
596899,Diabetes Vaccine Development Centre (DVDC),5147415.0,2010,2017,National Health and Medical Research Council,Australia,grant.6730713
900655,Vivax malaria sporozoite vaccine development,84188.0,1990,1992,National Health and Medical Research Council,Australia,grant.6729465
920275,New vaccines produced by genetic engineering,136593.0,1992,1994,National Health and Medical Research Council,Australia,grant.6729082
997640,A Mucosal HIV Polytype Vaccine,33003.0,1999,2001,National Health and Medical Research Council,Australia,grant.6726453
960338,HIV (AIDS) vaccine delivery vectors,120675.0,1996,1998,National Health and Medical Research Council,Australia,grant.6725165
920330,A vaccine for cervical cancer,133297.0,1992,1994,National Health and Medical Research Council,Australia,grant.6725082
910123,Development of an oral pneumococcal vaccine.,68538.0,1991,1993,National Health and Medical Research Council,Australia,grant.6725032
910471,Development of new types of vaccines.,116900.0,1991,1993,National Health and Medical Research Council,Australia,grant.6724834
209187,DNA and avipox vaccines for HIV.,64693.0,2002,2007,National Health and Medical Research Council,Australia,grant.6723804
456152,Characterisation of Neisseria meningitidis vaccine candidates,298213.0,2007,2013,National Health and Medical Research Council,Australia,grant.6723056
950876,Towards a vaccine against hepatitis e,96548.0,1995,1997,National Health and Medical Research Council,Australia,grant.6716599
880246,A modern vaccine against leptospirosis,158968.0,1988,1990,National Health and Medical Research Council,Australia,grant.6714669
900820,Development of an improved pneumococcal vaccine,148678.0,1990,1992,National Health and Medical Research Council,Australia,grant.6714037
971030,Additional vaccine antigens for chlamydia,109364.0,1997,1999,National Health and Medical Research Council,Australia,grant.6713255
OPP3431,To support the Vaccine Leadership Conference,40000.0,2000,2001,Bill & Melinda Gates Foundation,United States,grant.6582874
X46120----570027,風診生ワクチンに関する研究,5523.0,1971,1971,Japan Society for the Promotion of Science,Japan,grant.6370857
X45120-----70027,風疹生ワクチンに関する研究,5523.0,1970,1970,Japan Society for the Promotion of Science,Japan,grant.6363940
X44120----371029,流行性耳下腺炎生ワクチンに関する研究,6907.0,1969,1969,Japan Society for the Promotion of Science,Japan,grant.6363488
X41120-----71094,インフルエンザ生ワクチンに関する研究,6907.0,1966,1966,Japan Society for the Promotion of Science,Japan,grant.6343961
X00120----187045,インフルエンザ生ワクチンに関する研究,8978.0,1976,1976,Japan Society for the Promotion of Science,Japan,grant.6317005
X00120----287054,インフルエンザ生ワクチンに関する研究,11050.0,1977,1977,Japan Society for the Promotion of Science,Japan,grant.6315891
61771809,合成マラリアワクチンの開発研究,6907.0,1986,1986,Japan Society for the Promotion of Science,Japan,grant.6233441
E 50,Biochemical characterization of a vaccine,0.0,2000,2002,FWF Austrian Science Fund,Austria,grant.6193400
56770791,単純ヘルペスウイルスワクチンの研究,6559.0,1981,1981,Japan Society for the Promotion of Science,Japan,grant.6171313
56870047,パラインフルエンザウイルスワクチンの開発,12430.0,1981,1981,Japan Society for the Promotion of Science,Japan,grant.6169577
16922177,新規腫瘍ワクチンの作製,6934.0,2004,2004,Japan Society for the Promotion of Science,Japan,grant.5896926
583834,Anti-Vaccine Blog Annotation Project,3518.0,2015,2016,Natural Sciences and Engineering Research Council,Canada,grant.5526642
hrc_aae0a049,Vaccine-based immunotherapy of cancer,3578777.0,2010,2015,Health Research Council of New Zealand,New Zealand,grant.5502450
N01AI95367-0-0-0,HIV VACCINE PRODUCTION,126906.0,1999,2008,National Institute of Allergy and Infectious Diseases,United States,grant.5246711
N01AI60019-4-0-1,Therapeutics/Vaccine Teams,5519281.0,2008,2008,National Institute of Allergy and Infectious Diseases,United States,grant.5246674
N01AI50040-5-0-1,Tularemia Vaccine Development,0.0,2005,2010,National Institute of Allergy and Infectious Diseases,United States,grant.5246626
Y2080775,幽门螺杆菌磷酸钙纳米疫苗的研究,0.0,2008,2013,Science and Technology Department of Zhejiang Province,China,grant.5070451
DRT-S98-93,Anti-tick Vaccines,50929.0,1999,2001,UC Discovery Grants (formerly IUCRP),United States,
189030,SEVAPLANT - Secure Vaccine Production in Plants,8860.0,2008,2008,The Research Council of Norway,Norway,grant.4641309
561325,Development of Novel Vaccines through Glycoengineering,4071.0,2014,2015,Natural Sciences and Engineering Research Council,Canada,grant.4168271
BIO4980503,Mucosal vaccines against autoimmune disease,0.0,1998,2000,European Commission,Belgium,grant.3739684
TS1*0347,DEVELOPMENT OF MALARIA VACCINE,0.0,1985,1987,European Commission,Belgium,grant.3706272
TS2*0103,VACCINES AGAINST TROPICAL THEILERIOSIS,0.0,1989,1993,European Commission,Belgium,grant.3702523
540031,Creation of an anti-diarrhea vaccine,4364.0,2013,2014,Natural Sciences and Engineering Research Council,Canada,grant.3652600
8026742,Fish Biologics Symposium: Serodiagnostics and Vaccines,6536.0,1981,1981,Directorate for Engineering,United States,grant.3309929
217170,Oral delievery of vaccines to salmonids,19106.0,2002,2003,Natural Sciences and Engineering Research Council,Canada,grant.2986898
304464,Tumor associated carbohydrates and vaccine design,96926.0,2003,2006,Natural Sciences and Engineering Research Council,Canada,grant.2985999
10244,Vaccines for bovine respiratory disease,10998.0,1996,1997,Natural Sciences and Engineering Research Council,Canada,grant.2984549
42673,Vaccines for bovine respiratory disease,21960.0,1994,1995,Natural Sciences and Engineering Research Council,Canada,grant.2974921
