first_name,id,last_name,orcid_id,research_orgs,total_publications,full_name,url
Judith L,ur.010751540711.55,Pipher,,"[{'id': 'grid.16416.34', 'acronym': 'UR', 'name': 'University of Rochester', 'country_name': 'United States'}, {'id': 'grid.267337.4', 'name': 'University of Toledo', 'country_name': 'United States'}, {'id': 'grid.116068.8', 'acronym': 'MIT', 'name': 'Massachusetts Institute of Technology', 'country_name': 'United States'}]",167,Judith L Pipher,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.010751540711.55
Michael Lee,ur.015761131215.51,Scott,['0000-0001-8652-7644'],"[{'id': 'grid.16416.34', 'acronym': 'UR', 'name': 'University of Rochester', 'country_name': 'United States'}, {'id': 'grid.14003.36', 'acronym': 'UW', 'name': 'University of Wisconsin–Madison', 'country_name': 'United States'}]",166,Michael Lee Scott,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.015761131215.51
David James,ur.01164624147.91,Topham,['0000-0002-9435-8673'],"[{'id': 'grid.266102.1', 'acronym': 'UCSF', 'name': 'University of California, San Francisco', 'country_name': 'United States'}, {'id': 'grid.16416.34', 'acronym': 'UR', 'name': 'University of Rochester', 'country_name': 'United States'}, {'id': 'grid.270240.3', 'acronym': 'FHCRC', 'name': 'Fred Hutchinson Cancer Research Center', 'country_name': 'United States'}, {'id': 'grid.471308.9', 'acronym': 'ST', 'name': 'STMicroelectronics (United States)', 'country_name': 'United States'}, {'id': 'grid.240871.8', 'name': ""St. Jude Children's Research Hospital"", 'country_name': 'United States'}, {'id': 'grid.152326.1', 'name': 'Vanderbilt University', 'country_name': 'United States'}, {'id': 'grid.412750.5', 'acronym': 'URMC', 'name': 'University of Rochester Medical Center', 'country_name': 'United States'}, {'id': 'grid.59062.38', 'acronym': 'UVM', 'name': 'University of Vermont', 'country_name': 'United States'}]",166,David James Topham,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.01164624147.91
Edward G,ur.01067602460.20,Walsh,['0000-0002-8792-8877'],"[{'id': 'grid.412750.5', 'acronym': 'URMC', 'name': 'University of Rochester Medical Center', 'country_name': 'United States'}, {'id': 'grid.152326.1', 'name': 'Vanderbilt University', 'country_name': 'United States'}, {'id': 'grid.416016.4', 'name': 'Rochester General Hospital', 'country_name': 'United States'}, {'id': 'grid.16416.34', 'acronym': 'UR', 'name': 'University of Rochester', 'country_name': 'United States'}]",165,Edward G Walsh,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.01067602460.20
William J,ur.013737442711.44,Forrest,,"[{'id': 'grid.16416.34', 'acronym': 'UR', 'name': 'University of Rochester', 'country_name': 'United States'}, {'id': 'grid.5386.8', 'acronym': 'CU', 'name': 'Cornell University', 'country_name': 'United States'}, {'id': 'grid.116068.8', 'acronym': 'MIT', 'name': 'Massachusetts Institute of Technology', 'country_name': 'United States'}]",165,William J Forrest,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.013737442711.44
David I,ur.01271437731.66,Yule,,"[{'id': 'grid.411023.5', 'name': 'SUNY Upstate Medical University', 'country_name': 'United States'}, {'id': 'grid.280051.e', 'acronym': 'GRC', 'name': 'Gordon Research Conferences', 'country_name': 'United States'}, {'id': 'grid.267337.4', 'name': 'University of Toledo', 'country_name': 'United States'}, {'id': 'grid.412590.b', 'acronym': 'UMHS', 'name': 'Michigan Medicine', 'country_name': 'United States'}, {'id': 'grid.412750.5', 'acronym': 'URMC', 'name': 'University of Rochester Medical Center', 'country_name': 'United States'}, {'id': 'grid.261331.4', 'acronym': 'OSU', 'name': 'The Ohio State University', 'country_name': 'United States'}, {'id': 'grid.214458.e', 'acronym': 'UM', 'name': 'University of Michigan', 'country_name': 'United States'}, {'id': 'grid.266093.8', 'acronym': 'UCI', 'name': 'University of California, Irvine', 'country_name': 'United States'}, {'id': 'grid.266100.3', 'acronym': 'UCSD', 'name': 'University of California, San Diego', 'country_name': 'United States'}, {'id': 'grid.19006.3e', 'acronym': 'UCLA', 'name': 'University of California Los Angeles', 'country_name': 'United States'}, {'id': 'grid.16416.34', 'acronym': 'UR', 'name': 'University of Rochester', 'country_name': 'United States'}, {'id': 'grid.474690.8', 'acronym': 'CBS', 'name': 'RIKEN Center for Brain Science', 'country_name': 'Japan'}, {'id': 'grid.94365.3d', 'acronym': 'NIH', 'name': 'National Institutes of Health', 'country_name': 'United States'}, {'id': 'grid.265008.9', 'name': 'Thomas Jefferson University', 'country_name': 'United States'}, {'id': 'grid.267301.1', 'acronym': 'UTHSC', 'name': 'University of Tennessee Health Science Center', 'country_name': 'United States'}, {'id': 'grid.134563.6', 'acronym': 'UA', 'name': 'University of Arizona', 'country_name': 'United States'}]",164,David I Yule,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.01271437731.66
Eric E,ur.013733125503.73,Mamajek,['0000-0003-2008-1488'],"[{'id': 'grid.440541.0', 'name': 'Cerro Tololo Inter-American Observatory', 'country_name': 'Chile'}, {'id': 'grid.97008.36', 'acronym': 'ADFA', 'name': 'Australian Defence Force Academy', 'country_name': 'Australia'}, {'id': 'grid.134563.6', 'acronym': 'UA', 'name': 'University of Arizona', 'country_name': 'United States'}, {'id': 'grid.16416.34', 'acronym': 'UR', 'name': 'University of Rochester', 'country_name': 'United States'}, {'id': 'grid.211367.0', 'acronym': 'JPL', 'name': 'Jet Propulsion Lab', 'country_name': 'United States'}, {'id': 'grid.20861.3d', 'acronym': 'CIT', 'name': 'California Institute of Technology', 'country_name': 'United States'}, {'id': 'grid.455754.2', 'acronym': 'CfA', 'name': 'Harvard–Smithsonian Center for Astrophysics', 'country_name': 'United States'}]",164,Eric E Mamajek,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.013733125503.73
Rick B,ur.013302143131.35,Spielman,,"[{'id': 'grid.474520.0', 'name': 'Sandia National Laboratories', 'country_name': 'United States'}, {'id': 'grid.16416.34', 'acronym': 'UR', 'name': 'University of Rochester', 'country_name': 'United States'}, {'id': 'grid.257296.d', 'acronym': 'ISU', 'name': 'Idaho State University', 'country_name': 'United States'}, {'id': 'grid.417480.e', 'name': 'Raytheon (United States)', 'country_name': 'United States'}]",162,Rick B Spielman,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.013302143131.35
Jonathan D,ur.011032625257.81,Zuegel,['0000-0002-8380-1713'],"[{'id': 'grid.16416.34', 'acronym': 'UR', 'name': 'University of Rochester', 'country_name': 'United States'}, {'id': 'grid.5386.8', 'acronym': 'CU', 'name': 'Cornell University', 'country_name': 'United States'}]",161,Jonathan D Zuegel,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.011032625257.81
Renè-Jean,ur.010737255113.17,Essiambre,,"[{'id': 'grid.16416.34', 'acronym': 'UR', 'name': 'University of Rochester', 'country_name': 'United States'}, {'id': 'grid.469490.6', 'name': 'Nokia (United States)', 'country_name': 'United States'}, {'id': 'grid.23856.3a', 'name': 'Laval University', 'country_name': 'Canada'}, {'id': 'grid.421036.2', 'name': 'Alcatel-Lucent (United States)', 'country_name': 'United States'}, {'id': 'grid.1441.0', 'name': 'Alcatel-Lucent (France)', 'country_name': 'France'}]",161,Renè-Jean Essiambre,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.010737255113.17
Valeri N,ur.01130422211.90,Goncharov,,"[{'id': 'grid.16416.34', 'acronym': 'UR', 'name': 'University of Rochester', 'country_name': 'United States'}]",160,Valeri N Goncharov,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.01130422211.90
Lynne Elizabeth,ur.01033303210.39,Maquat,['0000-0002-2789-2075'],"[{'id': 'grid.280051.e', 'acronym': 'GRC', 'name': 'Gordon Research Conferences', 'country_name': 'United States'}, {'id': 'grid.240614.5', 'acronym': 'RPCI', 'name': 'Roswell Park Cancer Institute', 'country_name': 'United States'}, {'id': 'grid.412750.5', 'acronym': 'URMC', 'name': 'University of Rochester Medical Center', 'country_name': 'United States'}, {'id': 'grid.280333.9', 'acronym': 'FASEB', 'name': 'Federation of American Societies for Experimental Biology', 'country_name': 'United States'}, {'id': 'grid.16416.34', 'acronym': 'UR', 'name': 'University of Rochester', 'country_name': 'United States'}, {'id': 'grid.411327.2', 'acronym': 'HHU', 'name': 'Heinrich Heine University Düsseldorf', 'country_name': 'Germany'}, {'id': 'grid.42505.36', 'acronym': 'USC', 'name': 'University of Southern California', 'country_name': 'United States'}, {'id': 'grid.14003.36', 'acronym': 'UW', 'name': 'University of Wisconsin–Madison', 'country_name': 'United States'}, {'id': 'grid.504449.8', 'acronym': 'E.A.S.Y.', 'name': 'inTACT (United States)', 'country_name': 'United States'}, {'id': 'grid.176731.5', 'acronym': 'UTMB', 'name': 'The University of Texas Medical Branch at Galveston', 'country_name': 'United States'}]",159,Lynne Elizabeth Maquat,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.01033303210.39
Martin A,ur.065306567.14,Gorovsky,,"[{'id': 'grid.280333.9', 'acronym': 'FASEB', 'name': 'Federation of American Societies for Experimental Biology', 'country_name': 'United States'}, {'id': 'grid.27755.32', 'acronym': 'UVA', 'name': 'University of Virginia', 'country_name': 'United States'}, {'id': 'grid.16416.34', 'acronym': 'UR', 'name': 'University of Rochester', 'country_name': 'United States'}, {'id': 'grid.264484.8', 'acronym': 'SU', 'name': 'Syracuse University', 'country_name': 'United States'}, {'id': 'grid.47100.32', 'name': 'Yale University', 'country_name': 'United States'}, {'id': 'grid.170205.1', 'acronym': 'UC', 'name': 'University of Chicago', 'country_name': 'United States'}]",158,Martin A Gorovsky,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.065306567.14
Robert L,ur.01144734066.60,Clark,,"[{'id': 'grid.26009.3d', 'name': 'Duke University', 'country_name': 'United States'}, {'id': 'grid.16416.34', 'acronym': 'UR', 'name': 'University of Rochester', 'country_name': 'United States'}]",157,Robert L Clark,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.01144734066.60
Harry E,ur.0747160734.02,Gove,,"[{'id': 'grid.23856.3a', 'name': 'Laval University', 'country_name': 'Canada'}, {'id': 'grid.11843.3f', 'name': 'University of Strasbourg', 'country_name': 'France'}, {'id': 'grid.16416.34', 'acronym': 'UR', 'name': 'University of Rochester', 'country_name': 'United States'}, {'id': 'grid.152326.1', 'name': 'Vanderbilt University', 'country_name': 'United States'}, {'id': 'grid.24046.34', 'acronym': 'AECL', 'name': 'Atomic Energy (Canada)', 'country_name': 'Canada'}, {'id': 'grid.168010.e', 'acronym': 'SU', 'name': 'Stanford University', 'country_name': 'United States'}]",155,Harry E Gove,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.0747160734.02
William S,ur.01165226033.13,Fals-Stewart,,"[{'id': 'grid.273335.3', 'acronym': 'UB', 'name': 'University at Buffalo, State University of New York', 'country_name': 'United States'}, {'id': 'grid.412750.5', 'acronym': 'URMC', 'name': 'University of Rochester Medical Center', 'country_name': 'United States'}, {'id': 'grid.266100.3', 'acronym': 'UCSD', 'name': 'University of California, San Diego', 'country_name': 'United States'}, {'id': 'grid.62562.35', 'name': 'RTI International', 'country_name': 'United States'}, {'id': 'grid.38142.3c', 'name': 'Harvard University', 'country_name': 'United States'}, {'id': 'grid.16416.34', 'acronym': 'UR', 'name': 'University of Rochester', 'country_name': 'United States'}, {'id': 'grid.252048.9', 'acronym': 'AIU', 'name': 'Alliant International University', 'country_name': 'United States'}, {'id': 'grid.413890.7', 'acronym': 'MEDVAMC', 'name': 'Michael E. DeBakey VA Medical Center', 'country_name': 'United States'}, {'id': 'grid.261368.8', 'acronym': 'ODU', 'name': 'Old Dominion University', 'country_name': 'United States'}, {'id': 'grid.413904.b', 'acronym': 'PVAMC', 'name': 'Providence VA Medical Center', 'country_name': 'United States'}]",155,William S Fals-Stewart,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.01165226033.13
Mary G Adams,ur.01215450000.22,Carey,,"[{'id': 'grid.189747.4', 'acronym': 'SUNY', 'name': 'State University of New York', 'country_name': 'United States'}, {'id': 'grid.416663.0', 'acronym': 'SMH', 'name': 'Strong Memorial Hospital', 'country_name': 'United States'}, {'id': 'grid.266102.1', 'acronym': 'UCSF', 'name': 'University of California, San Francisco', 'country_name': 'United States'}, {'id': 'grid.273335.3', 'acronym': 'UB', 'name': 'University at Buffalo, State University of New York', 'country_name': 'United States'}, {'id': 'grid.170693.a', 'acronym': 'USF', 'name': 'University of South Florida', 'country_name': 'United States'}, {'id': 'grid.412750.5', 'acronym': 'URMC', 'name': 'University of Rochester Medical Center', 'country_name': 'United States'}, {'id': 'grid.266813.8', 'acronym': 'UNMC', 'name': 'University of Nebraska Medical Center', 'country_name': 'United States'}, {'id': 'grid.16416.34', 'acronym': 'UR', 'name': 'University of Rochester', 'country_name': 'United States'}, {'id': 'grid.21925.3d', 'name': 'University of Pittsburgh', 'country_name': 'United States'}, {'id': 'grid.266818.3', 'acronym': 'UNR', 'name': 'University of Nevada Reno', 'country_name': 'United States'}]",154,Mary G Adams Carey,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.01215450000.22
Douglas,ur.07373105205.77,Cline,,"[{'id': 'grid.47840.3f', 'acronym': 'UCB', 'name': 'University of California, Berkeley', 'country_name': 'United States'}, {'id': 'grid.23856.3a', 'name': 'Laval University', 'country_name': 'Canada'}, {'id': 'grid.10025.36', 'name': 'University of Liverpool', 'country_name': 'United Kingdom'}, {'id': 'grid.411461.7', 'acronym': 'UTK', 'name': 'University of Tennessee at Knoxville', 'country_name': 'United States'}, {'id': 'grid.184769.5', 'acronym': 'LBL', 'name': 'Lawrence Berkeley National Laboratory', 'country_name': 'United States'}, {'id': 'grid.16416.34', 'acronym': 'UR', 'name': 'University of Rochester', 'country_name': 'United States'}, {'id': 'grid.482271.a', 'name': 'Daresbury Laboratory', 'country_name': 'United Kingdom'}, {'id': 'grid.152326.1', 'name': 'Vanderbilt University', 'country_name': 'United States'}, {'id': 'grid.168010.e', 'acronym': 'SU', 'name': 'Stanford University', 'country_name': 'United States'}]",154,Douglas Cline,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.07373105205.77
Robert L,ur.0657724217.22,Mccrory,,"[{'id': 'grid.16416.34', 'acronym': 'UR', 'name': 'University of Rochester', 'country_name': 'United States'}, {'id': 'grid.250008.f', 'acronym': 'LLL', 'name': 'Lawrence Livermore National Laboratory', 'country_name': 'United States'}]",153,Robert L Mccrory,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.0657724217.22
Stephen D,ur.0732154254.28,Jacobs,,"[{'id': 'grid.16416.34', 'acronym': 'UR', 'name': 'University of Rochester', 'country_name': 'United States'}]",153,Stephen D Jacobs,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.0732154254.28
Wolfgang,ur.0757017217.35,Theobald,,"[{'id': 'grid.4372.2', 'acronym': 'MPG', 'name': 'Max Planck Society', 'country_name': 'Germany'}, {'id': 'grid.418140.8', 'acronym': 'MPIbpc', 'name': 'Max Planck Institute for Biophysical Chemistry', 'country_name': 'Germany'}, {'id': 'grid.9613.d', 'acronym': 'FSU', 'name': 'Friedrich Schiller University Jena', 'country_name': 'Germany'}, {'id': 'grid.214458.e', 'acronym': 'UM', 'name': 'University of Michigan', 'country_name': 'United States'}, {'id': 'grid.5802.f', 'name': 'Johannes Gutenberg University of Mainz', 'country_name': 'Germany'}, {'id': 'grid.16416.34', 'acronym': 'UR', 'name': 'University of Rochester', 'country_name': 'United States'}]",153,Wolfgang Theobald,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.0757017217.35
Judith F,ur.01347436672.93,Baumhauer,,"[{'id': 'grid.478325.f', 'acronym': 'AOFAS', 'name': 'American Orthopaedic Foot and Ankle Society', 'country_name': 'United States'}, {'id': 'grid.258041.a', 'acronym': 'JMU', 'name': 'James Madison University', 'country_name': 'United States'}, {'id': 'grid.412750.5', 'acronym': 'URMC', 'name': 'University of Rochester Medical Center', 'country_name': 'United States'}, {'id': 'grid.137628.9', 'acronym': 'NYU', 'name': 'New York University', 'country_name': 'United States'}, {'id': 'grid.59062.38', 'acronym': 'UVM', 'name': 'University of Vermont', 'country_name': 'United States'}, {'id': 'grid.16416.34', 'acronym': 'UR', 'name': 'University of Rochester', 'country_name': 'United States'}, {'id': 'grid.27755.32', 'acronym': 'UVA', 'name': 'University of Virginia', 'country_name': 'United States'}]",153,Judith F Baumhauer,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.01347436672.93
Carlos R,ur.0756712020.58,Stroud,,"[{'id': 'grid.16416.34', 'acronym': 'UR', 'name': 'University of Rochester', 'country_name': 'United States'}]",152,Carlos R Stroud,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.0756712020.58
James V,ur.013763334317.81,Aquavella,,"[{'id': 'grid.16416.34', 'acronym': 'UR', 'name': 'University of Rochester', 'country_name': 'United States'}, {'id': 'grid.189504.1', 'acronym': 'BU', 'name': 'Boston University', 'country_name': 'United States'}, {'id': 'grid.412750.5', 'acronym': 'URMC', 'name': 'University of Rochester Medical Center', 'country_name': 'United States'}]",152,James V Aquavella,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.013763334317.81
Judith G,ur.01301242360.26,Smetana,['0000-0002-7951-1772'],"[{'id': 'grid.214458.e', 'acronym': 'UM', 'name': 'University of Michigan', 'country_name': 'United States'}, {'id': 'grid.256259.f', 'acronym': 'GFU', 'name': 'George Fox University', 'country_name': 'United States'}, {'id': 'grid.164295.d', 'acronym': 'UMCP', 'name': 'University of Maryland, College Park', 'country_name': 'United States'}, {'id': 'grid.16416.34', 'acronym': 'UR', 'name': 'University of Rochester', 'country_name': 'United States'}, {'id': 'grid.14003.36', 'acronym': 'UW', 'name': 'University of Wisconsin–Madison', 'country_name': 'United States'}, {'id': 'grid.46078.3d', 'acronym': 'UW', 'name': 'University of Waterloo', 'country_name': 'Canada'}]",152,Judith G Smetana,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.01301242360.26
Suzanne N,ur.01145645776.97,Haber,,"[{'id': 'grid.412750.5', 'acronym': 'URMC', 'name': 'University of Rochester Medical Center', 'country_name': 'United States'}, {'id': 'grid.168010.e', 'acronym': 'SU', 'name': 'Stanford University', 'country_name': 'United States'}, {'id': 'grid.9619.7', 'acronym': 'HUJI', 'name': 'Hebrew University of Jerusalem', 'country_name': 'Israel'}, {'id': 'grid.47100.32', 'name': 'Yale University', 'country_name': 'United States'}, {'id': 'grid.16416.34', 'acronym': 'UR', 'name': 'University of Rochester', 'country_name': 'United States'}, {'id': 'grid.38142.3c', 'name': 'Harvard University', 'country_name': 'United States'}, {'id': 'grid.14003.36', 'acronym': 'UW', 'name': 'University of Wisconsin–Madison', 'country_name': 'United States'}, {'id': 'grid.240206.2', 'name': 'McLean Hospital', 'country_name': 'United States'}, {'id': 'grid.116068.8', 'acronym': 'MIT', 'name': 'Massachusetts Institute of Technology', 'country_name': 'United States'}, {'id': 'grid.21729.3f', 'acronym': 'CU', 'name': 'Columbia University', 'country_name': 'United States'}]",151,Suzanne N Haber,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.01145645776.97
Benjamin L,ur.01247603710.65,Miller,['0000-0003-1647-0122'],"[{'id': 'grid.412750.5', 'acronym': 'URMC', 'name': 'University of Rochester Medical Center', 'country_name': 'United States'}, {'id': 'grid.94365.3d', 'acronym': 'NIH', 'name': 'National Institutes of Health', 'country_name': 'United States'}, {'id': 'grid.134936.a', 'acronym': 'MU', 'name': 'University of Missouri', 'country_name': 'United States'}, {'id': 'grid.432256.4', 'name': 'Adarza BioSystems (United States)', 'country_name': 'United States'}, {'id': 'grid.38142.3c', 'name': 'Harvard University', 'country_name': 'United States'}, {'id': 'grid.16416.34', 'acronym': 'UR', 'name': 'University of Rochester', 'country_name': 'United States'}, {'id': 'grid.168010.e', 'acronym': 'SU', 'name': 'Stanford University', 'country_name': 'United States'}, {'id': 'grid.262613.2', 'acronym': 'RIT', 'name': 'Rochester Institute of Technology', 'country_name': 'United States'}]",151,Benjamin L Miller,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.01247603710.65
Robert C,ur.01325231172.05,Waag,,"[{'id': 'grid.16416.34', 'acronym': 'UR', 'name': 'University of Rochester', 'country_name': 'United States'}, {'id': 'grid.33647.35', 'acronym': 'RPI', 'name': 'Rensselaer Polytechnic Institute', 'country_name': 'United States'}, {'id': 'grid.412750.5', 'acronym': 'URMC', 'name': 'University of Rochester Medical Center', 'country_name': 'United States'}]",151,Robert C Waag,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.01325231172.05
Patrick T,ur.01313527437.06,Davies,['0000-0003-2725-9736'],"[{'id': 'grid.268154.c', 'acronym': 'WVU', 'name': 'West Virginia University', 'country_name': 'United States'}, {'id': 'grid.16416.34', 'acronym': 'UR', 'name': 'University of Rochester', 'country_name': 'United States'}, {'id': 'grid.273335.3', 'acronym': 'UB', 'name': 'University at Buffalo, State University of New York', 'country_name': 'United States'}, {'id': 'grid.169077.e', 'name': 'Purdue University West Lafayette', 'country_name': 'United States'}]",151,Patrick T Davies,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.01313527437.06
Govind S,ur.012516705333.71,Mudholkar,,"[{'id': 'grid.273335.3', 'acronym': 'UB', 'name': 'University at Buffalo, State University of New York', 'country_name': 'United States'}, {'id': 'grid.412750.5', 'acronym': 'URMC', 'name': 'University of Rochester Medical Center', 'country_name': 'United States'}, {'id': 'grid.262613.2', 'acronym': 'RIT', 'name': 'Rochester Institute of Technology', 'country_name': 'United States'}, {'id': 'grid.10824.3f', 'acronym': 'OAU', 'name': 'Obafemi Awolowo University', 'country_name': 'Nigeria'}, {'id': 'grid.16416.34', 'acronym': 'UR', 'name': 'University of Rochester', 'country_name': 'United States'}, {'id': 'grid.266860.c', 'acronym': 'UNCG', 'name': 'University of North Carolina at Greensboro', 'country_name': 'United States'}, {'id': 'grid.240871.8', 'name': ""St. Jude Children's Research Hospital"", 'country_name': 'United States'}, {'id': 'grid.419971.3', 'acronym': 'BMS', 'name': 'Bristol-Myers Squibb (United States)', 'country_name': 'United States'}, {'id': 'grid.410319.e', 'name': 'Concordia University', 'country_name': 'Canada'}]",151,Govind S Mudholkar,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.012516705333.71
Charles A,ur.01055170665.06,Thornton,,"[{'id': 'grid.15276.37', 'acronym': 'UF', 'name': 'University of Florida', 'country_name': 'United States'}, {'id': 'grid.412750.5', 'acronym': 'URMC', 'name': 'University of Rochester Medical Center', 'country_name': 'United States'}, {'id': 'grid.46699.34', 'acronym': 'KCH', 'name': ""King's College Hospital"", 'country_name': 'United Kingdom'}, {'id': 'grid.39382.33', 'acronym': 'BCM', 'name': 'Baylor College of Medicine', 'country_name': 'United States'}, {'id': 'grid.7737.4', 'acronym': 'UH', 'name': 'University of Helsinki', 'country_name': 'Finland'}, {'id': 'grid.417201.1', 'name': 'Vaasa Central Hospital', 'country_name': 'Finland'}, {'id': 'grid.16416.34', 'acronym': 'UR', 'name': 'University of Rochester', 'country_name': 'United States'}, {'id': 'grid.282569.2', 'name': 'Ionis Pharmaceuticals (United States)', 'country_name': 'United States'}, {'id': 'grid.147455.6', 'acronym': 'CMU', 'name': 'Carnegie Mellon University', 'country_name': 'United States'}]",148,Charles A Thornton,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.01055170665.06
Mark D,ur.01270713326.86,Noble,,"[{'id': 'grid.5608.b', 'acronym': 'UNIPD', 'name': 'University of Padua', 'country_name': 'Italy'}, {'id': 'grid.13097.3c', 'acronym': 'KCL', 'name': ""King's College London"", 'country_name': 'United Kingdom'}, {'id': 'grid.250671.7', 'name': 'Salk Institute for Biological Studies', 'country_name': 'United States'}, {'id': 'grid.412750.5', 'acronym': 'URMC', 'name': 'University of Rochester Medical Center', 'country_name': 'United States'}, {'id': 'grid.223827.e', 'acronym': 'UU', 'name': 'University of Utah', 'country_name': 'United States'}, {'id': 'grid.7445.2', 'name': 'Imperial College London', 'country_name': 'United Kingdom'}, {'id': 'grid.479969.c', 'acronym': 'HCI', 'name': 'Huntsman Cancer Institute', 'country_name': 'United States'}, {'id': 'grid.4991.5', 'name': 'University of Oxford', 'country_name': 'United Kingdom'}, {'id': 'grid.16416.34', 'acronym': 'UR', 'name': 'University of Rochester', 'country_name': 'United States'}, {'id': 'grid.482095.2', 'name': 'Ludwig Institute for Cancer Research', 'country_name': 'Australia'}, {'id': 'grid.83440.3b', 'acronym': 'UCL', 'name': 'University College London', 'country_name': 'United Kingdom'}, {'id': 'grid.421666.1', 'acronym': 'RCS', 'name': 'Royal College of Surgeons of England', 'country_name': 'United Kingdom'}, {'id': 'grid.11485.39', 'acronym': 'CRUK', 'name': 'Cancer Research UK', 'country_name': 'United Kingdom'}, {'id': 'grid.412722.0', 'acronym': 'UUHC', 'name': 'University of Utah Health Care', 'country_name': 'United States'}, {'id': 'grid.51462.34', 'acronym': 'MSK', 'name': 'Memorial Sloan Kettering Cancer Center', 'country_name': 'United States'}]",147,Mark D Noble,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.01270713326.86
Michael Kerry,ur.01014310354.65,O'Banion,['0000-0003-1246-3363'],"[{'id': 'grid.280892.9', 'name': 'Jesse Brown VA Medical Center', 'country_name': 'United States'}, {'id': 'grid.185648.6', 'acronym': 'UIC', 'name': 'University of Illinois at Chicago', 'country_name': 'United States'}, {'id': 'grid.412750.5', 'acronym': 'URMC', 'name': 'University of Rochester Medical Center', 'country_name': 'United States'}, {'id': 'grid.5386.8', 'acronym': 'CU', 'name': 'Cornell University', 'country_name': 'United States'}, {'id': 'grid.249880.f', 'name': 'Jackson Laboratory', 'country_name': 'United States'}, {'id': 'grid.470329.b', 'acronym': 'APSA', 'name': 'American Physician Scientists Association', 'country_name': 'United States'}, {'id': 'grid.16416.34', 'acronym': 'UR', 'name': 'University of Rochester', 'country_name': 'United States'}, {'id': 'grid.414208.b', 'name': 'Banner Sun Health Research Institute', 'country_name': 'United States'}, {'id': 'grid.5949.1', 'acronym': 'WWU', 'name': 'University of Münster', 'country_name': 'Germany'}, {'id': 'grid.35403.31', 'acronym': 'UIUC', 'name': 'University of Illinois at Urbana Champaign', 'country_name': 'United States'}]",146,Michael Kerry O'Banion,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.01014310354.65
Ross Henry,ur.0736715035.77,Tallents,,"[{'id': 'grid.62560.37', 'acronym': 'BWH', 'name': ""Brigham and Women's Hospital"", 'country_name': 'United States'}, {'id': 'grid.412750.5', 'acronym': 'URMC', 'name': 'University of Rochester Medical Center', 'country_name': 'United States'}, {'id': 'grid.36425.36', 'acronym': 'SBU', 'name': 'Stony Brook University', 'country_name': 'United States'}, {'id': 'grid.413079.8', 'name': 'University of California Davis Medical Center', 'country_name': 'United States'}, {'id': 'grid.38142.3c', 'name': 'Harvard University', 'country_name': 'United States'}, {'id': 'grid.16416.34', 'acronym': 'UR', 'name': 'University of Rochester', 'country_name': 'United States'}, {'id': 'grid.415879.6', 'acronym': 'NMCSD', 'name': 'Naval Medical Center San Diego', 'country_name': 'United States'}, {'id': 'grid.31501.36', 'acronym': 'SNU', 'name': 'Seoul National University', 'country_name': 'South Korea'}, {'id': 'grid.4514.4', 'name': 'Lund University', 'country_name': 'Sweden'}]",146,Ross Henry Tallents,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.0736715035.77
James R,ur.0575651670.60,Fienup,,"[{'id': 'grid.16416.34', 'acronym': 'UR', 'name': 'University of Rochester', 'country_name': 'United States'}, {'id': 'grid.419407.f', 'acronym': 'SAIC', 'name': 'Leidos (United States)', 'country_name': 'United States'}]",145,James R Fienup,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.0575651670.60
