,for_name,id,year,title
528,Other Chemical Sciences,US-9821074-B2,2014,Pyrrolobenzodiazepines and conjugates thereof
529,Immunology,US-9464141-B2,2013,Anti-ETBR antibodies and immunoconjugates
530,Ophthalmology and Optometry,WO-2016146254-A1,2016,AGENTS FOR USE IN THE THERAPEUTIC OR PROPHYLACTIC TREATMENT OF MYOPIA OR HYPEROPIA
531,Environmental Engineering,EP-3137588-A4,2015,COMPOSITIONS AND METHODS FOR HANDLING POTENTIAL PRION CONTAMINATION
532,Immunology,US-9745552-B2,2011,Anti CD4 antibodies to prevent in particular graft-versus-host-disease (GvHD)
533,Genetics,WO-2017181134-A2,2017,DETECTING CANCER DRIVER GENES AND PATHWAYS
534,Organic Chemistry,US-9649390-B2,2014,Pyrrolobenzodiazepines and conjugates thereof
535,Oncology and Carcinogenesis,WO-2018092064-A1,2017,COMBINATIONS OF MDM2 INHIBITORS AND BCL-XL INHIBITORS
536,Genetics,US-9526784-B2,2014,Delivery system for functional nucleases
537,Biochemistry and Cell Biology,US-20150165054-A1,2014,METHODS FOR CORRECTING CASPASE-9 POINT MUTATIONS
538,Organic Chemistry,US-9822144-B2,2017,"Benzodiazepine dimers, conjugates thereof, and methods of making and using"
539,Organic Chemistry,US-9676794-B2,2016,"Benzodiazepine dimers, conjugates thereof, and methods of making and using"
540,Microbiology,US-10030252-B2,2016,Chimeric nucleic acid molecules with non-AUG translation initiation sequences and uses thereof
541,Biochemistry and Cell Biology,US-10077453-B2,2015,CAS9 proteins including ligand-dependent inteins
542,Oncology and Carcinogenesis,WO-2017191073-A1,2017,MUTATIONAL SIGNATURES IN CANCER
543,Organic Chemistry,US-9902740-B2,2017,"Macrocyclic benzodiazepine dimers, conjugates thereof, preparation and uses"
544,Electrical and Electronic Engineering,US-10016600-B2,2014,Topical neurological stimulation
545,Neurosciences,US-10016600-B2,2014,Topical neurological stimulation
546,Biomedical Engineering,US-10016600-B2,2014,Topical neurological stimulation
547,Organic Chemistry,US-9527871-B2,2016,"Benzodiazepine dimers, conjugates thereof, and methods of making and using"
548,Immunology,US-9957323-B2,2017,Anti-ICOS antibodies
549,Genetics,US-9340799-B2,2014,MRNA-sensing switchable gRNAs
550,Organic Chemistry,US-9526801-B2,2016,"Heteroarylene-bridged benzodiazepine dimers, conjugates thereof, and methods of making and using"
551,Microbiology,US-9988643-B2,2016,Chimeric nucleic acid molecules with non-AUG translation initiation sequences and uses thereof
552,Immunology,US-9938358-B2,2016,Animal models and therapeutic molecules
553,Genetics,WO-2017093561-A1,2016,METHOD FOR NON-INVASIVE PRENATAL TESTING
554,Immunology,US-9924705-B2,2016,Animal models and therapeutic molecules
555,Immunology,US-9896516-B2,2016,Animal models and therapeutic molecules
556,Materials Engineering,FR-3017752-A1,2014,The energy conversion device of the radiofrequency in direct current and the corresponding sensor
557,Optical Physics,DE-102015015816-A1,2015,Sensory device for the optical detection of the particle concentration in suspensions of microscopic particles
558,Clinical Sciences,US-9844602-B2,2008,Antibody and use in diagnosis and therapy of arthropathies
559,Communications Technologies,US-9985461-B2,2015,Systems capable of self-harvesting energy from wireless devices and methods of using the same
560,Immunology,US-9434782-B2,2013,Animal models and therapeutic molecules
561,Neurosciences,WO-2016202343-A1,2016,"A TRIPLE CO-CULTURE MODEL OF THE BLOOD-BRAIN BARRIER USING PRIMARY PORCINE BRAIN ENDOTHELIAL CELLS, PORCINE PERICYTES AND PORCINE ASTROCYTES"
562,Neurosciences,WO-2017194589-A1,2017,INHIBITION OF TAU-MEDIATED EARLY SYNAPTIC DYSFUNCTION
563,Immunology,US-9505827-B2,2013,Animal models and therapeutic molecules
564,Immunology,WO-2015155199-A1,2015,A NEW BIOMARKER OF ANTIBODY-MEDIATED REJECTION
565,Clinical Sciences,US-9993504-B2,2014,Methods and compositions for generating chondrocyte lineage cells and/or cartilage like tissue
566,Immunology,US-9938357-B2,2016,Animal models and therapeutic molecules
567,Electrical and Electronic Engineering,US-9966801-B2,2017,RF energy harvester
568,Communications Technologies,US-9966801-B2,2017,RF energy harvester
569,Genetics,US-9828639-B2,2013,Identification of gene associated with reading disability and uses therefor
570,Genetics,US-9504236-B2,2015,Animal models and therapeutic molecules
571,Electrical and Electronic Engineering,US-9837865-B2,2014,RF energy harvester
572,Communications Technologies,US-9837865-B2,2014,RF energy harvester
573,Biochemistry and Cell Biology,WO-2017162806-A1,2017,COMPOUNDS FOR THE TREATMENT OF NIEMANN-PICK DISEASE TYPE C1
574,Biochemistry and Cell Biology,WO-2014184666-A3,2014,CELL THERAPY FOR MYELODYSPLASTIC SYNDROMES
575,Clinical Sciences,US-20110076347-A1,2009,Molecules Interfering with Binding of Calbindin to Inositol Monophosphatase for the Treatment of Mood Disorders
576,Artificial Intelligence and Image Processing,GB-2515485-B,2013,Method and apparatus for generating image alignment data
577,Biochemistry and Cell Biology,EP-2930246-A1,2014,Novel single nucleotide polymorphisms associated with various diseases and disorders
578,Artificial Intelligence and Image Processing,WO-2014206722-A1,2014,METHOD AND APPARATUS FOR GENERATING IMAGE ALIGNMENT DATA
579,Biochemistry and Cell Biology,US-9745577-B2,2015,Reducing intron retention
580,Biochemistry and Cell Biology,US-9714422-B2,2016,Reducing intron retention
581,Macromolecular and Materials Chemistry,WO-2015144101-A1,2015,CRYSTALLINE AND AMORPHOUS FORM OF ACLIDINIUM CHLORIDE AND METHOD FOR THEIR PREPARATION
582,Genetics,EP-3167080-A4,2015,GENETIC ADDICTION RISK ANALYSIS FOR RDS SEVERITY INDEX
583,Organic Chemistry,WO-2016126875-A1,2016,METHOD FOR FULLY AUTOMATED SYNTHESIS OF 16β-18F-FLUORO-5α-DIHYDROTESTOSTERONE (18F-FDHT)
584,Biochemistry and Cell Biology,WO-2017168183-A1,2017,CRYSTAL STRUCTURES COMPRISING ELASTIN-LIKE PEPTIDES
585,Clinical Sciences,US-9056079-B2,2009,Molecules interfering with binding of calbindin to inositol monophosphatase for the treatment of mood disorders
586,Organic Chemistry,US-10065985-B2,2016,Method for fully automated synthesis of 16β-18F-fluoro-5α-dihydrotestosterone (18F-FDHT)
587,Oncology and Carcinogenesis,US-9458510-B2,2012,Signatures and determinants associated with prostate cancer progression and methods of use thereof
588,Pharmacology and Pharmaceutical Sciences,WO-2017174999-A1,2017,SYNTHETIC RETINOIDS FOR USE IN RAR MEDIATED CONDITIONS
589,Physical Chemistry (incl. Structural),WO-2013164592-A1,2013,PYRROLOBENZODIAZEPINES
590,Organic Chemistry,US-9988374-B2,2015,Cytochrome P450 inhibitors and uses thereof
591,Oncology and Carcinogenesis,US-9555087-B2,2014,"Polypeptides and polynucleotides, and uses thereof as a drug target for producing drugs and biologics"
592,Immunology,US-9555087-B2,2014,"Polypeptides and polynucleotides, and uses thereof as a drug target for producing drugs and biologics"
593,Neurosciences,US-9801879-B2,2015,"Pyridazine derivatives, compositions and methods for treating cognitive impairment"
594,Medical Biotechnology,US-9764045-B2,2015,Optimised coding sequence and promoter
595,Pharmacology and Pharmaceutical Sciences,WO-2015166289-A1,2015,PYRROLOBENZODIAZEPINE COMPOUNDS
596,Medical Biotechnology,WO-2017053677-A1,2016,"ADENO-ASSOCIATED VIRUS FACTOR VIII VECTORS, ASSOCIATED VIRAL PARTICLES AND THERAPEUTIC FORMULATIONS COMPRISING THE SAME"
597,Medical Biotechnology,WO-2017103624-A1,2016,WILSON'S DISEASE GENE THERAPY
598,Oncology and Carcinogenesis,US-9382204-B2,2014,Inhibitors targeting the DNA-binding domain of human STAT3 for treatment of metastatic cancers
599,Biochemistry and Cell Biology,US-9382204-B2,2014,Inhibitors targeting the DNA-binding domain of human STAT3 for treatment of metastatic cancers
600,Immunology,US-9988408-B2,2013,Cytotoxic agents for conjugation to a cell binding molecule
601,Medical Biotechnology,US-10058624-B2,2016,Recombinant promoters and vectors for protein expression in liver and use thereof
602,Medical Biotechnology,WO-2016075473-A3,2015,FACTOR IX GENE THERAPY
603,Oncology and Carcinogenesis,EP-3047277-A1,2014,AUTOANTIBODY BIOMARKERS OF OVARIAN CANCER
604,Biochemistry and Cell Biology,US-9447168-B2,2013,Nucleic acid molecules encoding modified factor VIII proteins
605,Information Systems,US-9582494-B2,2013,Object extraction from presentation-oriented documents using a semantic and spatial approach
606,Psychology,US-9582494-B2,2013,Object extraction from presentation-oriented documents using a semantic and spatial approach
607,Medical Biotechnology,WO-2016168728-A2,2016,RECOMBINANT PROMOTERS AND VECTORS FOR PROTEIN EXPRESSION IN LIVER AND USE THEREOF
608,Oncology and Carcinogenesis,EP-3047277-A4,2014,AUTOANTIBODY BIOMARKERS OF OVARIAN CANCER
609,Clinical Sciences,WO-2015085368-A1,2014,"KITS AND METHODS FOR THE DIAGNOSIS, TREATMENT, PREVENTION AND MONITORING OF DIABETES"
610,Neurosciences,US-9931329-B2,2015,Phenyl triazole derivative and its use for modulating the GABAA receptor complex
611,Medical Biotechnology,US-20150273082-A1,2015,OPTIMISED CODING SEQUENCE AND PROMOTER
612,Artificial Intelligence and Image Processing,US-10034645-B1,2017,Systems and methods for detecting complex networks in MRI image data
613,Artificial Intelligence and Image Processing,DE-102013206644-A1,2013,Method and system for processing mrt-data of the human brain
614,Organic Chemistry,US-9346788-B2,2015,TrkA receptor tyrosine kinase antagonists and uses thereof
615,Neurosciences,US-8722894-B2,2008,"1,3-disubstituted-4-phenyl-1H-pyridin-2-ones"
616,Medical Biochemistry and Metabolomics,US-9457041-B2,2015,Controlled release nanoparticles and methods of use
617,Artificial Intelligence and Image Processing,WO-2017148805-A1,2017,"A PERFUSION PHANTOM FOR MRI AND AN APPARATUS, SYSTEM AND METHOD FOR VALIDATING MR IMAGES OF A PHANTOM"
618,Cardiorespiratory Medicine and Haematology,US-20150324962-A1,2015,Method and System for Non-Invasive Computation of Hemodynamic Indices for Coronary Artery Stenosis
619,Biomedical Engineering,US-20150324962-A1,2015,Method and System for Non-Invasive Computation of Hemodynamic Indices for Coronary Artery Stenosis
620,Pharmacology and Pharmaceutical Sciences,US-8691813-B2,2009,Indole and benzoxazine derivatives as modulators of metabotropic glutamate receptors
621,Cardiorespiratory Medicine and Haematology,US-9595089-B2,2015,Method and system for non-invasive computation of hemodynamic indices for coronary artery stenosis
622,Biomedical Engineering,US-9595089-B2,2015,Method and system for non-invasive computation of hemodynamic indices for coronary artery stenosis
623,Neurosciences,EP-2793188-A2,2014,Method and system for processing of MRI data of the human brain
624,Pharmacology and Pharmaceutical Sciences,US-8697689-B2,2009,Indole and benzomorpholine derivatives as modulators of metabotropic glutamate receptors
625,Biomedical Engineering,US-20160007866-A1,2015,"DEVICES, SYSTEMS, AND METHODS FOR ASSESSMENT OF VESSELS"
626,Cardiorespiratory Medicine and Haematology,EP-3139833-A4,2015,CARDIAC PHASE-RESOLVED NON-BREATH-HOLD 3-DIMENSIONAL MAGNETIC RESONANCE ANGIOGRAPHY
627,Organic Chemistry,US-9855265-B2,2016,Methods for treating cancer with TrkA receptor tyrosine kinase antagonists
628,Clinical Sciences,US-9114147-B2,2013,System and method for diagnosis and treatment
629,Genetics,WO-2014023672-A1,2013,TRANSGENIC ANIMAL
630,Artificial Intelligence and Image Processing,WO-2016092328-A2,2015,AUTHENTICATING AN ARTICLE
631,Pharmacology and Pharmaceutical Sciences,US-9067891-B2,2012,"1,4-disubstituted 3-cyano-pyridone derivatives and their use as positive allosteric modulators of mGluR2-receptors"
632,Artificial Intelligence and Image Processing,WO-2014188368-A1,2014,A METHOD FOR GREY ZONE IMAGING USING RELATIVE R1 CHANGES
633,Neurosciences,US-10024870-B2,2015,Therapeutic and diagnostic methods and compositions for neurodegenerative diseases
634,Oncology and Carcinogenesis,WO-2016172764-A1,2016,BREAST CANCER RISK ASSESSMENT
635,Public Health and Health Services,WO-2016172764-A1,2016,BREAST CANCER RISK ASSESSMENT
636,Organic Chemistry,US-9834550-B2,2015,Pyridopyrimidinone compounds for modulating the catalytic activity of histone lysine demethylases (KDMs)
637,Clinical Sciences,US-8658128-B2,2012,System and method for diagnosis and treatment
638,Clinical Sciences,WO-2018083326-A1,2017,HYDROGEN SULFIDE RELEASING POLYMER COMPOUNDS
639,Medical Biotechnology,EP-2796545-A1,2013,"Methods for obtaining retinal progenitors, retinal pigmented epithelial cells and neural retinal cells"
640,Neurosciences,WO-2015089375-A1,2014,SOLUBLE HIGH MOLECULAR WEIGHT (HMW) TAU SPECIES AND APPLICATIONS THEREOF
641,Clinical Sciences,WO-2015084939-A1,2014,METHODS AND COMPOSITIONS FOR DIAGNOSIS AND PROGNOSIS OF RENAL INJURY AND RENAL FAILURE
642,Psychology,US-10022436-B2,2017,Microneedle compositions and methods of using same
643,Medical Microbiology,WO-2017117130-A1,2016,METHODS FOR INHIBITING HUMAN IMMUNODEFICIENCY VIRUS (HIV) RELEASE FROM INFECTED CELLS
644,Immunology,WO-2017117130-A1,2016,METHODS FOR INHIBITING HUMAN IMMUNODEFICIENCY VIRUS (HIV) RELEASE FROM INFECTED CELLS
645,Artificial Intelligence and Image Processing,US-9811904-B2,2014,Method and system for determining a phenotype of a neoplasm in a human or animal body
646,Biochemistry and Cell Biology,US-10059945-B2,2017,Methods of controlling cell fate and consequences for disease
647,Biochemistry and Cell Biology,WO-2016085876-A1,2015,CLONAL HAEMATOPOIESIS
648,Immunology,WO-2016169971-A1,2016,LASER-ASSISTED INTRADERMAL ADMINISTRATION OF ACTIVE SUBSTANCES
649,Artificial Intelligence and Image Processing,WO-2013171441-A3,2013,VIRTUAL FIDUCIAL MARKERS
650,Cardiorespiratory Medicine and Haematology,WO-2014099999-A1,2013,METHODS FOR IMPROVING CARDIAC CONTRACTILITY
651,Immunology,WO-2017194610-A1,2017,METHODS FOR PREDICTING THE USEFULNESS OF PROTEINS OR PROTEIN FRAGMENTS FOR IMMUNOTHERAPY
652,Oncology and Carcinogenesis,US-9585627-B2,2014,Histological differentiation grade prediction of hepatocellular carcinoma in computed tomography images
653,Clinical Sciences,EP-3112871-A1,2010,METHODS AND COMPOSITIONS FOR DIAGNOSIS AND PROGNOSIS OF RENAL INJURY AND RENAL FAILURE
654,Cardiorespiratory Medicine and Haematology,EP-2924438-A1,2014,IGFBP7 for diagnosing diastolic dysfunction
655,Medical Biotechnology,WO-2014174492-A1,2014,"METHODS FOR OBTAINING RETINAL PROGENITORS, RETINAL PIGMENTED EPITHELIAL CELLS AND NEURAL RETINAL CELLS"
656,Neurosciences,EP-3060913-A4,2014,BIOMARKERS AND DIAGNOSTIC METHODS FOR ALZHEIMER'S DISEASE AND OTHER NEURODEGENERATIVE DISORDERS
657,Biochemistry and Cell Biology,EP-3060913-A4,2014,BIOMARKERS AND DIAGNOSTIC METHODS FOR ALZHEIMER'S DISEASE AND OTHER NEURODEGENERATIVE DISORDERS
658,Immunology,WO-2015150491-A1,2015,AN ISOLATED DONOR MHC-DERIVED PEPTIDE AND USES THEREOF
659,Organic Chemistry,WO-2015075699-A1,2014,DOTAM DERIVATIVES FOR THERAPEUTIC USE
660,Biochemistry and Cell Biology,WO-2015108180-A1,2015,"MOLECULE ASSOCIATED WITH ONSET OF GOUT, AND METHOD AND KIT FOR EVALUATING DIATHESIS OF URIC ACID-RELATED DISEASES AND INFLAMMATION-RELATED DISEASES, AND INSPECTION OBJECT AND DRUG"
661,Immunology,US-9650436-B2,2013,Antibody based reagents that specifically recognize toxic oligomeric forms of tau
662,Clinical Sciences,US-9993462-B2,2014,Hydantoin derivative-containing pharmaceutical composition
663,Clinical Sciences,WO-2017060525-A1,2016,IGFBP7 FOR PREDICTION OF RISK OF AKI WHEN MEASURED PRIOR TO SURGERY
664,Genetics,WO-2016138488-A2,2016,"T CELL BALANCE GENE EXPRESSION, COMPOSITIONS OF MATTERS AND METHODS OF USE THEREOF"
665,Immunology,US-9915668-B2,2017,Antibody based reagents that specifically recognize toxic oligomeric forms of tau
666,Other Chemical Sciences,US-9932288-B2,2016,Chemical compound for inhibition of SHP2 function and for use as an anti-cancer agent
667,Oncology and Carcinogenesis,US-20120258878-A1,2011,PROGNOSTIC GENE SIGNATURES FOR NON-SMALL CELL LUNG CANCER
668,Genetics,US-20100233695-A1,2008,MOLECULAR DIAGNOSIS AND TYPING OF LUNG CANCER VARIANTS
669,Oncology and Carcinogenesis,US-20100233695-A1,2008,MOLECULAR DIAGNOSIS AND TYPING OF LUNG CANCER VARIANTS
670,Organic Chemistry,US-20150328142-A1,2012,Sublingual Administration of Statins
671,Biochemistry and Cell Biology,WO-2013083851-A1,2012,SCREENING ASSAYS FOR COMPOUNDS FOR USE IN THE TREATMENT OF STRESS-RELATED DISORDERS
672,Artificial Intelligence and Image Processing,US-9811904-B2,2014,Method and system for determining a phenotype of a neoplasm in a human or animal body
673,Organic Chemistry,US-9849083-B2,2012,Sublingual administration of statins
674,Psychology,WO-2018019452-A1,2017,METHOD AND DEVICE FOR IDENTIFYING RADAR TRANSMISSION MODES
675,Other Physical Sciences,WO-2013182967-A1,2013,CHANNEL BY CHANNEL ARTIFACT REDUCTION IN PARALLEL MRI
676,Biomedical Engineering,WO-2015055485-A1,2014,ESTIMATING POSITION OF AN ORGAN WITH A BIOMECHANICAL MODEL
677,Oncology and Carcinogenesis,US-20120077687-A1,2011,PROGNOSTIC AND PREDICTIVE GENE SIGNATURE FOR NON-SMALL CELL LUNG CANCER AND ADJUVANT CHEMOTHERAPY
678,Medical Biochemistry and Metabolomics,WO-2017153779-A1,2017,LIPIDS AND COMPLEXES FOR THE DELIVERY OF BIOLOGICALLY-ACTIVE MATERIAL TO CELLS
679,Biochemistry and Cell Biology,US-10035827-B2,2014,Proteins with diagnostic and therapeutic uses
680,Artificial Intelligence and Image Processing,US-9788762-B2,2016,Motion monitor
681,Clinical Sciences,WO-2010142182-A1,2010,PHARMACEUTICAL COMPOSITION FOR TREATMENT OF TYPE 2 DIABETES IN MAMMALS INCLUDING HUMAN BEINGS
682,Biochemistry and Cell Biology,WO-2014146677-A1,2013,PEG HYDROGELS FUNCTIONALIZED WITH GLUCAGON AND RGDS-TETRAPEPTIDE AND CONTAINING STEM CELLS FOR ISLET COATING
683,Clinical Sciences,WO-2011009360-A1,2010,PHARMACEUTICAL COMPOSITION FOR TREATMENT OF TYPE 2 DIABETES IN MAMMALS INCLUDING HUMAN BEINGS
684,Genetics,US-8822153-B2,2008,Molecular diagnosis and typing of lung cancer variants
685,Oncology and Carcinogenesis,US-8822153-B2,2008,Molecular diagnosis and typing of lung cancer variants
686,Artificial Intelligence and Image Processing,EP-3060118-A4,2014,MOTION MONITOR
687,Clinical Sciences,WO-2014203010-A1,2014,METHOD FOR THE ANALYSIS OF N-GLYCANS ATTACHED TO IMMUNOGLOBULIN G FROM HUMAN BLOOD PLASMA AND ITS USE
688,Biomedical Engineering,US-9993663-B2,2014,Estimating position of an organ with a biomechanical model
689,Macromolecular and Materials Chemistry,WO-2017122128-A2,2017,SYSTEM AND METHOD FOR SYNTHESIS OF DNA PARTICLES AND USE THEREOF
690,Organic Chemistry,US-9902681-B2,2014,N-3 immunoresolvents: structures and actions
691,Artificial Intelligence and Image Processing,US-9811904-B2,2014,Method and system for determining a phenotype of a neoplasm in a human or animal body
692,Information Systems,US-9904916-B2,2015,Incremental login and authentication to user portal without username/password
693,Medical Microbiology,WO-2017068347-A1,2016,DETECTION OF BACTERIAL INFECTION
694,Clinical Sciences,WO-2018007570-A1,2017,METHOD FOR DETERMINING THE RISK OF DEVELOPING ARTHRITIS
695,Medical Microbiology,WO-2015054451-A1,2014,DETECTION OF HEPATITIS DELTA VIRUS (HDV) FOR THE DIAGNOSIS AND TREATMENT OF SJÖGREN'S SYNDROME AND LYMPHOMA
696,Information Systems,WO-2013131971-A1,2013,SYSTEM AND METHOD FOR CUSTOMER AUTHENTICATION AND CREDIT ASSESSMENT IN ELECTRONIC COMMERCE
697,Information Systems,US-9886686-B2,2016,Method for using supervised model to identify user
698,Cardiorespiratory Medicine and Haematology,WO-2015084876-A1,2014,PERSONALIZED COMPUTATIONAL MODELING OF ATRIAL FIBROSIS TO GUIDE CATHETER ABLATION OF ATRIAL FIBRILLATION
699,Electrical and Electronic Engineering,US-9970058-B2,2014,Digital amplification
700,Resources Engineering and Extractive Metallurgy,WO-2016182542-A1,2015,CARBON DIOXIDE-VISCOSIFIABLE COMPOSITIONS FOR SUBTERRANEAN TREATMENT
701,Oncology and Carcinogenesis,WO-2015071669-A3,2014,MATERIALS AND METHODS FOR DIAGNOSIS AND PROGNOSIS OF LIVER CANCER
702,Clinical Sciences,US-9540691-B2,2013,Assays and methods for selecting a treatment regimen for a subject with depression
703,Immunology,US-9655959-B2,2015,Adenylate cyclase deficient bordetella strains
704,Artificial Intelligence and Image Processing,WO-2016060557-A1,2014,IMAGE ANALYSIS METHOD SUPPORTING ILLNESS DEVELOPMENT PREDICTION FOR A NEOPLASM IN A HUMAN OR ANIMAL BODY
705,Biochemistry and Cell Biology,US-9546994-B2,2013,Biomarkers for type 2 diabetes
706,Immunology,US-9415077-B2,2012,Effect of an attenuated Bordetella strain against allergic disease
707,Medical Microbiology,US-9119804-B2,2007,Live attenuated bordetella strains as a single dose vaccine against whooping cough
708,Neurosciences,WO-2013182848-A1,2013,ASSESSING SUSCEPTIBILITY TO EPILEPSY AND EPILEPTIC SEIZURES
709,Clinical Sciences,US-9546401-B2,2013,Assays and methods for selecting a treatment regimen for a subject with depression
710,Immunology,US-9526778-B2,2009,"Influenza vaccine, composition, and methods of use"
711,Medical Microbiology,US-9526778-B2,2009,"Influenza vaccine, composition, and methods of use"
712,Oncology and Carcinogenesis,US-9585627-B2,2014,Histological differentiation grade prediction of hepatocellular carcinoma in computed tomography images
713,Clinical Sciences,WO-2017208001-A1,2017,BIOMARKERS FOR PLATELET DISORDERS
714,Biochemistry and Cell Biology,WO-2017208001-A1,2017,BIOMARKERS FOR PLATELET DISORDERS
715,Artificial Intelligence and Image Processing,US-9092691-B1,2015,System for computing quantitative biomarkers of texture features in tomographic images
716,Biochemistry and Cell Biology,US-9896488-B2,2014,Protamine in treatment of neuronal injuries
717,Biochemistry and Cell Biology,US-9528086-B2,2015,Recombinant bordetella strains
718,Clinical Sciences,US-9820984-B1,2017,Dosing regimens for fast onset of antidepressant effect
719,Clinical Sciences,US-9913839-B2,2017,Dosing regimens for fast onset of antidepressant effect
720,Immunology,WO-2015000988-A1,2014,C1Q AS A THERAPEUTIC AGENT OF ALLERGY AND/OR ASTHMA
721,Cardiorespiratory Medicine and Haematology,WO-2015000988-A1,2014,C1Q AS A THERAPEUTIC AGENT OF ALLERGY AND/OR ASTHMA
722,Biochemistry and Cell Biology,US-9499613-B2,2014,Notch1 receptor binding agents and methods of use thereof
723,Other Physical Sciences,US-9681798-B2,2015,"Methods, systems, and apparatus for imaging spectroscopy"
724,Clinical Sciences,US-9726659-B2,2013,CMPF as a biomarker for diabetes and associated methods
725,Materials Engineering,US-9512000-B2,2015,Fabrication and self-aligned local functionalization of nanocups and various plasmonic nanostructures on flexible substrates for implantable and sensing applications
726,Nanotechnology,US-9512000-B2,2015,Fabrication and self-aligned local functionalization of nanocups and various plasmonic nanostructures on flexible substrates for implantable and sensing applications
727,Biomedical Engineering,US-9512000-B2,2015,Fabrication and self-aligned local functionalization of nanocups and various plasmonic nanostructures on flexible substrates for implantable and sensing applications
728,Biomedical Engineering,WO-2016034508-A1,2015,TUBE FIXATION DEVICE
729,Paediatrics and Reproductive Medicine,WO-2015197824-A1,2015,FREE NUCLEIC ACIDS AND MIRNA AS NON-INVASIVE METHOD FOR DETERMINING EMBRYO QUALITY
730,Oncology and Carcinogenesis,US-20150232570-A1,2013,Methods of Treating Hematological Malignancies with Notch1 Antibodies
731,Oncology and Carcinogenesis,US-9676865-B2,2014,Antibodies to a non-ligand binding region of at least two NOTCH receptors
732,Genetics,WO-2015137897-A1,2015,USE OF NUCLEIC ACIDS CIRCULATING IN BIOLOGICAL FLUIDS OF MAMMALS AS INTERNAL CONTROL AND/OR INTERNAL STANDARD
733,Organic Chemistry,US-9981950-B2,2015,Triazoles as NR2B receptor inhibitors
734,Neurosciences,US-9851425-B2,2013,Background-suppressed myelin water imaging
735,Oncology and Carcinogenesis,WO-2018060452-A1,2017,THERAPEUTIC APPROACHES TO CANCER
736,Microbiology,US-9931390-B2,2016,Recombinant Lactococcus lactis expressing Escherichia coli colonization factor antigen I (CFA/I) fimbriae and their methods of use
737,Physical Chemistry (incl. Structural),US-9993185-B2,2015,Plasmonics nanostructures for multiplexing implantable sensors
738,Clinical Sciences,WO-2017208001-A1,2017,BIOMARKERS FOR PLATELET DISORDERS
739,Biochemistry and Cell Biology,WO-2017208001-A1,2017,BIOMARKERS FOR PLATELET DISORDERS
740,Clinical Sciences,US-10071988-B2,2017,"Substituted 1,2,3-triazoles as NR2B-selective NMDA modulators"
741,Immunology,WO-2015124921-A1,2015,METHODS AND USES FOR DETERMINING THE PRESENCE OF INFLAMMATORY BOWEL DISEASE
742,Microbiology,US-9452205-B2,2013,Recombinant Lactococcus lactis expressing Escherichia coli colonization factor antigen I (CFA/I) fimbriae and their methods of use
743,Physical Chemistry (incl. Structural),US-9846125-B2,2015,"Surface enhanced Raman spectroscopy detection of gases, particles and liquids through nanopillar structures"
744,Physical Chemistry (incl. Structural),US-9913603-B2,2015,Reflowed gold nanostructures for surface enhanced raman spectroscopy
745,Genetics,WO-2014134351-A2,2014,"T CELL BALANCE GENE EXPRESSION, COMPOSITIONS OF MATTERS AND METHODS OF USE THEREOF"
746,Other Medical and Health Sciences,WO-2017182796-A1,2017,BACTERIOTHERAPY
747,Physical Chemistry (incl. Structural),US-9987609-B2,2015,Multiplexed surface enhanced Raman sensors for early disease detection and in-situ bacterial monitoring
748,Oncology and Carcinogenesis,US-9617340-B2,2014,Compositions and methods for diagnosing and treating cancer
749,Microbiology,WO-2014047625-A1,2013,RECOMBINANT LACTOCOCCUS LACTIS EXPRESSING ESCHERICHIA COLI COLONIZATION FACTOR ANTIGEN I (CFA/I) FIMBRIAE AND THEIR METHODS OF USE
750,Immunology,EP-2821076-A1,2013,C1q as a therapeutic agent of allergy and/or asthma
751,Cardiorespiratory Medicine and Haematology,EP-2821076-A1,2013,C1q as a therapeutic agent of allergy and/or asthma
752,Biochemistry and Cell Biology,WO-2017087811-A1,2016,ENGINEERED BACTEROIDES OUTER MEMBRANE VESICLES
753,Artificial Intelligence and Image Processing,WO-2014188368-A1,2014,A METHOD FOR GREY ZONE IMAGING USING RELATIVE R1 CHANGES
754,Artificial Intelligence and Image Processing,WO-2013111051-A1,2013,AUTOMATED DETECTION OF AREA AT RISK USING QUANTITATIVE T1 MAPPING
755,Genetics,WO-2016138488-A2,2016,"T CELL BALANCE GENE EXPRESSION, COMPOSITIONS OF MATTERS AND METHODS OF USE THEREOF"
756,Clinical Sciences,US-9963447-B2,2016,Substituted 4-azaindoles and their use as GluN2B receptor modulators
757,Public Health and Health Services,WO-2014160431-A1,2014,METHOD OF DETERMINING PRIOR HISTORY OF ISCHEMIC STROKE FOR CURRENT RISK EVALUATION AND THERAPY GUIDANCE
758,Oncology and Carcinogenesis,US-9505832-B2,2015,Method of treating cancer by administering a monoclonal antibody that binds human NOTCH2 and NOTCH3
759,Clinical Sciences,US-9512122-B2,2015,Spirocyclic compounds as tryptophan hydroxylase inhibitors
760,Neurosciences,WO-2015155544-A1,2015,DELIVERY OF NON-STEROIDAL ANTIINFLAMMATORY AGENTS TO THE BRAIN VIA THE NASAL TRACT TO TREAT NEUROLOGICAL DISORDERS
761,Neurosciences,US-9918994-B2,2017,Compositions and methods for muscle regeneration using prostaglandin E2
762,Clinical Sciences,US-9750740-B2,2016,Spirocyclic compounds as tryptophan hydroxylase inhibitors
