supporting_grant_ids,doi,year,title
"['grant.2425472', 'grant.2435160', 'grant.2435063']",10.1016/j.virol.2009.02.005,2009,Neutralizing antibody responses to subtype B and C adjuvanted HIV envelope protein vaccination in rabbits
"['grant.2449847', 'grant.4102755', 'grant.6376823', 'grant.2698983', 'grant.2514359', 'grant.2454242', 'grant.2666263', 'grant.2633735', 'grant.2706208', 'grant.2458158']",10.1073/pnas.0813411106,2009,Antigen-specific B-1a antibodies induced by Francisella tularensis LPS provide long-term protection against F. tularensis LVS challenge
"['grant.2424521', 'grant.2782066']",10.1002/sim.3783,2009,Estimation of intervention effects using first or multiple episodes in clinical trials: The Andersen‐Gill model re‐examined
"['grant.2769766', 'grant.2783211', 'grant.2424521']",10.1186/1471-2334-8-81,2008,Molecular epidemiology of pneumococci obtained from Gambian children aged 2–29 months with invasive pneumococcal disease during a trial of a 9-valent pneumococcal conjugate vaccine
['grant.2706208'],10.1128/cvi.00117-08,2008,Characterization of New Formalin-Detoxified Botulinum Neurotoxin Toxoids▿
"['grant.2456109', 'grant.2687564', 'grant.2456432', 'grant.2665859', 'grant.2455049', 'grant.2597725', 'grant.2424533']",10.1084/jem.20080281,2008,Immune-driven recombination and loss of control after HIV superinfection
"['grant.2410083', 'grant.2706196']",10.1128/jcm.00347-08,2008,Multiplex Real-Time PCR Assay for Rapid Identification of Mycobacterium tuberculosis Complex Members to the Species Level▿
['grant.2424533'],10.2174/157016208785132473,2008,HIV-1-specific cytotoxic T lymphocyte (CTL) responses against immunodominant optimal epitopes slow the progression of AIDS in China.
"['grant.2782066', 'grant.2424521']",10.1016/j.vaccine.2008.04.066,2008,Immunogenicity and serotype-specific efficacy of a 9-valent pneumococcal conjugate vaccine (PCV-9) determined during an efficacy trial in The Gambia
['grant.2424533'],10.2174/157016208784324921,2008,Relative dominance of Env-gp41-specific cytotoxic T lymphocytes responses in HIV-1 advanced infection.
"['grant.2451779', 'grant.2454875', 'grant.2438686', 'grant.2370377', 'grant.2633875', 'grant.2424475']",10.1089/aid.2007.0124,2008,Targeting of a CD8 T Cell Env Epitope Presented by HLA-B5802 Is Associated with Markers of HIV Disease Progression and Lack of Selection Pressure
['grant.2424533'],10.1186/1742-4690-4-62,2007,Human immunodeficiency virus type 1 specific cytotoxic T lymphocyte responses in Chinese infected with HIV-1 B'/C Recombinant (CRF07_BC)
"['grant.2456109', 'grant.2598220', 'grant.2424475', 'grant.2761610', 'grant.2666178', 'grant.2424533', 'grant.2457330', 'grant.2542080']",10.4049/jimmunol.179.10.6638,2007,Increased Sequence Diversity Coverage Improves Detection of HIV-Specific T Cell Responses
"['grant.2424521', 'grant.2783211', 'grant.2769766']",10.1099/jmm.0.47416-0,2007,"Molecular epidemiology of community-acquired invasive non-typhoidal Salmonella among children aged 2–29 months in rural Gambia and discovery of a new serovar, Salmonella enterica Dingiri"
"['grant.2782066', 'grant.2424521']",10.1111/j.1365-3156.2007.01922.x,2007,Epidemiology and clinical features of pneumonia according to radiographic findings in Gambian children
['grant.2424533'],10.1097/01.qai.0000248355.40877.2a,2007,Human Leukocyte Antigen Class I and Class II Allele Frequencies and HIV-1 Infection Associations in a Chinese Cohort
"['grant.2782066', 'grant.2424521']",10.1097/01.inf.0000226839.30925.a5,2006,Epidemiologic and Clinical Characteristics of Community-Acquired Invasive Bacterial Infections in Children Aged 2–29 Months in The Gambia
"['grant.2706208', 'grant.2457442', 'grant.2598647']",10.1016/j.cub.2006.06.060,2006,The Obligate Intracellular Pathogen Chlamydia trachomatis Targets Host Lipid Droplets
['grant.2424533'],10.1093/intimm/dxl052,2006,T cell receptor cross-recognition of an HIV-1 CD8+ T cell epitope presented by closely related alleles from the HLA-A3 superfamily
"['grant.2706208', 'grant.2598647']",10.1111/j.1365-2958.2006.05074.x,2006,Multifunctional analysis of Chlamydia‐specific genes in a yeast expression system
['grant.2424533'],10.1128/jvi.80.6.3122-3125.2006,2006,Relative Dominance of Gag p24-Specific Cytotoxic T Lymphocytes Is Associated with Human Immunodeficiency Virus Control
['grant.2424475'],10.1128/jvi.79.21.13239-13249.2005,2005,Selective Escape from CD8+ T-Cell Responses Represents a Major Driving Force of Human Immunodeficiency Virus Type 1 (HIV-1) Sequence Diversity and Reveals Constraints on HIV-1 Evolution†
"['grant.2455877', 'grant.2455319', 'grant.2454752', 'grant.2424475', 'grant.2454875', 'grant.']",10.1086/496894,2005,Differential immunogenicity of HIV-1 clade C proteins in eliciting CD8+ and CD4+ cell responses.
"['grant.2430609', 'grant.2699267']",10.1111/j.1600-0897.2005.00310.x,2005,Immune Complex Deposition in Adult Male Sprague–Dawley Rats Chronically Immunized with GnRH
"['grant.2455862', 'grant.2438693', 'grant.2438817', 'grant.2597418']",10.1128/jvi.79.16.10210-10217.2005,2005,"Formaldehyde-Treated, Heat-Inactivated Virions with Increased Human Immunodeficiency Virus Type 1 Env Can Be Used To Induce High-Titer Neutralizing Antibody Responses"
"['grant.2441133', 'grant.2597418', 'grant.2438817', 'grant.2455862', 'grant.2438693']",10.1128/jvi.79.8.4927-4935.2005,2005,"Induction of Humoral Immune Responses following Vaccination with Envelope-Containing, Formaldehyde-Treated, Thermally Inactivated Human Immunodeficiency Virus Type 1"
['grant.2424521'],10.1016/s0140-6736(05)71876-6,2005,"Efficacy of nine-valent pneumococcal conjugate vaccine against pneumonia and invasive pneumococcal disease in The Gambia: randomised, double-blind, placebo-controlled trial"
['grant.3749682'],10.1111/j.0001-2815.2004.0222.x,2004,MhcDRB‐sequences from cynomolgus macaques (Macaca fascicularis) of different origin
"['grant.2712964', 'grant.2424475']",10.1089/088922204323087813,2004,Differences in the Expressed HLA Class I Alleles Effect the Differential Clustering of HIV Type 1-Specific T Cell Responses in Infected Chinese and Caucasians
"['grant.2451779', 'grant.2424475', 'grant.2454875', 'grant.2455558']",10.1097/00002030-200404090-00004,2004,Impact of intrapeptide epitope location on CD8 T cell recognition
"['grant.2454875', 'grant.2424475']",10.1038/nm992,2004,HIV evolution: CTL escape mutation and reversion after transmission
['grant.2455014'],10.1073/pnas.1131930100,2003,A fragment of anthrax lethal factor delivers proteins to the cytosol without requiring protective antigen
"['grant.3749682', 'grant.7952570']",10.1034/j.1399-0039.2002.590203.x,2002,Sequence‐based typing techniques for rhesus macaque MhcMamu‐DQB1 allow the identification of more than 35 alleles
['grant.2455014'],10.1086/338448,2002,Delivery of Exogenous Protein Antigens to Major Histocompatibility Complex Class I Pathway in Cytosol
"['grant.2597330', 'grant.2453783', 'grant.2597413', 'grant.2455014']",10.1073/pnas.97.14.8027,2000,Genetically modified anthrax lethal toxin safely delivers whole HIV protein antigens into the cytosol to induce T cell immunity
"['grant.2438693', 'grant.2424911', 'grant.2590435', 'grant.2597418']",10.1128/jvi.74.13.5802-5809.2000,2000,Enhanced Binding of Antibodies to Neutralization Epitopes following Thermal and Chemical Inactivation of Human Immunodeficiency Virus Type 1
['grant.2430609'],10.1093/toxsci/53.1.92,2000,Chronic Toxicity and Reversibility of Antifertility Effect of Immunization against Gonadotropin-Releasing Hormone in Male Rats and Rabbits
"['grant.2682492', 'grant.2424315', 'grant.2452921']",10.1111/j.1365-2249.1995.tb05568.x,1995,Antibodies to the Cryptococcus neoformans capsular glucuronoxylomannan are ubiquitous in serum from HIV+ and HIV− individuals
"['grant.2470243', 'grant.2634349', 'grant.2469588', 'grant.2681799', 'grant.2424336']",10.1016/0092-8674(94)90007-8,1994,Integrin αvβ3 antagonists promote tumor regression by inducing apoptosis of angiogenic blood vessels
"['grant.2424336', 'grant.2449457', 'grant.2450701', 'grant.2633687']",10.1073/pnas.89.7.2531,1992,High frequency of single-base transitions and extreme frequency of precise multiple-base reversion mutations in poliovirus
['grant.2706208'],10.2307/3281983,1985,Developmental physiology of cestodes: cyclic nucleotides and the identity of putative crowding factors in Hymenolepis diminuta.
['grant.2706208'],10.2307/3281643,1984,Developmental physiology of cestodes: characterization of putative crowding factors in Hymenolepis diminuta.
"['grant.2706196', 'grant.2449323']",10.1099/00221287-130-1-173,1984,"Motility as a Factor in Bowel Colonization by Roseburia cecicola, an Obligately Anaerobic Bacterium from the Mouse Caecum"
"['grant.2708401', 'grant.2706208']",10.2307/3281185,1982,"Developmental physiology of cestodes. XVII. Some biological properties of putative ""crowding factors"" in Hymenolepis diminuta."
['grant.2424475'],10.1128/aac.20.3.359,1981,Penicillin and tetracycline resistance plasmids in Staphylococcus epidermidis.
"['grant.2706208', 'grant.2708401']",10.1016/0305-0491(77)90113-4,1977,"Glycogen synthase in the rat tapeworm, Hymenolepis diminuta—I. enzyme activity during development and with crowding"
"['grant.2708401', 'grant.2706208']",10.1016/0305-0491(77)90063-3,1977,"Galactose utilization by the rat tapeworm, Hymenolepis diminuta"
"['grant.2706208', 'grant.2708401']",10.1016/0305-0491(77)90081-5,1977,"Hexokinase from the rat tapeworm, Hymenolepis diminuta"
"['grant.2706208', 'grant.2424321']",10.1016/0305-0491(77)90123-7,1977,"Enzymes of galactose utilization in the rat tapeworm, Hymenolepis diminuta"
"['grant.2708401', 'grant.2706208']",10.1016/0305-0491(77)90195-x,1977,"Glycogen synthase in the rat tapeworm, Hymenolepis diminuta—II. Control of enzyme activity by glucose and glycogen"
"['grant.4579926', 'grant.2755106', 'grant.4106632', 'grant.6581980', 'grant.4578878']",10.1038/s41467-019-11005-2,2019,Microinvasion by Streptococcus pneumoniae induces epithelial innate immunity during colonisation at the human mucosal surface
['grant.6580990'],10.1186/s12879-019-4006-3,2019,"Safety of a bivalent, killed, whole-cell oral cholera vaccine in pregnant women in Bangladesh: evidence from a randomized placebo-controlled trial"
"['grant.6581980', 'grant.4106632']",10.1038/s41467-019-10814-9,2019,Interaction between the nasal microbiota and S. pneumoniae in the context of live-attenuated influenza vaccine
"['grant.6584905', 'grant.6580190', 'grant.4456580']",10.1016/j.chom.2019.09.016,2019,Structural Basis for Broad HIV-1 Neutralization by the MPER-Specific Human Broadly Neutralizing Antibody LN01
"['grant.2705347', 'grant.2705271', 'grant.2438686', 'grant.2705269', 'grant.2687851', 'grant.2687856']",10.1093/cid/ciz959,2019,Screening and Enrollment by Sex in HIV Clinical Trials in the United States.
"['grant.4578878', 'grant.4106632', 'grant.6581980']",10.1172/jci128865,2019,Innate and adaptive nasal mucosal immune responses following experimental human pneumococcal colonization
"['grant.7614808', 'grant.2459886']",10.1016/j.virol.2019.07.008,2019,Neuraminidase expressing virus-like particle vaccine provides effective cross protection against influenza virus
"['grant.2688120', 'grant.3857103', 'grant.6540988', 'grant.4104027', 'grant.3857074', 'grant.2406707']",10.1016/j.annepidem.2019.07.013,2019,The respiratory microbiota: Associations with influenza symptomatology and viral shedding
"['grant.2459886', 'grant.7614808', 'grant.2459251']",10.1016/j.vaccine.2019.09.041,2019,Antigenicity and immunogenicity of unique prefusion-mimic F proteins presented on enveloped virus-like particles
"['grant.2459886', 'grant.4055555', 'grant.4055035', 'grant.2459251', 'grant.3625116', 'grant.3624195']",10.1016/j.ajpath.2019.04.013,2019,Environmental Cadmium Enhances Lung Injury by Respiratory Syncytial Virus Infection
"['grant.7614808', 'grant.2459886', 'grant.2459251']",10.1016/j.antiviral.2019.05.011,2019,The efficacy of inactivated split respiratory syncytial virus as a vaccine candidate and the effects of novel combination adjuvants
['grant.3856249'],10.1158/1940-6207.capr-18-0442,2019,"The Effect of Mouse Strain, Sex, and Carcinogen Dose on Toxicity and the Development of Lung Dysplasia and Squamous Cell Carcinomas in Mice"
"['grant.2459251', 'grant.2459886', 'grant.7614808']",10.1016/j.virol.2019.05.010,2019,A unique combination adjuvant modulates immune responses preventing vaccine-enhanced pulmonary histopathology after a single dose vaccination with fusion protein and challenge with respiratory syncytial virus
"['grant.2459251', 'grant.2459886', 'grant.7614808', 'grant.4055555', 'grant.6959539']",10.1016/j.antiviral.2019.05.001,2019,Recombinant live attenuated influenza vaccine viruses carrying CD8 T-cell epitopes of respiratory syncytial virus protect mice against both pathogens without inflammatory disease
"['grant.6581980', 'grant.4106632']",10.1016/j.vaccine.2019.05.080,2019,Protective effect of PCV vaccine against experimental pneumococcal challenge in adults is primarily mediated by controlling colonisation density
"['grant.7614808', 'grant.2459886', 'grant.2459251']",10.1371/journal.pone.0216871,2019,Influenza M2 virus-like particle vaccination enhances protection in combination with avian influenza HA VLPs
"['grant.6581875', 'grant.6582909', 'grant.6711265', 'grant.6581550', 'grant.6582221', 'grant.6582771', 'grant.6584121']",10.1093/aje/kwz038,2019,Estimating the Impact of Tuberculosis Case Detection in Constrained Health Systems: An Example of Case Finding in South Africa
"['grant.7614808', 'grant.2459886']",10.1016/j.vaccine.2019.05.018,2019,Flagellin-expressing virus-like particles exhibit adjuvant effects on promoting IgG isotype-switched long-lasting antibody induction and protection of influenza vaccines in CD4-deficient mice
"['grant.2459886', 'grant.3624195', 'grant.6442946', 'grant.2459251', 'grant.4055035', 'grant.3625116', 'grant.4055555']",10.1016/j.envint.2019.03.054,2019,Low-dose cadmium potentiates lung inflammatory response to 2009 pandemic H1N1 influenza virus in mice
"['grant.7614808', 'grant.2459251', 'grant.2459886']",10.3390/pharmaceutics11040188,2019,Co-Delivery of M2e Virus-Like Particles with Influenza Split Vaccine to the Skin Using Microneedles Enhances the Efficacy of Cross Protection
['grant.6582771'],10.1016/s2213-2600(19)30040-2,2019,The way forward for tuberculosis vaccines
"['grant.4055555', 'grant.2459886', 'grant.7614808', 'grant.2459251']",10.1016/j.virol.2019.01.017,2019,Enhancing the cross protective efficacy of live attenuated influenza virus vaccine by supplemented vaccination with M2 ectodomain virus-like particles
['grant.6581425'],10.1371/journal.pntd.0007164,2019,"A multi-country study of the economic burden of dengue fever based on patient-specific field surveys in Burkina Faso, Kenya, and Cambodia"
"['grant.3857103', 'grant.2406707', 'grant.4104027', 'grant.2688120']",10.1371/journal.pone.0207898,2019,The respiratory microbiome and susceptibility to influenza virus infection
"['grant.2459886', 'grant.7614808', 'grant.2459251']",10.4110/in.2019.19.e18,2019,Respiratory Syncytial Virus Fusion Protein-encoding DNA Vaccine Is Less Effective in Conferring Protection against Inflammatory Disease than a Virus-like Particle Platform.
['grant.7389561'],10.12688/gatesopenres.12877.1,2019,Requirements elicitation for a blockchain vaccine supply chain management web/mobile application
"['grant.4579636', 'grant.']",10.1371/journal.pone.0208328,2018,First field efficacy trial of the ChAd63 MVA ME-TRAP vectored malaria vaccine candidate in 5-17 months old infants and children
"['grant.2459251', 'grant.2459886', 'grant.7614808']",10.1080/21645515.2018.1495301,2018,Immunology and efficacy of MF59-adjuvanted vaccines
"['grant.6581875', 'grant.6383448', 'grant.6584121', 'grant.6582771', 'grant.6711265', 'grant.6582221', 'grant.6582909']",10.1038/s41598-018-23797-2,2018,An explanation for the low proportion of tuberculosis that results from transmission between household and known social contacts
"['grant.6798353', 'grant.6581980', 'grant.4480450', 'grant.4578878', 'grant.', 'grant.4106632']",10.1038/s41590-018-0231-y,2018,Inflammation induced by influenza virus impairs human innate immune control of pneumococcus
['grant.6582137'],10.1016/j.pvr.2018.10.004,2018,Vaccine programme stakeholder perspectives on a hypothetical single-dose human papillomavirus (HPV) vaccine schedule in low and middle-income countries
"['grant.7155899', 'grant.4578991', 'grant.6581980']",10.1186/s12931-018-0777-0,2018,Human alveolar macrophages predominately express combined classical M1 and M2 surface markers in steady state
"['grant.6582221', 'grant.6581875', 'grant.6711265', 'grant.6582771', 'grant.6582909', 'grant.6584121']",10.1186/s12962-018-0113-z,2018,Empirical estimation of resource constraints for use in model-based economic evaluation: an example of TB services in South Africa
"['grant.', 'grant.4579636']",10.1038/s41541-018-0084-2,2018,"Safety and efficacy of novel malaria vaccine regimens of RTS,S/AS01B alone, or with concomitant ChAd63-MVA-vectored vaccines expressing ME-TRAP"
"['grant.3799880', 'grant.4579636', 'grant.3641111']",10.1038/s41598-018-33375-1,2018,Development of a Molecular Adjuvant to Enhance Antigen-Specific CD8+ T Cell Responses
"['grant.2723393', 'grant.2723417']",10.1038/s41598-018-26538-7,2018,Use of Hemagglutinin Stem Probes Demonstrate Prevalence of Broadly Reactive Group 1 Influenza Antibodies in Human Sera
"['grant.2459681', 'grant.2459251', 'grant.2459886', 'grant.4242390']",10.1038/s41467-017-02725-4,2018,Double-layered protein nanoparticles induce broad protection against divergent influenza A viruses
"['grant.6582909', 'grant.6584121', 'grant.6582771', 'grant.6711265', 'grant.6581875']",10.1038/s41541-018-0075-3,2018,Using vaccine Immunostimulation/Immunodynamic modelling methods to inform vaccine dose decision-making
"['grant.4579636', 'grant.']",10.1038/s41598-018-21630-4,2018,Assessment of novel vaccination regimens using viral vectored liver stage malaria vaccines encoding ME-TRAP
"['grant.6714226', 'grant.7875369', 'grant.6716962', 'grant.6735582', 'grant.7874194', 'grant.7874856', 'grant.6735986', 'grant.6718871', 'grant.6730682']",10.1186/s13104-018-3429-z,2018,Recommendations for application of Haemophilus influenzae PCR diagnostics to respiratory specimens for children living in northern Australia: a retrospective re-analysis
"['grant.6717478', 'grant.6735845', 'grant.6734643']",10.1186/s12936-018-2435-x,2018,A bioreactor system for the manufacture of a genetically modified Plasmodium falciparum blood stage malaria cell bank for use in a clinical trial
"['grant.6582909', 'grant.6582771', 'grant.6582221', 'grant.3498121', 'grant.6581875', 'grant.6711265', 'grant.6584121']",10.1186/s12916-018-1037-3,2018,Small contribution of gold mines to the ongoing tuberculosis epidemic in South Africa: a modeling-based study
"['grant.6581555', 'grant.6580190', 'grant.4241633', 'grant.4103652', 'grant.6580422']",10.1128/jvi.01513-18,2018,Replication-Competent NYVAC-KC Yields Improved Immunogenicity to HIV-1 Antigens in Rhesus Macaques Compared to Nonreplicating NYVAC.
"['grant.6581875', 'grant.', 'grant.6584121', 'grant.6582909', 'grant.6582221', 'grant.6582771', 'grant.3640717', 'grant.6711265']",10.1093/aje/kwy131,2018,A Bayesian Approach to Understanding Sex Differences in Tuberculosis Disease Burden.
"['grant.4055555', 'grant.2459251', 'grant.2459886']",10.1016/j.virol.2018.08.019,2018,Virus-like particles presenting flagellin exhibit unique adjuvant effects on eliciting T helper type 1 humoral and cellular immune responses to poor immunogenic influenza virus M2e protein vaccine
"['grant.2459251', 'grant.2459886']",10.1371/journal.pone.0205071,2018,Vaccination by microneedle patch with inactivated respiratory syncytial virus and monophosphoryl lipid A enhances the protective efficacy and diminishes inflammatory disease after challenge
"['grant.2705269', 'grant.2705322', 'grant.5477091', 'grant.2438707', 'grant.2705319', 'grant.6809912', 'grant.2687851', 'grant.2705279', 'grant.2705288', 'grant.2705271', 'grant.2705328', 'grant.3802476', 'grant.2705329', 'grant.2705248', 'grant.2705246', 'grant.2705347', 'grant.2438686', 'grant.2705293', 'grant.2705308', 'grant.2705266', 'grant.2438718', 'grant.2705297', 'grant.2705249']",10.1093/ofid/ofy242,2018,Randomized Clinical Trial to Assess the Impact of the Broadly Neutralizing HIV-1 Monoclonal Antibody VRC01 on HIV-1 Persistence in Individuals on Effective ART
"['grant.7952285', 'grant.8025091']",10.1007/s15010-018-1171-z,2018,"Dual antiretroviral therapy with tenofovir (TDF) and darunavir/ritonavir (DRV/RTV) in an HIV-1 positive patient: a case report, review, and meta-analysis of the literature on dual treatment strategies using protease inhibitors in combination with an NRTI"
"['grant.4579636', 'grant.3799880', 'grant.7444761']",10.1126/scitranslmed.aap9128,2018,Prime and target immunization protects against liver-stage malaria in mice
"['grant.7614808', 'grant.2459886', 'grant.2459251']",10.3390/vaccines6040066,2018,Virus-Like Particles Are a Superior Platform for Presenting M2e Epitopes to Prime Humoral and Cellular Immunity against Influenza Virus
"['grant.2459886', 'grant.4055555', 'grant.2459251']",10.3390/v10090471,2018,Antiviral Activity of Fermented Ginseng Extracts against a Broad Range of Influenza Viruses
"['grant.6583216', 'grant.2459771', 'grant.6584109']",10.1093/infdis/jiy283,2018,Micro-Hotspots of Risk in Urban Cholera Epidemics
['grant.4702691'],10.1371/journal.pone.0202437,2018,Phage proteins are expressed on the surface of Neisseria gonorrhoeae and are potential vaccine candidates
['grant.4579636'],10.4049/jimmunol.1800323,2018,Qualified Biolayer Interferometry Avidity Measurements Distinguish the Heterogeneity of Antibody Interactions with Plasmodium falciparum Circumsporozoite Protein Antigens
"['grant.2705295', 'grant.2687823', 'grant.2421305', 'grant.2705269', 'grant.2687851', 'grant.5504027', 'grant.2705316', 'grant.2705319', 'grant.2705293', 'grant.2438686', 'grant.2705279', 'grant.2687826', 'grant.2705313', 'grant.2687797', 'grant.2705288', 'grant.2438707', 'grant.2705271']",10.1080/09540121.2018.1427207,2018,Quality of life among HIV-infected individuals failing first-line antiretroviral therapy in resource-limited settings
"['grant.2459251', 'grant.4055555', 'grant.2459886']",10.1128/jvi.00969-18,2018,Complement C3 Plays a Key Role in Inducing Humoral and Cellular Immune Responses to Influenza Virus Strain-Specific Hemagglutinin-Based or Cross-Protective M2 Extracellular Domain-Based Vaccination
"['grant.2365947', 'grant.2458317', 'grant.2687383', 'grant.3492533', 'grant.2435125', 'grant.2687851', 'grant.2687791', 'grant.2438686', 'grant.2705319', 'grant.2705347']",10.1089/aid.2017.0276,2018,No Time to Delay! Fiebig Stages and Referral in Acute HIV infection: Seattle Primary Infection Program Experience
"['grant.7614808', 'grant.4055555', 'grant.2459886', 'grant.2459251']",10.1016/j.antiviral.2018.06.004,2018,MPL and CpG combination adjuvants promote homologous and heterosubtypic cross protection of inactivated split influenza virus vaccine
"['grant.', 'grant.4579636']",10.3390/vaccines6030050,2018,Activation-induced Markers Detect Vaccine-Specific CD4+ T Cell Responses Not Measured by Assays Conventionally Used in Clinical Trials
"['grant.2769218', 'grant.4579636', 'grant.']",10.3389/fimmu.2018.01660,2018,"CXCR3+ T Follicular Helper Cells Induced by Co-Administration of RTS,S/AS01B and Viral-Vectored Vaccines Are Associated With Reduced Immunogenicity and Efficacy Against Malaria"
"['grant.3642500', 'grant.4579636', 'grant.', 'grant.6445473', 'grant.3641111']",10.1128/iai.00114-18,2018,Tailoring a Plasmodium vivax Vaccine To Enhance Efficacy through a Combination of a CSP Virus-Like Particle and TRAP Viral Vectors
"['grant.3862376', 'grant.4694137', 'grant.7748473', 'grant.7924629', 'grant.2769275', 'grant.8470217', 'grant.2774125', 'grant.2756939', 'grant.8469968', 'grant.2756358']",10.1080/14760584.2018.1492378,2018,Foot and mouth disease vaccine strain selection: current approaches and future perspectives
"['grant.6151766', 'grant.5857918', 'grant.6112591', 'grant.6114170', 'grant.6535138', 'grant.6140485', 'grant.5905668']",10.1007/s10493-018-0273-8,2018,The multiple roles of peroxiredoxins in tick blood feeding
"['grant.2687795', 'grant.', 'grant.2687851', 'grant.6665663', 'grant.2756436', 'grant.2705271', 'grant.2438686', 'grant.2705269', 'grant.2705319', 'grant.4580045', 'grant.2687797']",10.1093/cid/cix1108,2018,Effectiveness of Protease Inhibitor/Nucleos(t)ide Reverse Transcriptase Inhibitor-Based Second-line Antiretroviral Therapy for the Treatment of Human Immunodeficiency Virus Type 1 Infection in Sub-Saharan Africa: A Systematic Review and Meta-analysis.
['grant.6584109'],10.1016/s0140-6736(17)33050-7,2018,Mapping the burden of cholera in sub-Saharan Africa and implications for control: an analysis of data across geographical scales
['grant.6580190'],10.1371/journal.pone.0196397,2018,Characterization of HIV-1 gp120 antibody specificities induced in anogenital secretions of RV144 vaccine recipients after late boost immunizations
"['grant.7143612', 'grant.6584773', 'grant.5237224', 'grant.7135399', 'grant.6580190']",10.1371/journal.pone.0194266,2018,Generation and characterization of a bivalent protein boost for future clinical trials: HIV-1 subtypes CR01_AE and B gp120 antigens with a potent adjuvant
"['grant.4641514', 'grant.4106632', 'grant.6581980']",10.3389/fimmu.2018.00747,2018,Antibodies Reactive to Commensal Streptococcus mitis Show Cross-Reactivity With Virulent Streptococcus pneumoniae Serotypes
"['grant.5125077', 'grant.2459742', 'grant.7029814', 'grant.2705344', 'grant.6585775', 'grant.6580190']",10.1016/j.jim.2018.01.013,2018,Optimization and qualification of an Fc Array assay for assessments of antibodies against HIV-1/SIV
"['grant.7026482', 'grant.6585775', 'grant.6585886', 'grant.6581555', 'grant.6580190', 'grant.5125077', 'grant.2438713']",10.1002/cyto.a.23348,2018,Application of area scaling analysis to identify natural killer cell and monocyte involvement in the GranToxiLux antibody dependent cell‐mediated cytotoxicity assay
"['grant.2723296', 'grant.6580190', 'grant.6500285']",10.1371/journal.ppat.1006860,2018,"Potential of conventional & bispecific broadly neutralizing antibodies for prevention of HIV-1 subtype A, C & D infections"
['grant.8025091'],10.1016/j.jgar.2017.11.009,2018,Detection of a novel mutation conferring acyclovir resistance and consecutive treatment failure in an HIV-positive patient with recurrent HSV-2 infection
"['grant.2695638', 'grant.2705135', 'grant.2424516', 'grant.2449044']",10.1111/jgs.15298,2018,Underdiagnosis of Influenza Virus Infection in Hospitalized Older Adults
['grant.6733494'],10.1056/nejmoa1706804,2018,Human Neonatal Rotavirus Vaccine (RV3-BB) to Target Rotavirus from Birth
"['grant.2601055', 'grant.2343593', 'grant.2441129', 'grant.2417357', 'grant.2347720', 'grant.2441123', 'grant.2705241', 'grant.2491507']",10.1371/journal.ppat.1006871,2018,Liver macrophage-associated inflammation correlates with SIV burden and is substantially reduced following cART
"['grant.2723115', 'grant.3857090', 'grant.2708776', 'grant.2441123']",10.1128/iai.00121-18,2018,The Chlamydia trachomatis Plasmid and CT135 Virulence Factors Are Not Essential for Genital Tract Infection or Pathology in Female Pig-Tailed Macaques
"['grant.2723417', 'grant.6501302', 'grant.2723179', 'grant.2457911']",10.1016/j.virol.2017.12.032,2018,The Zika virus envelope protein glycan loop regulates virion antigenicity
"['grant.2723417', 'grant.6501302', 'grant.6500929']",10.1016/s0140-6736(17)33105-7,2018,"Safety, tolerability, and immunogenicity of two Zika virus DNA vaccine candidates in healthy adults: randomised, open-label, phase 1 clinical trials"
"['grant.6582538', 'grant.2687791', 'grant.2687787', 'grant.2705344', 'grant.6585775', 'grant.2705270', 'grant.2687785', 'grant.6580190', 'grant.2705261', 'grant.2705265']",10.1128/jvi.01843-17,2018,HIV-1 Envelope Glycoproteins from Diverse Clades Differentiate Antibody Responses and Durability among Vaccinees
"['grant.2459251', 'grant.4055555', 'grant.2459886']",10.1371/journal.pone.0190868,2018,Intranasal vaccination with M2e5x virus-like particles induces humoral and cellular immune responses conferring cross-protection against heterosubtypic influenza viruses
