,assignee_names,assignees,filing_status,granted_year,id,inventor_names,publication_date,times_cited,title,year
158,"['KONTOES CHARALAMPOS', 'CHAIREKAKIS THEMISTOKLIS']",,Application,,WO-2016132161-A1,"['KONTOES, Charalampos', 'CHAIREKAKIS, Themistoklis']",2016-08-25,,"METHOD THAT DETECTS AREAS OF ACTIVE FIRE HOTSPOTS IN REAL-TIME, CALCULATES THE MOST PROBABLE IGNITION POINT AND ASSESSES FIRE PROBABILITY INDICATORS, USING SATELLITE IMAGES AND FUEL DATA.",2016
159,['G-TREEBNT CO LTD'],,Application,,WO-2017030251-A1,"['강신욱', '김경순', '이시영', '성지혜']",2017-02-23,,NEUROTROPHIC KERATITIS TREATMENT COMPOSITION COMPRISING THYMOSIN BETA 4 AS ACTIVE INGREDIENT,2015
160,"['Neurostim Solutions LLC', 'CREASEY GRAHAM H', 'TOONG HOO MIN', 'Neurostim Solutions LLC']",,Grant,2018.0,US-10016600-B2,"['Graham H. Creasey', 'Hoo-min Toong']",2018-07-10,1.0,Topical neurological stimulation,2014
161,"['Genentech Inc', 'Constellation Pharmaceuticals Inc', 'CONSTELLATION PHARMACEUTICALS INC', 'GENENTECH INC', 'CONSTELLATION PHARMACEUTICALS INC']","[{'id': 'grid.418158.1', 'acronym': 'Roche', 'name': 'Roche (United States)', 'country_name': 'United States'}, {'id': 'grid.459493.6', 'name': 'Constellation Pharmaceuticals (United States)', 'country_name': 'United States'}]",Grant,2018.0,US-10035801-B2,"['Brian K. Albrecht', 'Steven F. Bellon', 'Victor S. Gehling', 'Jean-Christophe Harmange', 'Kwong Wah Lai', 'Jun Liang', 'Peter Dragovich', 'Daniel F. Ortwine', 'Sharada Labadie', 'Birong Zhang', 'James Richard Kiefer']",2018-07-31,,Pyrazolo compounds and uses thereof,2014
162,"['Genentech Inc', 'Constellation Pharmaceuticals Inc', 'GENENTECH INC', 'CONSTELLATION PHARMACEUTICALS INC']","[{'id': 'grid.459493.6', 'name': 'Constellation Pharmaceuticals (United States)', 'country_name': 'United States'}, {'id': 'grid.418158.1', 'acronym': 'Roche', 'name': 'Roche (United States)', 'country_name': 'United States'}]",Application,,US-20150065522-A1,"['Brian K. Albrecht', 'Steven F. Bellon', 'Victor S. Gehling', 'Jean-Christophe Harmange', 'Yves LeBlanc', 'Jun Liang', 'Steven Magnuson', 'Vicki Tsui', 'Birong Zhang']",2015-03-05,6.0,THERAPEUTIC COMPOUNDS AND USES THEREOF,2014
163,"['ST EUROPEO DI ONCOLOGIA', 'UNIVERSITÀ DEGLI STUDI DI MILANO']","[{'id': 'grid.4708.b', 'acronym': 'UNIMI', 'name': 'University of Milan', 'country_name': 'Italy'}]",Application,,WO-2017097865-A1,"['MAZZARELLA, Luca', 'MINUCCI, SAVERIO', 'PELICCI, PIER GIUSEPPE', 'PALLAVI, RANI', 'DURFORT, Tiphanie']",2017-06-15,,COMBINATION OF CALORIC RESTRICTION (CR) OR IGF1/INSULIN RECEPTOR INHIBITOR WITH LSD1 INHIBITOR,2016
164,"['Genentech Inc', 'Constellation Pharmaceuticals Inc', 'GENENTECH INC', 'CONSTELLATION PHARMACEUTICALS INC']","[{'id': 'grid.418158.1', 'acronym': 'Roche', 'name': 'Roche (United States)', 'country_name': 'United States'}, {'id': 'grid.459493.6', 'name': 'Constellation Pharmaceuticals (United States)', 'country_name': 'United States'}]",Grant,2016.0,US-9505767-B2,"['Brian K. Albrecht', 'Steven F. Bellon', 'Victor S. Gehling', 'Jean-Christophe Harmange', 'Yves LeBlanc', 'Jun Liang', 'Steven R. Magnuson', 'Vickie Hsiao-Wei Tsui', 'Birong Zhang']",2016-11-29,,"Pyrazolo[1,5-A]pyrimidin-7(4H)-onehistone demethylase inhibitors",2014
165,"['BASF SE', 'MAX PLANCK GES ZUR FÖRDERUNG DER WISSENSCHAFTEN E V']","[{'id': 'grid.3319.8', 'name': 'BASF (Germany)', 'country_name': 'Germany'}, {'id': 'grid.4372.2', 'acronym': 'MPG', 'name': 'Max Planck Society', 'country_name': 'Germany'}]",Application,,WO-2016091957-A1,"['MUELLER, ANDREAS', 'SCHWAB, Matthias Georg', 'ZHONG, Mingjie', 'VENKATARAMAN, SHYAM SUNDAR', 'MÜLLEN, Klaus', 'Sachdev, Hermann', 'BINDER, AXEL']",2016-06-16,,PROCESS FOR PRODUCING AN ELECTRODE CONTAINING SILICON PARTICLES COATED WITH CARBON,2015
166,"['VEOLIA WATER SOLUTIONS & TECH', 'UNIV ROME', 'WERKER ALAN GIDEON', 'BENGTSSON SIMON OLOF HARALD', 'HJORT JOHN MARKUS', 'MORGAN-SAGASTUME FERNANDO', 'MAJONE MAURO', 'VALENTINO FRANCESCO']","[{'id': 'grid.426629.d', 'name': 'Veolia (France)', 'country_name': 'France'}]",Application,,WO-2016020884-A1,"['WERKER, ALAN GIDEON', 'BENGTSSON, SIMON OLOF HARALD', 'HJORT, John Markus', 'MORGAN-SAGASTUME, FERNANDO', 'MAJONE, MAURO', 'VALENTINO, FRANCESCO']",2016-02-11,,PROCESS FOR ENHANCING POLYHYDROXYALKANOATE ACCUMULATION IN ACTIVATED SLUDGE BIOMASS,2015
167,"['Nano and Advanced Materials Institute Ltd', 'NANO & ADVANCED MATERIALS INST LTD']","[{'id': 'grid.482544.b', 'acronym': 'NAMI', 'name': 'Nano and Advanced Materials Institute', 'country_name': 'China'}]",Application,,EP-2887431-A1,"['LIU, CHENMIN', 'CAI, LIFENG', 'Choi, Shing Yan', 'WONG, KA KAN']",2015-06-24,,Silicon core/shell nanomaterials for high performance anode of lithium ion batteries,2014
168,"['Nokia Solutions and Networks Oy', 'MARIN JAMES S', 'NOKIA SIEMENS NETWORKS OY']","[{'id': 'grid.6533.3', 'name': 'Nokia (Finland)', 'country_name': 'Finland'}]",Grant,2014.0,US-8660547-B2,['James S. Marin'],2014-02-25,4.0,Optimized energy consumption management in wireless base stations,2011
169,"['Universita degli Studi di Roma La Sapienza', 'UNIVERSITÀ DEGLI STUDI DI ROMA LA SAPIENZA']","[{'id': 'grid.7841.a', 'name': 'Sapienza University of Rome', 'country_name': 'Italy'}]",Grant,2017.0,EP-2710378-B1,"['BARNABA, VINCENZO']",2017-03-15,,METHOD TO PROGNOSE VIRAL INFECTION BY MEASURING T CELL RESPONSE OR AUTO-ANTIBODIES TO APOPTOTIC EPITOPES,2012
170,['NESTEC SA'],"[{'id': 'grid.419905.0', 'name': 'Nestlé (Switzerland)', 'country_name': 'Switzerland'}]",Application,,WO-2017108419-A1,"['PANNEREC, Alice', 'FEIGE, Jerome']",2017-06-29,1.0,METHODS FOR TREATING SARCOPENIA AND FRAILTY,2016
171,"['UNIV ROMA', 'UNI DEGLI STUDI CAMERINO']",,Application,,WO-2014057432-A3,"['CARACCIOLO, Giulio', 'POZZI, Daniela', 'MARCHINI, Simona', 'AMICI, AUGUSTO']",2014-07-24,,MULTICOMPONENT LIPID NANOPARTICLES AND PROCESSES FOR THE PREPARATION THEREOF,2013
172,['UNIV ROMA'],,Application,,WO-2016042436-A1,"['BARNABA, VINCENZO']",2016-03-24,,METHOD AND KIT FOR THE PREDICTIVE PROGNOSIS OF RESPONSIVENESS TO TREATMENTS OF AUTOIMMUNE DISEASES,2015
173,['IKEDA FOOD RES CO LTD'],,Application,,WO-2017141879-A1,"['宮島 彩', '青木\u3000秀之', '佐藤\u3000ふみ', '亀田 剛旨']",2017-08-24,,PANCREATIC LIPASE INHIBITOR COMPOSITION AND PRODUCTION METHOD FOR PANCREATIC LIPASE INHIBITOR COMPOSITION,2017
174,"['ChemoCentryx Inc', 'CHEMOCENTRYX INC']","[{'id': 'grid.452218.8', 'name': 'ChemoCentryx (United States)', 'country_name': 'United States'}]",Grant,2017.0,US-9795599-B2,"['Daniel Dairaghi', 'Dean R. DRAGOLI', 'Jaroslaw Kalisiak', 'Christopher W. Lange', 'Manmohan Reddy Leleti', 'Yandong Li', 'Rebecca M. LUI', 'Venkat Reddy Mali', 'Viengkham Malathong', 'Jay P. Powers', 'Hiroko Tanaka', 'Joanne Tan', 'Matthew J. Walters', 'Ju Yang', 'Penglie Zhang']",2017-10-24,1.0,CCR6 compounds,2016
175,['CONSIGLIO NAZIONALE RICERCHE'],"[{'id': 'grid.5326.2', 'acronym': 'CNR', 'name': 'National Research Council', 'country_name': 'Italy'}]",Application,,WO-2015018503-A1,"['PASSANANTI, CLAUDIO', 'CORBI, NICOLETTA', 'DI CERTO, MARIA GRAZIA', 'MATTEI, ELISABETTA', 'PISANI, Cinzia', 'STRIMPAKOS, Georgios']",2015-02-12,21.0,COMPOSITIONS AND METHODS FOR TREATMENT OF MUSCULAR DYSTROPHY,2014
176,"['University of Illinois', 'US Department of Veterans Affairs', 'DUDLEY JR SAMUEL C', 'US DEPT VETERANS AFFAIRS', 'TRUSTEES OF THE UNIV OF ILLINOIS BOARD OF']","[{'id': 'grid.411030.7', 'name': 'University of Illinois System', 'country_name': 'United States'}, {'id': 'grid.418356.d', 'acronym': 'VA ', 'name': 'United States Department of Veterans Affairs', 'country_name': 'United States'}]",Grant,2015.0,US-9211301-B2,"['Samuel C. Dudley, Jr.']",2015-12-15,,Method for ameliorating or preventing arrhythmic risk associated with cardiomyopathy by improving conduction velocity,2012
177,"['University of Illinois', 'US Department of Veterans Affairs', 'DUDLEY JR SAMUEL C', 'US DEPT VETERANS AFFAIRS', 'TRUSTEES OF THE UNIV OF ILLINOIS BOARD OF']","[{'id': 'grid.411030.7', 'name': 'University of Illinois System', 'country_name': 'United States'}, {'id': 'grid.418356.d', 'acronym': 'VA ', 'name': 'United States Department of Veterans Affairs', 'country_name': 'United States'}]",Grant,2015.0,US-9220720-B2,"['Samuel C. Dudley, Jr.']",2015-12-29,,Method for ameliorating or preventing arrhythmic risk associated with cardiomyopathy,2012
178,"['Ionis Pharmaceuticals Inc', 'IONIS PHARMACEUTICALS INC']","[{'id': 'grid.282569.2', 'name': 'Ionis Pharmaceuticals (United States)', 'country_name': 'United States'}]",Grant,2018.0,US-9957504-B2,"['Thazha P. Prakash', 'Punit P. Seth', 'Eric E. Swayze', 'Mark J. Graham']",2018-05-01,,Compositions and methods for modulating apolipoprotein (a) expression,2015
179,['CONSIGLIO NAZIONALE RICERCHE'],"[{'id': 'grid.5326.2', 'acronym': 'CNR', 'name': 'National Research Council', 'country_name': 'Italy'}]",Application,,WO-2016016119-A1,"['PASSANANTI, CLAUDIO', 'CORBI, NICOLETTA', 'DI CERTO, MARIA GRAZIA', 'MATTEI, ELISABETTA', 'PISANI, Cinzia', 'STRIMPAKOS, Georgios', 'LUVISETTO, SIRO']",2016-02-04,10.0,COMPOSITIONS AND METHODS FOR TREATMENT OF MUSCULAR DYSTROPHY,2015
180,"['VETERANS AFFAIRS U S DEPARTMENT OF', 'University of Illinois', 'US Department of Veterans Affairs', 'DUDLEY JR SAMUEL C', 'US DEPT VETERANS AFFAIRS', 'TRUSTEES OF THE UNIV OF ILLINOIS BOARD OF']","[{'id': 'grid.418356.d', 'acronym': 'VA ', 'name': 'United States Department of Veterans Affairs', 'country_name': 'United States'}, {'id': 'grid.411030.7', 'name': 'University of Illinois System', 'country_name': 'United States'}]",Grant,2015.0,US-9050350-B2,"['Samuel C. Dudley, Jr.']",2015-06-09,,Method for modulating or controlling connexin 43(Cx43) level of a cell and reducing arrhythmic risk,2012
181,"['Huawei Technologies Canada Co Ltd', 'HUAWEI TECH CANADA CO LTD']","[{'id': 'grid.450842.f', 'name': 'Huawei Technologies (Canada)', 'country_name': 'Canada'}]",Grant,2018.0,US-9980218-B2,"['Ibrahim Aydin', 'Ngoc Dung Dao', 'Nimal Gamini Senarath', 'Halim Yanikomeroglu']",2018-05-22,,System and method for user terminal-aware cell switch-off,2016
182,"[""Ann & Robert H Lurie Children's Hospital"", ""Ann and Robert H Lurie Children's Hospital of Chicago"", ""ANN AND ROBERT H LURIE CHILDREN'S HOSPITAL OF CHICAGO"", ""ANN & ROBERT H LURIE CHILDREN'S HOSPITAL""]","[{'id': 'grid.413808.6', 'name': ""Lurie Children's Hospital"", 'country_name': 'United States'}]",Grant,2018.0,US-9856481-B2,"['Ann Harris', 'Lindsay R. Stolzenburg']",2018-01-02,,MicroRNA treatment of fibrosis,2016
183,"['Ionis Pharmaceuticals Inc', 'IONIS PHARMACEUTICALS INC']","[{'id': 'grid.282569.2', 'name': 'Ionis Pharmaceuticals (United States)', 'country_name': 'United States'}]",Grant,2018.0,US-9932581-B2,"['Thazha P. Prakash', 'Punit P. Seth', 'Eric E. Swayze', 'Mark J. Graham']",2018-04-03,,Compositions and methods for modulating apolipoprotein C-III expression,2015
184,"['University of Illinois', 'US Department of Veterans Affairs', 'DUDLEY JR SAMUEL C', 'US OF AMERICA DEPT OF VETERANS AFFAIRS', 'TRUSTEES OF THE UNIV OF ILLINOIS BOARD OF']","[{'id': 'grid.418356.d', 'acronym': 'VA ', 'name': 'United States Department of Veterans Affairs', 'country_name': 'United States'}, {'id': 'grid.411030.7', 'name': 'University of Illinois System', 'country_name': 'United States'}]",Grant,2015.0,US-9114151-B2,"['Samuel C. Dudley, Jr.']",2015-08-25,,Method for modulating or controlling sodium channel current by reactive oxygen species (ROS) originating from mitochondria,2011
185,"['Ionis Pharmaceuticals Inc', 'ISIS PHARMACEUTICALS INC', 'ISIS PHARMACEUTICALS INC']","[{'id': 'grid.282569.2', 'name': 'Ionis Pharmaceuticals (United States)', 'country_name': 'United States'}]",Grant,2016.0,US-9382540-B2,"['Thazha P. Prakash', 'Punit P. Seth', 'Eric E. Swayze', 'Susan M. Freier', 'Mark J. Graham', 'Rosanne M. Crooke']",2016-07-05,5.0,Compositions and methods for modulating angiopoietin-like 3 expression,2015
186,"['Modernatx Inc', 'MODERNATX INC']",,Grant,2018.0,US-10022425-B2,"['Stephane Bancel', 'Jason P. Schrum', 'Alexander Aristarkhov']",2018-07-17,,Engineered nucleic acids and methods of use thereof,2016
187,['QUALCOMM INC'],"[{'id': 'grid.430388.4', 'name': 'Qualcomm (United States)', 'country_name': 'United States'}]",Application,,WO-2016064604-A1,"['YII, Winston', 'REITMAYR, GERHARD', 'RAUBER, PETER H.', 'PAN, QI', 'SZALAVARI, ZSOLT', 'GERVAUTZ, Michael']",2016-04-28,,SELECTION STRATEGY FOR EXCHANGING MAP INFORMATION IN COLLABORATIVE MULTI-USER SLAM SYSTEMS,2015
188,['WALDBUSSER STEVEN'],,Grant,2017.0,US-9544182-B2,['Steven Waldbusser'],2017-01-10,,Monitoring gateway systems and methods for openflow type networks,2015
189,"['Modernatx Inc', 'MODERNATX INC']",,Grant,2018.0,US-10064959-B2,"['Jason P. Schrum', 'Suhaib Siddiqi', 'Kenechi Ejebe']",2018-09-04,,"Modified nucleosides, nucleotides, and nucleic acids, and uses thereof",2017
190,"['Modernatx Inc', 'MODERNA THERAPEUTICS INC']","[{'id': 'grid.479574.c', 'name': 'Moderna Therapeutics (United States)', 'country_name': 'United States'}]",Grant,2015.0,US-9192651-B2,"['Tirtha Chakraborty', 'Antonin de Fougerolles']",2015-11-24,25.0,Modified polynucleotides for the production of secreted proteins,2013
191,"['Modernatx Inc', 'MODERNA THERAPEUTICS INC']","[{'id': 'grid.479574.c', 'name': 'Moderna Therapeutics (United States)', 'country_name': 'United States'}]",Grant,2016.0,US-9301993-B2,"['Tirtha Chakraborty', 'Antonin de Fougerolles']",2016-04-05,23.0,Modified polynucleotides encoding apoptosis inducing factor 1,2013
192,"['Modernatx Inc', 'MODERNA THERAPEUTICS INC']","[{'id': 'grid.479574.c', 'name': 'Moderna Therapeutics (United States)', 'country_name': 'United States'}]",Grant,2015.0,US-9181319-B2,"['Jason P. Schrum', 'Stephane Bancel', 'Noubar B. Afeyan']",2015-11-10,25.0,Engineered nucleic acids and methods of use thereof,2014
193,"['Modernatx Inc', 'MODERNA THERAPEUTICS INC']","[{'id': 'grid.479574.c', 'name': 'Moderna Therapeutics (United States)', 'country_name': 'United States'}]",Grant,2016.0,US-9334328-B2,"['Jason P. Schrum', 'Suhaib Siddiqi', 'Kenechi Ejebe']",2016-05-10,27.0,"Modified nucleosides, nucleotides, and nucleic acids, and uses thereof",2013
194,"['Modernatx Inc', 'MODERNA THERAPEUTICS INC']","[{'id': 'grid.479574.c', 'name': 'Moderna Therapeutics (United States)', 'country_name': 'United States'}]",Grant,2015.0,US-9216205-B2,"['Tirtha Chakraborty', 'Antonin de Fougerolles']",2015-12-22,4.0,Modified polynucleotides encoding granulysin,2013
195,"['Icahn School of Medicine at Mount Sinai', 'ICAHN SCHOOL MED MOUNT SINAI']","[{'id': 'grid.59734.3c', 'acronym': 'MSSM', 'name': 'Icahn School of Medicine at Mount Sinai', 'country_name': 'United States'}]",Grant,2017.0,US-9849172-B2,"['Adolfo Garcia-Sastre', 'Anice C. Lowen', 'Peter Palese', 'John Steel']",2017-12-26,2.0,Influenza virus vaccines and uses thereof,2015
196,"['Modernatx Inc', 'MODERNA THERAPEUTICS INC']","[{'id': 'grid.479574.c', 'name': 'Moderna Therapeutics (United States)', 'country_name': 'United States'}]",Grant,2015.0,US-9089604-B2,"['Tirtha Chakraborty', 'Antonin de Fougerolles', 'Ron Weiss']",2015-07-28,28.0,Modified polynucleotides for treating galactosylceramidase protein deficiency,2014
197,"['Modernatx Inc', 'MODERNA THERAPEUTICS INC']","[{'id': 'grid.479574.c', 'name': 'Moderna Therapeutics (United States)', 'country_name': 'United States'}]",Grant,2016.0,US-9447164-B2,"['Jason P. Schrum', 'Stephane Bancel', 'Noubar B. Afeyan', 'Kenechi Ejebe']",2016-09-20,3.0,Engineered nucleic acids and methods of use thereof,2015
198,"['Modernatx Inc', 'MODERNA THERAPEUTICS INC']","[{'id': 'grid.479574.c', 'name': 'Moderna Therapeutics (United States)', 'country_name': 'United States'}]",Grant,2015.0,US-9220755-B2,"['Tirtha Chakraborty', 'Antonin de Fougerolles']",2015-12-29,23.0,Modified polynucleotides for the production of proteins associated with blood and lymphatic disorders,2013
199,"['Modernatx Inc', 'MODERNATX INC']",,Grant,2018.0,US-9950068-B2,"['Antonin de Fougerolles', 'Sayda M. Elbashir']",2018-04-24,,Delivery and formulation of engineered nucleic acids,2016
200,"['Modernatx Inc', 'MODERNA THERAPEUTICS INC']","[{'id': 'grid.479574.c', 'name': 'Moderna Therapeutics (United States)', 'country_name': 'United States'}]",Grant,2016.0,US-9233141-B2,"['Tirtha Chakraborty', 'Antonin de Fougerolles']",2016-01-12,24.0,Modified polynucleotides for the production of proteins associated with blood and lymphatic disorders,2013
201,"['modeRNA Therapeutics Inc', 'MODERNA THERAPEUTICS INC']","[{'id': 'grid.479574.c', 'name': 'Moderna Therapeutics (United States)', 'country_name': 'United States'}]",Grant,2015.0,US-9221891-B2,"['Stephane Bancel', 'Tirtha Chakraborty', 'Antonin de Fougerolles', 'Sayda M. Elbashir', 'Matthias John', 'Atanu Roy', 'Susan Whoriskey', 'Kristy M. Wood', 'Paul Hatala', 'Jason P. Schrum', 'Kenechi Ejebe', 'Jeff Lynn Ellsworth', 'Justin Guild']",2015-12-29,4.0,In vivo production of proteins,2013
202,"['Modernatx Inc', 'MODERNA THERAPEUTICS INC', 'MODERNATX INC']","[{'id': 'grid.479574.c', 'name': 'Moderna Therapeutics (United States)', 'country_name': 'United States'}]",Grant,2017.0,US-9657295-B2,"['Jason P. Schrum', 'Suhaib Siddiqi', 'Kenechi Ejebe']",2017-05-23,3.0,"Modified nucleosides, nucleotides, and nucleic acids, and uses thereof",2016
203,['INTERDIGITAL TECH CORP'],"[{'id': 'grid.420292.f', 'name': 'InterDigital (United States)', 'country_name': 'United States'}]",Application,,WO-2017070545-A1,"['DE FOY, XAVIER', 'REZNIK, ALEXANDER']",2017-04-27,1.0,SOFTWARE-DEFINED NETWORK ENHANCEMENTS ENABLING PROGRAMMABLE INFORMATION CENTRIC NETWORKING IN EDGE NETWORKS,2016
204,"['ITERATIVE THERAPEUTICS Inc', 'ARNASON BARRY G W', 'JENSEN MARK A', 'WHITE DAVID M', 'ITERATIVE THERAPEUTICS INC']",,Grant,2015.0,US-8986698-B2,"['Barry G. W. Arnason', 'Mark A. Jensen', 'David M. White']",2015-03-24,7.0,Method of using fusion proteins,2011
205,"['Modernatx Inc', 'MODERNA THERAPEUTICS INC']","[{'id': 'grid.479574.c', 'name': 'Moderna Therapeutics (United States)', 'country_name': 'United States'}]",Grant,2015.0,US-9220792-B2,"['Tirtha Chakraborty', 'Antonin de Fougerolles']",2015-12-29,24.0,Modified polynucleotides encoding aquaporin-5,2013
206,"['modeRNA Therapeutics Inc', 'MODERNA THERAPEUTICS INC']","[{'id': 'grid.479574.c', 'name': 'Moderna Therapeutics (United States)', 'country_name': 'United States'}]",Grant,2016.0,US-9303079-B2,"['Tirtha Chakraborty', 'Antonin de Fougerolles']",2016-04-05,26.0,Modified polynucleotides for the production of cytoplasmic and cytoskeletal proteins,2013
207,"['Akzo NV', 'Hollandsche Beton Groep NV', 'AKZO NV', 'HOLLANDSCHE BETONGROEP NV']","[{'id': 'grid.423893.7', 'name': 'AkzoNobel (Netherlands)', 'country_name': 'Netherlands'}]",Application,,EP-0223291-A2,"['Schürhoff, Hans-Jürgen', 'GERRITSE, ARIE', 'METS, LAMBERTUS CORNELIS']",1987-05-27,13.0,"Reinforcing element of synthetic material for use in reinforced concrete, more particularly prestressed concrete, reinforced concrete provided with such reinforcing elements, and processes of manufacturing reinforcing elements, and reinforced and prestressed concrete",1986
208,"['Modernatx Inc', 'MODERNATX INC']",,Grant,2017.0,US-9597380-B2,"['Tirtha Chakraborty', 'Stephane Bancel', 'Stephen G. Hoge', 'Atanu Roy', 'Antonin de Fougerolles', 'Noubar B. Afeyan']",2017-03-21,6.0,Terminally modified RNA,2013
209,"['Modernatx Inc', 'modeRNA Therapeutics', 'MODERNA THERAPEUTICS INC']","[{'id': 'grid.479574.c', 'name': 'Moderna Therapeutics (United States)', 'country_name': 'United States'}]",Grant,2015.0,US-8999380-B2,"['Stephane Bancel', 'Tirtha Chakraborty', 'Antonin de Fougerolles', 'Sayda M. Elbashir', 'Matthias John', 'Atanu Roy', 'Susan Whoriskey', 'Kristy M. Wood', 'Paul Hatala', 'Jason P. Schrum', 'Kenechi Ejebe', 'Jeff Lynn Ellsworth', 'Justin Guild']",2015-04-07,60.0,Modified polynucleotides for the production of biologics and proteins associated with human disease,2013
210,"['Modernatx Inc', 'MODERNA THERAPEUTICS INC', 'MODERNATX INC']","[{'id': 'grid.479574.c', 'name': 'Moderna Therapeutics (United States)', 'country_name': 'United States'}]",Grant,2017.0,US-9572897-B2,"['Stephane Bancel', 'Tirtha Chakraborty', 'Antonin de Fougerolles', 'Sayda M. Elbashir', 'Matthias John', 'Atanu Roy', 'Susan Whoriskey', 'Kristy M. Wood', 'Paul Hatala', 'Jason P. Schrum', 'Kenechi Ejebe', 'Jeff Lynn Ellsworth', 'Justin Guild']",2017-02-21,8.0,Modified polynucleotides for the production of cytoplasmic and cytoskeletal proteins,2016
211,"['Modernatx Inc', 'MODERNA THERAPEUTICS INC']","[{'id': 'grid.479574.c', 'name': 'Moderna Therapeutics (United States)', 'country_name': 'United States'}]",Grant,2015.0,US-9107886-B2,"['Tirtha Chakraborty', 'Antonin de Fougerolles']",2015-08-18,27.0,Modified polynucleotides encoding basic helix-loop-helix family member E41,2013
212,"['Modernatx Inc', 'modeRNA Therapeutics', 'MODERNA THERAPEUTICS INC']","[{'id': 'grid.479574.c', 'name': 'Moderna Therapeutics (United States)', 'country_name': 'United States'}]",Grant,2015.0,US-9186372-B2,"['Antonin de Fougerolles', 'Sayda M. Elbashir']",2015-11-17,24.0,Split dose administration,2013
213,"['Modernatx Inc', 'MODERNATX INC']",,Grant,2017.0,US-9533047-B2,"['Antonin de Fougerolles', 'Sayda M. Elbashir']",2017-01-03,7.0,Delivery and formulation of engineered nucleic acids,2014
214,"['Modernatx Inc', 'MODERNA THERAPEUTICS INC']","[{'id': 'grid.479574.c', 'name': 'Moderna Therapeutics (United States)', 'country_name': 'United States'}]",Grant,2015.0,US-9061059-B2,"['Tirtha Chakraborty', 'Antonin de Fougerolles', 'Ron Weiss']",2015-06-23,30.0,Modified polynucleotides for treating protein deficiency,2014
215,"['Modernatx Inc', 'MODERNA THERAPEUTICS INC']","[{'id': 'grid.479574.c', 'name': 'Moderna Therapeutics (United States)', 'country_name': 'United States'}]",Grant,2015.0,US-9114113-B2,"['Tirtha Chakraborty', 'Antonin de Fougerolles']",2015-08-25,27.0,Modified polynucleotides encoding citeD4,2013
216,"['modeRNA Therapeutics Inc', 'MODERNA THERAPEUTICS INC']","[{'id': 'grid.479574.c', 'name': 'Moderna Therapeutics (United States)', 'country_name': 'United States'}]",Grant,2016.0,US-9464124-B2,"['Stephane Bancel', 'Jason P. Schrum', 'Alexander Aristarkhov']",2016-10-11,20.0,Engineered nucleic acids and methods of use thereof,2014
217,"['Modernatx Inc', 'MODERNATX INC']",,Grant,2018.0,US-9937233-B2,"['Jason P. Schrum', 'Stephane Bancel', 'Noubar B. Afeyan', 'Kenechi Ejebe']",2018-04-10,,Engineered nucleic acids and methods of use thereof,2016
218,"['Modernatx Inc', 'MODERNA THERAPEUTICS INC', 'MODERNATX INC']","[{'id': 'grid.479574.c', 'name': 'Moderna Therapeutics (United States)', 'country_name': 'United States'}]",Grant,2017.0,US-9827332-B2,"['Stephane Bancel', 'Tirtha Chakraborty', 'Antonin de Fougerolles', 'Sayda M. Elbashir', 'Jeff Lynn Ellsworth', 'Kenechi Ejebe', 'Justin Guild', 'Matthias John', 'Paul Hatala', 'Atanu Roy', 'Jason P. Schrum', 'Susan Whoriskey', 'Kristy M. Wood']",2017-11-28,,Modified polynucleotides for the production of proteins,2015
219,"['Modernatx Inc', 'MODERNATX INC']",,Grant,2017.0,US-9814760-B2,"['Stephane Bancel', 'Tirtha Chakraborty', 'Antonin de Fougerolles', 'Sayda M. Elbashir', 'Matthias John', 'Atanu Roy', 'Susan Whoriskey', 'Kristy M. Wood', 'Paul Hatala', 'Jason P. Schrum', 'Kenechi Ejebe', 'Jeff Lynn Ellsworth', 'Justin Guild']",2017-11-14,,Modified polynucleotides for the production of biologics and proteins associated with human disease,2015
220,"['Modernatx Inc', 'MODERNA THERAPEUTICS INC']","[{'id': 'grid.479574.c', 'name': 'Moderna Therapeutics (United States)', 'country_name': 'United States'}]",Grant,2016.0,US-9295689-B2,"['Antonin de Fougerolles', 'Kristy M. Wood', 'Pedro Valencia']",2016-03-29,23.0,Formulation and delivery of PLGA microspheres,2013
221,"['Modernatx Inc', 'modeRNA Therapeutics', 'MODERNA THERAPEUTICS INC']","[{'id': 'grid.479574.c', 'name': 'Moderna Therapeutics (United States)', 'country_name': 'United States'}]",Grant,2016.0,US-9428535-B2,"['Antonin de Fougerolles', 'Atanu Roy', 'Jason P. Schrum', 'Suhaib Siddiqi', 'Paul Hatala', 'Stephane Bancel']",2016-08-30,16.0,"Modified nucleosides, nucleotides, and nucleic acids, and uses thereof",2012
222,"['Modernatx Inc', 'MODERNA THERAPEUTICS INC', 'MODERNATX INC']","[{'id': 'grid.479574.c', 'name': 'Moderna Therapeutics (United States)', 'country_name': 'United States'}]",Grant,2017.0,US-9587003-B2,"['Stephane Bancel', 'Tirtha Chakraborty', 'Antonin de Fougerolles', 'Sayda M. Elbashir', 'Matthias John', 'Atanu Roy', 'Susan Whoriskey', 'Kristy M. Wood', 'Paul Hatala', 'Jason P. Schrum', 'Kenechi Ejebe', 'Jeff Lynn Ellsworth', 'Justin Guild']",2017-03-07,10.0,Modified polynucleotides for the production of oncology-related proteins and peptides,2016
