Grant ID,Grant Number,Title,Funding Amount in USD,Start Date,Start Year,End Date,End Year,Research Organization - standardized,GRID ID,Country of Research organization,Funder,Funder Country,pubs,patents,clinical_trials
grant.5206028,52068,Molecular analysis of immune responses to malaria peptide vaccines,149592,1998-03-01,1998.0,2000-03-31,2000,University of Basel; Swiss Tropical and Public Health Institute,grid.6612.3; grid.416786.a,Switzerland; Switzerland,Swiss National Science Foundation,Switzerland,4,0,0
grant.5202152,66442,Immunologische Kontrolle der Zeckeninduzierten Immunmodulation: Eine Vakzinestrategie.,0,2001-08-01,2001.0,2002-07-31,2002,University of Connecticut Health Center,grid.208078.5,United States,Swiss National Science Foundation,Switzerland,0,0,0
grant.5196804,40199,Conserved CTL Epitopes in HIV-1 as Potential Vaccines.,29019,1994-04-01,1994.0,1995-03-31,1995,University of Lausanne,grid.9851.5,Switzerland,Swiss National Science Foundation,Switzerland,0,0,0
grant.5195740,37440,Biodegradable microspheres as a novel vaccine delivery system,142572,1994-04-01,1994.0,1997-03-31,1997,Swiss Federal Institute of Technology in Zurich; University of Lausanne; Swiss Federal Institute of Technology in Zurich,grid.5801.c; grid.9851.5; grid.5801.c,Switzerland; Switzerland; Switzerland,Swiss National Science Foundation,Switzerland,3,0,0
grant.5195025,36349,Development of a vaccine against HELICOBACTER PYLORI infection,307034,1993-04-01,1993.0,1995-12-31,1995,University of Lausanne; University of Lausanne; Cabinet Gastroenterology La Source-Beaulieu; University of Lausanne,grid.9851.5; grid.9851.5; grid.482966.7; grid.9851.5,Switzerland; Switzerland; Switzerland; Switzerland,Swiss National Science Foundation,Switzerland,0,0,0
grant.5138636,CRUK-A7825,Robo4 protein as a cancer vaccine,0,2007-01-01,2007.0,2008-12-31,2008,University of Birmingham,grid.6572.6,United Kingdom,Cancer Research UK,United Kingdom,1,0,0
grant.5069446,Y205749,肾综合征出血热基因工程疫苗的研制,0,2005-01-01,2005.0,2013-12-31,2013,Chinese Center For Disease Control and Prevention,grid.198530.6,China,Science and Technology Department of Zhejiang Province,China,0,0,0
grant.5068098,Y204458,麻疹流行株的抗原变异对疫苗效果影响的研究,0,2004-01-01,2004.0,2012-12-31,2012,Chinese Center For Disease Control and Prevention,grid.198530.6,China,Science and Technology Department of Zhejiang Province,China,0,0,0
grant.5066344,LQ13C180002,基于蛋白质组学的兔支气管败血波氏杆菌反向疫苗学研究,0,2013-01-01,2013.0,2016-12-31,2016,ZheJiang Academy of Agricultural Sciences,grid.410744.2,China,Science and Technology Department of Zhejiang Province,China,0,0,0
grant.5064871,Y305031,PRRS多价基因工程疫苗研究的新策略,0,2005-01-01,2005.0,2009-12-31,2009,,,,Science and Technology Department of Zhejiang Province,China,0,0,0
grant.5061881,DRT-S97-19,Breast Cancer Vaccines from Plants,51865,1998-06-01,1998.0,2000-05-31,2000,"University of California, San Francisco",grid.266102.1,United States,UC Discovery Grants (formerly IUCRP),United States,0,0,0
grant.5061466,DRT-S96-10,Basic Studies in Super Vaccines,54650,1997-01-01,1997.0,1998-12-31,1998,New York University,grid.137628.9,United States,UC Discovery Grants (formerly IUCRP),United States,0,0,0
grant.5061185,DRT-biostar00-10098,Vaccines Based on DNA Adenine Methylase Technology,127444,2001-08-10,2001.0,2002-12-10,2002,"University of California, Santa Barbara",grid.133342.4,United States,UC Discovery Grants (formerly IUCRP),United States,0,0,0
grant.5060853,DRT-S97-25,Mechanism of action of DNA vaccines,212413,1998-06-01,1998.0,2000-05-31,2000,"University of California, San Francisco",grid.266102.1,United States,UC Discovery Grants (formerly IUCRP),United States,0,0,0
grant.4845632,3853,Development of a novel carrier/adjuvant for intranasal vaccines,117981,2004-01-01,2004.0,2006-12-31,2006,Hebrew University of Jerusalem; Hebrew University of Jerusalem; Hebrew University of Jerusalem,grid.9619.7; grid.9619.7; grid.9619.7,Israel; Israel; Israel,Israel Science Foundation,Israel,0,0,0
grant.4695298,9-2000-1012,Australia III - DVDC  (Diabetes Vaccine Development Center),8965963,2004-01-01,2004.0,2014-03-31,2014,National Health and Medical Research Council,grid.431143.0,Australia,Juvenile Diabetes Research Foundation,United States,0,0,0
grant.4682414,141321,Improving whole-organism vaccines against malaria by genetic modification,0,2016-01-01,2016.0,2018-12-31,2018,University of Lisbon,grid.9983.b,Portugal,Foundation for Science and Technology,Portugal,0,0,0
grant.4661480,208297,AquaSolve: Nanobead vaccine delivery platform for aquaculture,355035,2011-01-01,2011.0,2012-12-31,2012,Inven2 (Norway),grid.458116.f,Norway,The Research Council of Norway,Norway,0,0,0
grant.4644142,217391,Effective vaccine against winter ulcer in salmon.,272177,2012-01-01,2012.0,2013-12-31,2013,Kjeller Innovation,grid.458253.d,Norway,The Research Council of Norway,Norway,0,0,0
grant.4641075,187664,Low cost production of biopharmaceuticals and vaccines in plants,8529,2007-01-01,2007.0,2007-12-31,2007,,,,The Research Council of Norway,Norway,0,0,0
grant.4636462,M1-0150 (C),Rekombinantno cepivo proti aviarni influenci,0,2006-01-06,2006.0,2007-05-31,2007,University of Ljubljana; National Institute of Chemistry; University of Ljubljana; University of Ljubljana; Ljubljana University Medical Centre; National Institute of Chemistry; University of Ljubljana,grid.8954.0; grid.454324.0; grid.8954.0; grid.8954.0; grid.29524.38; grid.454324.0; grid.8954.0,Slovenia; Slovenia; Slovenia; Slovenia; Slovenia; Slovenia; Slovenia,Slovenian Research Agency,Slovenia,0,0,0
grant.4562339,96/11539-0,Development of a recombinant BCG vaccine - DPT,0,1997-04-01,1997.0,2000-12-31,2000,Secretaria da Saúde,grid.419716.c,Brazil,São Paulo Research Foundation,Brazil,0,0,0
grant.4510775,94/05878-1,Peptides and proteins for vaccines and therapeutics,0,1995-04-01,1995.0,1996-03-31,1996,Secretaria da Saúde,grid.419716.c,Brazil,São Paulo Research Foundation,Brazil,0,0,0
grant.4453044,CBD99-020,Development of Naked DNA Vaccine: Brucella,70000,1998-10-01,1998.0,1999-09-30,1999,,,,United States Department of Defense,United States,0,0,0
grant.4362089,5578,Preparation of liquid live vaccine against rubella,233401,2008-04-01,2008.0,2010-03-31,2010,Imuna Pharm (Slovakia); Slovak Academy of Sciences; Slovak Academy of Sciences,grid.455080.c; grid.419303.c; grid.419303.c,Slovakia; Slovakia; Slovakia,Slovak Research and Development Agency,Slovakia,0,0,0
grant.4192377,72284,Construction and characterization of live-attenuated enterobacterial vaccine candidates,55902,2008-09-01,2008.0,2011-09-30,2011,University of Pecs; University of Pecs; University of Pecs,grid.9679.1; grid.9679.1; grid.9679.1,Hungary; Hungary; Hungary,Hungarian Scientific Research Fund,Hungary,1,0,0
grant.4171416,561463,Evaluation of an oncolytic vaccine in dogs,4071,2014-04-01,2014.0,2015-03-31,2015,University of Guelph,grid.34429.38,Canada,Natural Sciences and Engineering Research Council,Canada,0,0,0
grant.4167878,557753,Bioprocess Sciences and Technology of Viral Vaccines,90554,2014-04-01,2014.0,2015-03-31,2015,McGill University,grid.14709.3b,Canada,Natural Sciences and Engineering Research Council,Canada,0,0,0
grant.4167438,563155,Targeted microneedle insertion for epidermal vaccine delivery and biosensing,45275,2014-04-01,2014.0,2015-03-31,2015,University of British Columbia,grid.17091.3e,Canada,Natural Sciences and Engineering Research Council,Canada,0,0,0
grant.4106519,150026,Controlled Release Nanoparticle vaccines,2736860,2005-09-30,2005.0,2010-09-29,2010,Xenetic Biosciences (United Kingdom); University of Cambridge; Public Health England,grid.505583.e; grid.5335.0; grid.271308.f,United Kingdom; United Kingdom; United Kingdom,Innovate UK,United Kingdom,0,0,0
grant.4035526,2101,Novel dendritic cell-based vaccine of cancer,67080,2004-10-01,2004.0,2007-09-30,2007,University of Saskatchewan; University of Saskatchewan,grid.25152.31; grid.25152.31,Canada; Canada,Saskatchewan Health Research Foundation,Canada,0,0,0
grant.4035380,2093,Transdermal delivery systems for protein medicines and vaccines,72594,2004-04-01,2004.0,2006-03-31,2006,University of Saskatchewan,grid.25152.31,Canada,Saskatchewan Health Research Foundation,Canada,0,0,0
grant.4035377,2094,Transdermal delivery systems for protein medicines and vaccines,37264,2004-04-01,2004.0,2005-03-31,2005,University of Saskatchewan,grid.25152.31,Canada,Saskatchewan Health Research Foundation,Canada,0,0,0
grant.3749684,QLK2-CT-1999-01321,European vaccine effort against hiv/aids,9080219,2000-01-01,2000.0,2005-01-01,2005,Karolinska Institute; Covance (United Kingdom); University of Lausanne; Swiss Federal Institute of Technology in Lausanne; Jean Monnet University; French National Centre for Scientific Research; Biomedical Primate Research Centre; Academic Medical Center; University of Insubria; University of Bern; Public Health England; Crucell (Switzerland); San Raffaele Hospital; Medical Research Council; University of Lausanne; King's College London; Spanish National Research Council; University of Naples Federico II; University of Regensburg; French Institute of Health and Medical Research; Imperial College London; Sanofi (France),grid.4714.6; grid.417605.1; grid.9851.5; grid.5333.6; grid.6279.a; grid.4444.0; grid.11184.3d; grid.5650.6; grid.18147.3b; grid.5734.5; grid.271308.f; grid.432742.4; grid.18887.3e; grid.14105.31; grid.9851.5; grid.13097.3c; grid.4711.3; grid.4691.a; grid.7727.5; grid.7429.8; grid.7445.2; grid.417924.d,Sweden; United Kingdom; Switzerland; Switzerland; France; France; Netherlands; Netherlands; Italy; Switzerland; United Kingdom; Switzerland; Italy; United Kingdom; Switzerland; United Kingdom; Spain; Italy; Germany; France; United Kingdom; France,European Commission,Belgium,27,0,0
grant.3733024,BIO4980031,Biosafety of vaccines based on self-replicating recombinant alphavirus,0,1998-09-01,1998.0,2000-08-31,2000,"Enterprise Ireland; Imperial College London; Queen's University Belfast; Karolinska Institute; National University of Ireland, Maynooth; National University of Ireland",grid.7088.7; grid.7445.2; grid.4777.3; grid.4714.6; grid.95004.38; grid.9344.a,Ireland; United Kingdom; United Kingdom; Sweden; Ireland; Ireland,European Commission,Belgium,0,0,0
grant.3731136,IC18980387,Selection of P. Falciparum antigene for MPES vaccine development,0,1999-02-01,1999.0,2001-02-28,2001,Pasteur Institute; Biomedical Primate Research Centre; University of Valle; Radboud University Nijmegen; Institute of Tropical Medicine Antwerp,grid.428999.7; grid.11184.3d; grid.8271.c; grid.5590.9; grid.11505.30,France; Netherlands; Colombia; Netherlands; Belgium,European Commission,Belgium,0,0,0
grant.3729873,CIPA940230,New approaches for the development of enterobacterial vaccine strains,0,1995-01-01,1995.0,1997-12-31,1997,University of Würzburg; National Center of Infectious and Parasitic Diseases; University of Pecs,grid.8379.5; grid.419273.a; grid.9679.1,Germany; Bulgaria; Hungary,European Commission,Belgium,0,0,0
grant.3728490,CIPE926123,Development of vaccines against coccidiosis through biotechnology,0,1993-05-01,1993.0,1994-04-30,1994,,,,European Commission,Belgium,0,0,0
grant.3726127,TS3*930255,Oral vaccine against cholera with Built-in adjuvanticity,0,1994-04-01,1994.0,1997-04-30,1997,Novartis (Italy); Pasteur Institute; University of Sao Paulo,grid.15585.3c; grid.428999.7; grid.11899.38,Italy; France; Brazil,European Commission,Belgium,1,0,0
grant.3708086,TS1*0026,CHEMICAL SYNTHESIS OF HEPATITIS B VACCINES,0,1984-01-01,1984.0,1986-12-31,1986,London School of Hygiene & Tropical Medicine,grid.8991.9,United Kingdom,European Commission,Belgium,0,0,0
grant.3706490,MR4*0027,DEVELOPMENT OF AN EFFICIENT VACCINE (AIDS),0,1987-09-01,1987.0,1988-12-31,1988,Medical Research Council,grid.14105.31,United Kingdom,European Commission,Belgium,0,0,0
grant.3702872,TS2*0188,DEVELOPMENT OF SYNTHETIC VACCINES AGAINST NEMATODE INFECTIONS,0,1989-07-01,1989.0,1993-06-30,1993,National Research Council,grid.5326.2,Italy,European Commission,Belgium,0,0,0
grant.3700936,TS2*0218,DEVELOPMENT OF VACCINE AGAINST CHAGAS' DISEASE,0,1989-02-01,1989.0,1992-06-30,1992,Pasteur Institute of Lille,grid.8970.6,France,European Commission,Belgium,0,0,0
grant.3535230,U01CK000350,EVAL OF IMPCT OF JAPANESE ENCEPHALITIS VACCINE IN CAMBODIA,75190,2014-04-01,2014.0,2015-03-31,2015,National Center for Immunization and Respiratory Diseases,grid.419260.8,United States,Centers for Disease Control and Prevention,United States,0,0,0
grant.3532347,101143,Rational design of an AIP56-based anti-pasteurellosis vaccine,145174,2010-05-01,2010.0,2013-10-31,2013,University of Porto; University of Porto; University of Porto; University of Porto; University of Porto; University of Porto; University of Porto,grid.5808.5; grid.5808.5; grid.5808.5; grid.5808.5; grid.5808.5; grid.5808.5; grid.5808.5,Portugal; Portugal; Portugal; Portugal; Portugal; Portugal; Portugal,Foundation for Science and Technology,Portugal,0,0,0
grant.3529500,103484,Exploring pathogen diversity in disease epidemiology and vaccine research,217382,2010-02-01,2010.0,2013-01-31,2013,Instituto Gulbenkian de Ciência; Universidade Nova de Lisboa; Universidade Nova de Lisboa; Brooklyn College; Universidade Nova de Lisboa; Instituto Gulbenkian de Ciência; Atlantic University; University of Porto; Oswaldo Cruz Foundation; Instituto Gulbenkian de Ciência,grid.418346.c; grid.10772.33; grid.10772.33; grid.183006.c; grid.10772.33; grid.418346.c; grid.410920.e; grid.5808.5; grid.418068.3; grid.418346.c,Portugal; Portugal; Portugal; United States; Portugal; Portugal; Portugal; Portugal; Brazil; Portugal,Foundation for Science and Technology,Portugal,0,0,0
grant.3528280,113650,Melhoramento da imunogenicidade de vacinas de DNA,163587,2011-01-01,2011.0,2013-12-31,2013,University of Lisbon; University of Lisbon; University of Lisbon; University of Lisbon; University of Lisbon; University of Lisbon; University of Lisbon,grid.9983.b; grid.9983.b; grid.9983.b; grid.9983.b; grid.9983.b; grid.9983.b; grid.9983.b,Portugal; Portugal; Portugal; Portugal; Portugal; Portugal; Portugal,Foundation for Science and Technology,Portugal,0,0,0
grant.3528140,61090,Development of DNA vaccine prototypes for veterinary trypanosomiasis,83746,2005-07-01,2005.0,2007-12-31,2007,University of Lisbon; University of Lisbon; Universidade Nova de Lisboa; Universidade Nova de Lisboa; Universidade Nova de Lisboa,grid.9983.b; grid.9983.b; grid.10772.33; grid.10772.33; grid.10772.33,Portugal; Portugal; Portugal; Portugal; Portugal,Foundation for Science and Technology,Portugal,4,0,0
grant.3527854,82211,Development of DNA vaccine prototypes for veterinary trypanosomiasis,32656,2007-01-01,2007.0,2009-02-28,2009,University of Lisbon; University of Lisbon; Universidade Nova de Lisboa; Universidade Nova de Lisboa; Universidade Nova de Lisboa,grid.9983.b; grid.9983.b; grid.10772.33; grid.10772.33; grid.10772.33,Portugal; Portugal; Portugal; Portugal; Portugal,Foundation for Science and Technology,Portugal,0,0,0
grant.3527599,126635,Anti-ghrelin vaccine: a feasible alternative for obesity treatment?,66351,2013-05-01,2013.0,2014-10-31,2014,University of Porto; University of Porto; University of Porto; University of Porto; University of Porto,grid.5808.5; grid.5808.5; grid.5808.5; grid.5808.5; grid.5808.5,Portugal; Portugal; Portugal; Portugal; Portugal,Foundation for Science and Technology,Portugal,0,0,0
grant.3526938,116097,Smart porous particles for pulmonary drug and vaccine delivery,116280,2011-04-01,2011.0,2014-07-31,2014,Universidade Nova de Lisboa; Universidade Nova de Lisboa; University of Beira Interior; Rede de Química e Tecnologia,grid.10772.33; grid.10772.33; grid.7427.6; grid.421461.4,Portugal; Portugal; Portugal; Portugal,Foundation for Science and Technology,Portugal,0,0,0
grant.3526242,65048,Impact of the conjugate pneumococcal vaccines on pneumococcal ecology,208503,2009-01-01,2009.0,2012-06-30,2012,Universidade Nova de Lisboa; Universidade Nova de Lisboa; Universidade Nova de Lisboa; Universidade Nova de Lisboa; Universidade Nova de Lisboa; Universidade Nova de Lisboa; Hospital de Santa Maria,grid.10772.33; grid.10772.33; grid.10772.33; grid.10772.33; grid.10772.33; grid.10772.33; grid.411265.5,Portugal; Portugal; Portugal; Portugal; Portugal; Portugal; Portugal,Foundation for Science and Technology,Portugal,0,0,0
grant.3524632,70275,Vaccine potential of different Leishmania infantum proteins,148018,2007-10-15,2007.0,2011-04-14,2011,University of Porto; Universidade Nova de Lisboa; University of Porto; University of Porto; University of Porto; Universidade Nova de Lisboa; University of Porto,grid.5808.5; grid.10772.33; grid.5808.5; grid.5808.5; grid.5808.5; grid.10772.33; grid.5808.5,Portugal; Portugal; Portugal; Portugal; Portugal; Portugal; Portugal,Foundation for Science and Technology,Portugal,4,0,0
grant.2987656,152995,Development of subunit anti-viral vaccines for salmonid fish,142445,1998-04-01,1998.0,2000-03-31,2000,"University of British Columbia; Innovation, Science and Economic Development Canada; Innovation, Science and Economic Development Canada",grid.17091.3e; grid.435030.1; grid.435030.1,Canada; Canada; Canada,Natural Sciences and Engineering Research Council,Canada,0,0,0
grant.2985050,84171,Towards a live vaccine against cryptobiosis in salmonids,9540,1991-04-01,1991.0,1993-03-31,1993,University of Guelph; Fisheries and Oceans Canada,grid.34429.38; grid.23618.3e,Canada; Canada,Natural Sciences and Engineering Research Council,Canada,0,0,0
grant.2984254,111908,Développement d'un vaccin contre Streptococcus suis,52358,1997-04-01,1997.0,1998-03-31,1998,University of Montreal,grid.14848.31,Canada,Natural Sciences and Engineering Research Council,Canada,0,0,0
grant.2982723,54872,Enhancing vaccine efficacy by molecular chimerization to cytokines,15503,1993-04-01,1993.0,1994-03-31,1994,University of Saskatchewan,grid.25152.31,Canada,Natural Sciences and Engineering Research Council,Canada,0,0,0
grant.2978220,66199,"Development of vaccines for BVDV, BRSV and PI-3",78576,1991-04-01,1991.0,1993-03-31,1993,University of Saskatchewan,grid.25152.31,Canada,Natural Sciences and Engineering Research Council,Canada,0,0,0
grant.2971136,214798,Development of vaccine vector for human immunodeficiency virus,22291,2002-04-01,2002.0,2003-03-31,2003,"University of California, San Francisco",grid.266102.1,United States,Natural Sciences and Engineering Research Council,Canada,0,0,0
grant.2968761,325113,Identification of tumor-associated antigens as cancer vaccine targets,129424,2005-04-01,2005.0,2007-03-31,2007,University of Toronto,grid.17063.33,Canada,Natural Sciences and Engineering Research Council,Canada,0,0,0
grant.2968075,176289,Design of a glycoconjugate vaccine against group A streptococcus,129905,1999-04-01,1999.0,2001-03-31,2001,Simon Fraser University,grid.61971.38,Canada,Natural Sciences and Engineering Research Council,Canada,0,0,0
grant.2967309,98132,Development of a subunit vaccine for haemophilus somnus,43628,1991-04-01,1991.0,1992-03-31,1992,University of Saskatchewan; Agriculture and Agriculture-Food Canada; Agriculture and Agriculture-Food Canada,grid.25152.31; grid.55614.33; grid.55614.33,Canada; Canada; Canada,Natural Sciences and Engineering Research Council,Canada,0,0,0
grant.2960882,54871,Increasing vaccine efficiency through defined adjuvant use,128223,1992-04-01,1992.0,1994-03-31,1994,University of Saskatchewan,grid.25152.31,Canada,Natural Sciences and Engineering Research Council,Canada,0,0,0
grant.2958728,212544,Design of a glycoconjugate vaccine against group A streptococcus,23745,2002-04-01,2002.0,2003-03-31,2003,Simon Fraser University,grid.61971.38,Canada,Natural Sciences and Engineering Research Council,Canada,0,0,0
grant.2957327,78064,Development of a multivalent recombinant fowlpox virus vaccine,161733,1991-04-01,1991.0,1993-03-31,1993,University of Guelph,grid.34429.38,Canada,Natural Sciences and Engineering Research Council,Canada,0,0,0
grant.2942407,9534,Development of a molecularly defined vaccine for Myxosporean parasites,116966,1995-04-01,1995.0,1997-03-31,1997,University of Victoria,grid.143640.4,Canada,Natural Sciences and Engineering Research Council,Canada,0,0,0
grant.2939650,472024,Role of TLR4 binding adjuvant in improving cancer vaccines,4090,2010-04-01,2010.0,2011-03-31,2011,Immunovaccine (Canada),grid.420938.4,Canada,Natural Sciences and Engineering Research Council,Canada,0,0,0
grant.2937046,298504,Attenuating West Nile: The search for a Love Vaccine,14278,2005-04-01,2005.0,2006-03-31,2006,University of Manitoba,grid.21613.37,Canada,Natural Sciences and Engineering Research Council,Canada,0,0,0
grant.2936941,240074,Development of porcine adenovirus-3 as a vaccine vector,373818,2000-04-01,2000.0,2004-03-31,2004,University of Saskatchewan; Vétoquinol (Canada),grid.25152.31; grid.450582.e,Canada; Canada,Natural Sciences and Engineering Research Council,Canada,0,0,0
grant.2932210,330272,Attenuating West Nile: The search for a Love Vaccine,15247,2006-04-01,2006.0,2007-03-31,2007,University of Manitoba,grid.21613.37,Canada,Natural Sciences and Engineering Research Council,Canada,0,0,0
grant.2928975,408862,Recombinant fowl adenovirus based vaccine against avian influenza,4216,2008-04-01,2008.0,2009-03-31,2009,University of Guelph,grid.34429.38,Canada,Natural Sciences and Engineering Research Council,Canada,0,0,0
grant.2923314,372020,Novel biodegradeable hydrogel for hiv vaccine delivery,16102,2007-04-01,2007.0,2008-03-31,2008,Case Western Reserve University,grid.67105.35,United States,Natural Sciences and Engineering Research Council,Canada,0,0,0
grant.2921906,53574,Human adenovirus-based vaccines and mammalian expression vectors,351165,1991-04-01,1991.0,1994-03-31,1994,McMaster University,grid.25073.33,Canada,Natural Sciences and Engineering Research Council,Canada,0,0,0
grant.2912514,239917,Oral vaccines: Targetting to improve induction of mucosal immunity,298383,1999-04-01,1999.0,2004-03-31,2004,University of Saskatchewan,grid.25152.31,Canada,Natural Sciences and Engineering Research Council,Canada,0,0,0
grant.2911669,442602,Diagnostics of fish diseases and development of vaccines,3939,2009-04-01,2009.0,2010-03-31,2010,Zoetis (Canada),grid.436699.7,Canada,Natural Sciences and Engineering Research Council,Canada,0,0,0
grant.2901085,51493,Development of a recombinant vaccine for porcine transmissible gastroenteritis,243286,1991-04-01,1991.0,1994-03-31,1994,University of Guelph,grid.34429.38,Canada,Natural Sciences and Engineering Research Council,Canada,0,0,0
grant.2899804,57603,Development of an effective recombinant Actinobacillus pleuropneumoniae vaccine,206369,1991-04-01,1991.0,1994-03-31,1994,University of Guelph,grid.34429.38,Canada,Natural Sciences and Engineering Research Council,Canada,0,0,0
grant.2892553,152504,Liposome-cytokine formulations as vaccine delivery systems,59485,1996-04-01,1996.0,2000-03-31,2000,University of Saskatchewan,grid.25152.31,Canada,Natural Sciences and Engineering Research Council,Canada,0,0,0
grant.2875627,518456,Synthesis of cyclic oligonucleotide analogues as mucosal vaccine adjuvants,3654,2012-04-01,2012.0,2013-03-31,2013,Brock University,grid.411793.9,Canada,Natural Sciences and Engineering Research Council,Canada,0,0,0
grant.2874597,368324,Creating edible forage-based vaccines against bovine pneumonic pasteurellosis,408329,2004-04-01,2004.0,2008-03-31,2008,University of Guelph; Dow Agrosciences (Canada); Dow Agrosciences (Canada); Dow Agrosciences (Canada),grid.34429.38; grid.292666.f; grid.292666.f; grid.292666.f,Canada; Canada; Canada; Canada,Natural Sciences and Engineering Research Council,Canada,0,0,0
grant.2874082,429473,Novel Multi-Strain Vaccines against HIV-1,17520,2009-04-01,2009.0,2010-03-31,2010,Variation Biotechnologies (Canada),grid.438914.3,Canada,Natural Sciences and Engineering Research Council,Canada,0,0,0
grant.2857726,254432,Development of vaccine vector for human immunodeficiency virus,292,2003-04-01,2003.0,2004-03-31,2004,"University of California, San Francisco",grid.266102.1,United States,Natural Sciences and Engineering Research Council,Canada,0,0,0
grant.2853909,327282,Novel Multi-Strain Vaccines against HIV-1,8812,2006-04-01,2006.0,2007-03-31,2007,Variation Biotechnologies (Canada),grid.438914.3,Canada,Natural Sciences and Engineering Research Council,Canada,0,0,0
grant.2846899,492,Development of a bovine adenovirus vaccine vector,216848,1994-04-01,1994.0,1997-03-31,1997,University of Saskatchewan,grid.25152.31,Canada,Natural Sciences and Engineering Research Council,Canada,0,0,0
grant.2845378,369571,Novel Multi-Strain Vaccines against HIV-1,27926,2007-04-01,2007.0,2008-03-31,2008,Variation Biotechnologies (Canada),grid.438914.3,Canada,Natural Sciences and Engineering Research Council,Canada,0,0,0
grant.2835397,467118,In vitro qualification of a SPIO labeled vaccine,4090,2010-04-01,2010.0,2011-03-31,2011,Immunovaccine (Canada),grid.420938.4,Canada,Natural Sciences and Engineering Research Council,Canada,0,0,0
grant.2834880,470801,Evaluation of fowl adenovirus based recombinant vaccines for poultry,4363,2010-04-01,2010.0,2011-03-31,2011,University of Guelph,grid.34429.38,Canada,Natural Sciences and Engineering Research Council,Canada,0,0,0
grant.2821820,187874,Development of vaccine vector for human immunodeficiency virus,22598,2001-04-01,2001.0,2002-03-31,2002,"University of California, San Francisco",grid.266102.1,United States,Natural Sciences and Engineering Research Council,Canada,0,0,0
grant.2817654,328626,Development of Synthetic Glycoconjugate Vaccines for Active Tumor Immunotherapy,18511,2006-04-01,2006.0,2007-03-31,2007,University of Alberta,grid.17089.37,Canada,Natural Sciences and Engineering Research Council,Canada,0,0,0
grant.2807465,370582,Development of Synthetic Glycoconjugate Vaccines for Active Tumor Immunotherapy,19546,2007-04-01,2007.0,2008-03-31,2008,University of Alberta,grid.17089.37,Canada,Natural Sciences and Engineering Research Council,Canada,0,0,0
grant.2798941,502258,Optimization of vaccine production in algae using engineered bioreactors,17498,2012-04-01,2012.0,2013-03-31,2013,University of Calgary,grid.22072.35,Canada,Natural Sciences and Engineering Research Council,Canada,0,0,0
grant.2795749,467031,Développement d'un vaccin atténué contre la colibacillose aviaire,29109,2010-04-01,2010.0,2011-03-31,2011,,,,Natural Sciences and Engineering Research Council,Canada,0,0,0
grant.2791038,293470,The Effects of Chemotherapy on Gene-Based Cancer Vaccines,14442,2005-04-01,2005.0,2006-03-31,2006,McMaster University,grid.25073.33,Canada,Natural Sciences and Engineering Research Council,Canada,0,0,0
grant.2789593,487216,Développement d'un vaccin atténué contre la colibacillose aviaire,30328,2011-04-01,2011.0,2012-03-31,2012,,,,Natural Sciences and Engineering Research Council,Canada,0,0,0
grant.2722085,Z01RR010444,UPDATING COMPUTER FACILITIES FOR THE VACCINE LABORATORY,0,1994-01-01,1994.0,1994-12-31,1994,,,,National Center for Advancing Translational Sciences,United States,0,0,0
grant.2706159,Y1AI2642-11-0-1,HIV Vaccine Research and Development,22663000,2008-01-01,2008.0,2008-12-31,2008,,,,National Institute of Allergy and Infectious Diseases,United States,1,0,0
grant.2698714,U51IP000821,INTRODUCING THE USE OF SEASONAL INFLUENZA VACCINES,696000,2013-09-01,2013.0,2016-08-31,2016,,,,Centers for Disease Control and Prevention,United States,0,0,0
grant.2697537,U38IP522352,Enhanced surveillance for newly vaccine preventable disease,0,2002-09-30,2002.0,2007-09-29,2007,Cincinnati Children's Hospital Medical Center,grid.239573.9,United States,Centers for Disease Control and Prevention,United States,0,0,0
grant.2695257,U18FD004012,Discovery of Biological and Immunological Biomarkers for TB Vaccines,299525,2010-09-17,2010.0,2014-03-31,2014,Aeras,grid.432518.9,United States,United States Food and Drug Administration,United States,9,0,0
grant.2693731,U10CI923373,STUDYING THE MEASLES INFECTIONS &DEVELOPMENT OF MEASLES VACCINES,0,2003-09-30,2003.0,2007-09-29,2007,"University of California, Davis",grid.27860.3b,United States,Centers for Disease Control and Prevention,United States,0,0,0
grant.2690783,U01FD004575,Innovations in Vaccine Clinical Trials and Pharmacovigilance,1492900,2012-09-05,2012.0,2017-08-31,2017,World Health Organization,grid.3575.4,Switzerland,United States Food and Drug Administration,United States,3,0,0
grant.2690760,U01FD004248,SUPPORTING INFLUENZA VACCINE INTRODUCTION IN LOW-MIDDLE INCOME COUNTRIES,1373500,2011-09-15,2011.0,2017-08-31,2017,World Health Organization,grid.3575.4,Switzerland,United States Food and Drug Administration,United States,0,0,0
grant.2687365,U01AI037543,EPITOPE POLYMORPHISM IN P FALCIPARUM VACCINE ANIGENS,0,1994-08-23,1994.0,1997-01-31,1997,Emory University,grid.189967.8,United States,National Institute of Allergy and Infectious Diseases,United States,2,0,0
grant.2687364,U01AI037542,DESIGN AND IMMUNE MECHANISMS OF P FALCIPARUM CS VACCINE,0,1994-07-01,1994.0,1997-06-30,1997,New York University,grid.137628.9,United States,National Institute of Allergy and Infectious Diseases,United States,1,0,0
