inventor_names,times_cited,granted_year,year,filing_status,associated_grant_ids,assignees,assignee_names,publication_date,id,title
"['Ralph C. Judd', 'D. Scott Manning']",,,2010,Application,['grant.2590181'],"[{'id': 'grid.253613.0', 'acronym': 'UM', 'name': 'University of Montana', 'country_name': 'United States'}, {'id': 'grid.297878.b', 'acronym': 'MUS', 'name': 'University of Montana System', 'country_name': 'United States'}]","['University of Montana', 'UNIV MONTANA']",2010-10-28,US-20100272744-A1,"OMP85 Proteins of Neisseria Gonorrhoeae and Neisseria Meningitidis, Compositions Containing Same and Methods of Use Thereof"
['Maurizio Zanetti'],3.0,,2006,Application,"['grant.2687357', 'grant.2434943']",,"['Nevagen', 'ZANETTI MAURIZIO']",2007-05-24,US-20070117774-A1,Somatic transgene immunization and related methods
"['William R. Jacobs, Jr.', 'Kari Sweeney', 'Dee Dao', 'Steven A. Porcelli', 'John Chan', 'Tsungda Hsu']",1.0,2013.0,2008,Grant,"['grant.2435154', 'grant.2435096', 'grant.2451389']","[{'id': 'grid.251993.5', 'acronym': 'AECOM', 'name': 'Albert Einstein College of Medicine', 'country_name': 'United States'}]","['Albert Einstein College of Medicine', 'JACOBS JR WILLIAM R', 'SWEENEY KARI', 'DAO DEE', 'PORCELLI STEVEN A', 'CHAN JOHN', 'HSU TSUNGDA', 'EINSTEIN COLL MED']",2013-11-26,US-8591918-B2,Mycobacterial mutants inducing IL-12
"['Barton F. Haynes', 'Heather Desaire', 'Eden P. Go']",,,2014,Application,['grant.2435096'],"[{'id': 'grid.266515.3', 'acronym': 'KU', 'name': 'University of Kansas', 'country_name': 'United States'}, {'id': 'grid.26009.3d', 'name': 'Duke University', 'country_name': 'United States'}]","['University of Kansas', 'Duke University', 'UNIV DUKE', 'UNIV KANSAS']",2015-02-19,US-20150050309-A1,VACCINE
"['John H. Kenten', 'Alfonso Tramontano', 'Aprile L. Pilon', 'Gerald L. Lohnas', 'Steven F. Roberts']",,2010.0,2003,Grant,['grant.2640346'],,"['Wellstat BioCatalysis LLC', 'WELLSTAT BIOCATALYSIS LLC']",2010-02-16,US-7662642-B2,Method for detection of specific antibodies using ubiquitin fusion proteins
"['Richard J. Whitley', 'James MacDowell Markert', 'George Yancey Gillespie', 'Jacqueline Ness Parker']",12.0,2004.0,2002,Grant,"['grant.2434876', 'grant.2435668', 'grant.2424802']","[{'id': 'grid.265892.2', 'acronym': 'UAB', 'name': 'University of Alabama at Birmingham', 'country_name': 'United States'}]","['University of Alabama at Birmingham Research Foundation', 'UAB RESEARCH FOUNDATION']",2004-07-20,US-6764675-B1,Herpes simplex virus expressing foreign genes and method for treating cancers therewith
"['Jan zur Megede', 'Susan Barnett']",23.0,2007.0,2002,Grant,['grant.2424402'],"[{'id': 'grid.418424.f', 'acronym': 'NPC', 'name': 'Novartis (United States)', 'country_name': 'United States'}, {'id': 'grid.11956.3a', 'acronym': 'SU', 'name': 'Stellenbosch University', 'country_name': 'South Africa'}]","['Novartis Vaccines and Diagnostics Inc', 'Stellenbosch University', 'CHIRON CORP']",2007-05-01,US-7211659-B2,"Polynucleotides encoding antigenic HIV type C polypeptides, polypeptides and uses thereof"
"['Bernard Roizman', 'Joany Chou']",27.0,1998.0,1995,Grant,"['grant.2632961', 'grant.2434876']","[{'id': 'grid.480031.e', 'name': 'ARCH Development Corporation', 'country_name': 'United States'}]","['ARCH DEVELOPMENT Corp AN ILLINOIS CORP', 'Arch Development Corp', 'ARCH DEV CORP']",1998-11-10,US-5834216-A,Screening methods for the identification of inducers and inhibitors of programmed cell death (apoptosis)
"['Jan zur Megede', 'Susan W. Barnett']",,2012.0,2009,Grant,['grant.2424402'],"[{'id': 'grid.418424.f', 'acronym': 'NPC', 'name': 'Novartis (United States)', 'country_name': 'United States'}]","['Novartis Vaccines and Diagnostics Inc', 'MEGEDE JAN ZUR', 'BARNETT SUSAN W', 'NOVARTIS VACCINES & DIAGNOSTIC']",2012-05-08,US-8173137-B2,Polycistronic HIV vector constructs
"['John Eldridge', 'Zimra R. Israel', 'Michael A. Egan', 'Stephen A. Udem']",2.0,,2012,Application,"['grant.2424403', 'grant.2424512']","[{'id': 'grid.410513.2', 'acronym': 'Pfizer', 'name': 'Pfizer (United States)', 'country_name': 'United States'}]","['Wyeth LLC', 'ELDRIDGE JOHN', 'ISRAEL ZIMRA R', 'EGAN MICHAEL A', 'UDEM STEPHEN A', 'WYETH LLC']",2012-09-27,US-20120244113-A1,IMMUNOGENIC COMPOSITION AND METHODS
"['Kerstin Wunderlich', 'Jerôme H.H.V. Custers', 'Jort Vellinga', 'Barbara Petronella Sanders']",,,2016,Application,['grant.2346748'],"[{'id': 'grid.497529.4', 'name': 'Janssen (Netherlands)', 'country_name': 'Netherlands'}]","['Janssen Vaccines and Prevention BV', 'JANSSEN VACCINES & PREVENTION BV']",2018-05-17,US-20180135075-A1,RECOMBINANT ADENOVIRUS EXPRESSING TWO TRANSGENES WITH A BIDIRECTIONAL PROMOTER
"['William C. Olson', 'Paul J. Maddon', 'Michael Franti', 'Sai Prasad N. Iyer', 'Sofija Andjelic', 'John P. Moore', 'Simon Beddows']",2.0,,2007,Application,"['grant.2454590', 'grant.2424537', 'grant.2453025']","[{'id': 'grid.280766.d', 'name': 'Progenics Pharmaceuticals (United States)', 'country_name': 'United States'}, {'id': 'grid.5386.8', 'acronym': 'CU', 'name': 'Cornell University', 'country_name': 'United States'}]","['Cornell Research Foundation Inc', 'Progenics Pharmaceuticals Inc', 'OLSON WILLIAM C', 'MADDON PAUL J', 'FRANTI MICHAEL', 'IYER SAI PRASAD N', 'ANDJELIC SOFIJA', 'MOORE JOHN P', 'BEDDOWS SIMON']",2011-03-31,US-20110076298-A1,Soluble stabilized trimeric hiv env proteins and uses thereof
['Maurizio Zanetti'],3.0,2007.0,1999,Grant,"['grant.2434943', 'grant.2687357']",,"['Nevagen LLC', 'NEVAGEN LLC']",2007-10-09,US-7279462-B1,Somatic transgene immunization and related methods
"['Richard J. Whitley', 'James MacDowell Markert', 'George Yancey Gillespie', 'Jacqueline Nuss Parker']",5.0,2013.0,2008,Grant,"['grant.2424802', 'grant.2434876', 'grant.2435668']","[{'id': 'grid.265892.2', 'acronym': 'UAB', 'name': 'University of Alabama at Birmingham', 'country_name': 'United States'}]","['University of Alabama at Birmingham Research Foundation', 'WHITLEY RICHARD J', 'MARKERT JAMES MACDOWELL', 'GILLESPIE GEORGE YANCEY', 'PARKER JACQUELINE NUSS', 'UAB RESEARCH FOUNDATION']",2013-04-16,US-8420071-B2,Herpes simplex virus expressing foreign genes and method for treating cancers therewith
['Anna Aldovini'],10.0,2006.0,2001,Grant,"['grant.2453751', 'grant.2424954', 'grant.2427747', 'grant.2421695']","[{'id': 'grid.414196.f', 'name': ""Children's Medical Center"", 'country_name': 'United States'}, {'id': 'grid.2515.3', 'name': ""Boston Children's Hospital"", 'country_name': 'United States'}, {'id': 'grid.414197.e', 'name': ""Dayton Children's Hospital"", 'country_name': 'United States'}]","['Children s Medical Center Corp', 'CHILDRENS MEDICAL CENTER']",2006-10-17,US-7122180-B2,DNA vectors containing mutated HIV proviruses
"['Richard J. Whitley', 'James MacDowell Markert', 'George Yancey Gillespie', 'Jacqueline Nuess Parker']",4.0,,2008,Application,"['grant.2434876', 'grant.2435668', 'grant.2424802']","[{'id': 'grid.94365.3d', 'acronym': 'NIH', 'name': 'National Institutes of Health', 'country_name': 'United States'}]","['NATIONAL INSTITUTES OF HEALTH-DIRECTOR DEITR', 'WHITLEY RICHARD J', 'MARKERT JAMES MACDOWELL', 'GILLESPIE GEORGE YANCEY', 'PARKER JACQUELINE NUESS']",2009-07-23,US-20090186003-A1,HERPES SIMPLEX VIRUS EXPRESSING FOREIGN GENES AND METHOD FOR TREATING CANCERS THEREWITH
"['Antu K. Dey', 'John P. Moore', 'William C. Olson', 'Sai Prasad N. Iyer', 'Yun (Kenneth) Kang', 'Michael Franti']",24.0,2011.0,2007,Grant,"['grant.2424537', 'grant.2453025', 'grant.2454590']","[{'id': 'grid.5386.8', 'acronym': 'CU', 'name': 'Cornell University', 'country_name': 'United States'}, {'id': 'grid.280766.d', 'name': 'Progenics Pharmaceuticals (United States)', 'country_name': 'United States'}]","['Cornell Research Foundation Inc', 'Progenics Pharmaceuticals Inc', 'PROGENICS PHARM INC']",2011-05-10,US-7939083-B2,"Soluble, stabilized, proteolytically cleaved, trimeric HIV-1 gp140 proteins comprising modifications in the N-terminus of the gp41 ectodomain"
"['Jan zur Megede', 'Susan Barnett', 'Ying Lian']",,,2007,Application,['grant.2424402'],"[{'id': 'grid.418424.f', 'acronym': 'NPC', 'name': 'Novartis (United States)', 'country_name': 'United States'}]","['Novartis Vaccines and Diagnostics Inc', 'NOVARTIS VACCINES & DIAGNOSTIC']",2008-04-24,US-20080095833-A1,"POLYNUCLEOTIDES ENCODING ANTIGENIC HIV TYPE B POLYPEPTIDES, POLYPEPTIDES, AND USES THEREOF"
['Maurizio Zanetti'],,,2007,Application,"['grant.2687357', 'grant.2434943']",,['ZANETTI MAURIZIO'],2009-09-24,US-20090238839-A1,Somatic Transgene Immunization and Related Methods
"['Antu K. Dey', 'John P. Moore', 'William C. Olson', 'Sai Prasad N. Iyer', 'Yun (Kenneth) Kang', 'Michael Franti']",9.0,,2011,Application,"['grant.2424537', 'grant.2453025', 'grant.2454590']","[{'id': 'grid.280766.d', 'name': 'Progenics Pharmaceuticals (United States)', 'country_name': 'United States'}]","['Progenics Pharmaceuticals Inc', 'PROGENICS PHARMACEUTICAL INC AND CORNELL RES FOUNDATION INC']",2011-10-13,US-20110250220-A1,"MODIFIED GP140 ENVELOPE POLYPEPTIDES OF HIV-1 ISOLATES, COMPOSITIONS, STABILIZED TRIMERIC COMPLEXES, AND USES THEREOF"
['Maurizio Zanetti'],1.0,2013.0,2006,Grant,"['grant.2687357', 'grant.2434943']",,"['Nevagen', 'NEVAGEN LLC', 'ZANETTI MAURIZIO']",2013-02-12,US-8372640-B2,Somatic transgene immunization and related methods
"['Bernard Roizman', 'Joany Chou']",17.0,2002.0,1999,Grant,['grant.2434876'],"[{'id': 'grid.480031.e', 'name': 'ARCH Development Corporation', 'country_name': 'United States'}]","['Arch Development Corp', 'ARCH DEV CORP']",2002-01-22,US-6340673-B1,Method of treating tumorigenic disease
"['John H. Kenten', 'Alfonso Tramontano', 'Aprile L. Pilon', 'Gerald L. Lohnas', 'Steven F. Roberts']",12.0,2001.0,1998,Grant,['grant.2640346'],,"['Wellstat BioCatalysis LLC', 'PROTEINIX COMPANY']",2001-11-20,US-6319503-B1,Heat shock fusion-based vaccine system
['Anna Aldovini'],23.0,,2001,Application,"['grant.2424954', 'grant.2453751', 'grant.2421695', 'grant.2427747']","[{'id': 'grid.2515.3', 'name': ""Boston Children's Hospital"", 'country_name': 'United States'}]","['Children s Medical Center Corp', 'ALDOVINI ANNA']",2003-08-21,US-20030158131-A1,DNA vectors containing mutated HIV proviruses
"['Jürgen B. Walter', 'David N. Garboczi']",82.0,2001.0,1997,Grant,"['grant.2424636', 'grant.2471629', 'grant.2452742', 'grant.7137509', 'grant.2451779']","[{'id': 'grid.38142.3c', 'name': 'Harvard University', 'country_name': 'United States'}]","['GARBOCZI DAVID', 'UNIV HARVARD']",2001-06-19,US-6248564-B1,Mutant MHC class I molecules
"['Benoit Christophe Stephan CALLENDRET', 'Ramon ROOZENDAAL', 'Jutta Sytske HARTKOORN-PASMA', 'Ariane VOLKMANN', 'Robin Steigerwald', 'Ulrike Dirmeier']",,,2017,Application,['grant.2346748'],"[{'id': 'grid.497529.4', 'name': 'Janssen (Netherlands)', 'country_name': 'Netherlands'}, {'id': 'grid.481585.5', 'name': 'Bavarian Nordic (Denmark)', 'country_name': 'Denmark'}]","['Bavarian Nordic AS', 'Janssen Vaccines and Prevention BV', 'JANSSEN VACCINES & PREVENTION BV', 'BAVARIAN NORDIC AS']",2019-07-25,US-20190224301-A1,METHODS AND COMPOSITIONS FOR INDUCING PROTECTIVE IMMUNITY AGAINST A MARBURG VIRUS INFECTION
"['John Donnelly', 'Susan W. Barnett', ""Derek O'Hagan""]",4.0,,2009,Application,['grant.2424402'],"[{'id': 'grid.418424.f', 'acronym': 'NPC', 'name': 'Novartis (United States)', 'country_name': 'United States'}]","['Novartis Vaccines and Diagnostics Inc', 'DONNELLY JOHN', 'BARNETT SUSAN W', ""O'HAGAN DEREK""]",2009-09-24,US-20090238841-A1,HIV VACCINE FORMULATIONS
"['John T. Belisle', 'Mark J. Sartain', 'Suman Laal']",6.0,2010.0,2007,Grant,"['grant.2456377', 'grant.2424889']","[{'id': 'grid.47894.36', 'acronym': 'CSU', 'name': 'Colorado State University', 'country_name': 'United States'}, {'id': 'grid.137628.9', 'acronym': 'NYU', 'name': 'New York University', 'country_name': 'United States'}]","['Colorado State University Research Foundation', 'New York University', 'UNIV COLORADO STATE RES FOUND', 'UNIV NEW YORK']",2010-08-17,US-7776341-B2,Biomarkers of tuberculosis that distinguish disease categories: use as serodiagnostic antigens
"['Hunein F. Maassab', 'Martha Louise Herlocher']",29.0,2008.0,1995,Grant,"['grant.2424679', 'grant.2424360', 'grant.2450225', 'grant.2438833', 'grant.2697621']","[{'id': 'grid.214458.e', 'acronym': 'UM', 'name': 'University of Michigan', 'country_name': 'United States'}]","['University of Michigan', 'UNIV MICHIGAN']",2008-03-18,US-7344722-B1,Cold-adapted influenza virus
"['John Donnelly', 'Susan W. Barnett', ""Derek O'Hagan""]",1.0,,2011,Application,['grant.2424402'],"[{'id': 'grid.425090.a', 'acronym': 'GSK', 'name': 'GlaxoSmithKline (Belgium)', 'country_name': 'Belgium'}]","['GlaxoSmithKline Biologicals SA', 'DONNELLY JOHN', 'BARNETT SUSAN W', ""O'HAGAN DEREK""]",2012-08-16,US-20120207783-A1,HIV VACCINE FORMULATIONS
"['Vijay John', 'Srinivasa Raghavan', 'Rubo ZHENG']",3.0,,2013,Application,['grant.7132354'],"[{'id': 'grid.265219.b', 'name': 'Tulane University', 'country_name': 'United States'}]","['Administrators of the Tulane Educational Fund', 'OF THE TULANE EDUCATIONAL FUND THE ADMINISTRATORS', 'UNIV TULANE']",2014-01-16,US-20140017298-A1,BIOPOLYMER HOOKS TO CREATE COATINGS ON LIPOSOMES
"['David B. Weiner', 'Karuppiah Muthumani', 'Niranjan Sardesai', 'Seleeke Flingai']",,2018.0,2013,Grant,"['grant.2346798', 'grant.2438704']","[{'id': 'grid.25879.31', 'name': 'University of Pennsylvania', 'country_name': 'United States'}, {'id': 'grid.29857.31', 'acronym': 'PSU', 'name': 'Pennsylvania State University', 'country_name': 'United States'}]","['University of Pennsylvania', 'UNIV PENNSYLVANIA']",2018-06-12,US-9994629-B2,Compositions and methods for generating a synthetic antibody
"['Sang-Moo Kang', 'YU-NA LEE', 'Min-Chul Kim']",,,2015,Application,"['grant.4055555', 'grant.2459886']","[{'id': 'grid.256304.6', 'acronym': 'GSU', 'name': 'Georgia State University', 'country_name': 'United States'}]","['Georgia State University Research Foundation Inc', 'GEORGIA STATE UNIV RESEARCH FOUNDATION INC']",2017-12-28,US-20170368165-A1,RECOMBINANT INFLUENZA VIRUS VACCINES FOR INFLUENZA AND RESPIRATORY SYNCYTIAL VIRUS
"['Scott Balsitis', 'Luis Brito', 'Peter Mason']",,,2011,Application,['grant.2425472'],"[{'id': 'grid.418424.f', 'acronym': 'NPC', 'name': 'Novartis (United States)', 'country_name': 'United States'}]","['Novartis Vaccines and Diagnostics Inc', 'BALSITIS SCOTT', 'BRITO LUIS', 'MASON PETER']",2013-08-08,US-20130203151-A1,PRODUCTION OF ALPHAVIRUS REPLICON PARTICLES IN PACKAGING CELLS
"['Richard A. Weltzin', 'Thomas P. Monath']",3.0,2010.0,2004,Grant,['grant.2424335'],"[{'id': 'grid.417555.7', 'acronym': 'Sanofi', 'name': 'Sanofi (United States)', 'country_name': 'United States'}]","['Emergent Product Development Gaithersburg Inc', 'SANOFI PASTEUR BIOLOGICS CO']",2010-01-12,US-7645456-B2,Vaccinia virus strains
"['Susan Barnett', 'Kaustuv Bannerjee', 'Gillis Otten', 'Andrew Geall']",1.0,,2013,Application,"['grant.2435160', 'grant.2425472']","[{'id': 'grid.418424.f', 'acronym': 'NPC', 'name': 'Novartis (United States)', 'country_name': 'United States'}, {'id': 'grid.419481.1', 'name': 'Novartis (Switzerland)', 'country_name': 'Switzerland'}, {'id': 'grid.425090.a', 'acronym': 'GSK', 'name': 'GlaxoSmithKline (Belgium)', 'country_name': 'Belgium'}]","['GlaxoSmithKline Biologicals SA', 'Novartis Vaccines and Diagnostics Inc', 'NOVARTIS AG']",2015-05-21,US-20150140068-A1,IMMUNOGENIC COMPOSITIONS AND USES THEREOF
"['Yichen Lu', 'Huyen Cao']",9.0,,2010,Application,['grant.2455014'],"[{'id': 'grid.38142.3c', 'name': 'Harvard University', 'country_name': 'United States'}, {'id': 'grid.32224.35', 'acronym': 'MGH', 'name': 'Massachusetts General Hospital', 'country_name': 'United States'}]","['Harvard College', 'General Hospital Corp', 'HARVARD COLLEGE', 'GEN HOSPITAL CORP']",2010-12-09,US-20100311105-A1,METHODS OF DELIVERY OF EXOGENOUS PROTEINS TO THE CYTOSOL AND USES THEREOF
"['Yichen Lu', 'Huyen Cao']",,2012.0,2010,Grant,['grant.2455014'],"[{'id': 'grid.32224.35', 'acronym': 'MGH', 'name': 'Massachusetts General Hospital', 'country_name': 'United States'}, {'id': 'grid.38142.3c', 'name': 'Harvard University', 'country_name': 'United States'}]","['Harvard College', 'General Hospital Corp', 'LU YICHEN', 'CAO HUYEN', 'GEN HOSPITAL CORP', 'HARVARD COLLEGE']",2012-12-18,US-8333953-B2,Methods of delivery of exogenous proteins to the cytosol and uses thereof
"['Yichen Lu', 'Huyen Cao']",8.0,,2004,Application,['grant.2455014'],"[{'id': 'grid.32224.35', 'acronym': 'MGH', 'name': 'Massachusetts General Hospital', 'country_name': 'United States'}, {'id': 'grid.38142.3c', 'name': 'Harvard University', 'country_name': 'United States'}]","['Harvard College', 'General Hospital Corp', 'LU YICHEN', 'CAO HUYEN']",2005-10-06,US-20050220807-A1,Methods of delivery of exogenous proteins to the cytosol and uses thereof
"['Yichen Lu', 'Huyen Cao']",,2010.0,2004,Grant,['grant.2455014'],"[{'id': 'grid.32224.35', 'acronym': 'MGH', 'name': 'Massachusetts General Hospital', 'country_name': 'United States'}, {'id': 'grid.38142.3c', 'name': 'Harvard University', 'country_name': 'United States'}]","['Harvard College', 'General Hospital Corp', 'HARVARD COLLEGE', 'GEN HOSPITAL CORP']",2010-07-13,US-7754219-B2,Methods of delivery of exogenous proteins to the cytosol and uses thereof
"['David B. Weiner', 'Karuppiah Muthumani', 'Niranjan Sardesai', 'Seleeke Flingai']",9.0,,2013,Application,"['grant.2346798', 'grant.2438704']","[{'id': 'grid.25879.31', 'name': 'University of Pennsylvania', 'country_name': 'United States'}, {'id': 'grid.29857.31', 'acronym': 'PSU', 'name': 'Pennsylvania State University', 'country_name': 'United States'}, {'id': 'grid.421774.3', 'name': 'Inovio Pharmaceuticals (United States)', 'country_name': 'United States'}]","['University of Pennsylvania', 'Inovio Pharmaceuticals Inc', 'UNIV PENNSYLVANIA', 'INOVIO PHARMACEUTICALS INC']",2015-10-08,US-20150284448-A1,DNA ANTIBODY CONSTRUCTS AND METHOD OF USING SAME
['Adel M. Talaat'],,2018.0,2015,Grant,['grant.3810813'],"[{'id': 'grid.453773.1', 'acronym': 'WARF', 'name': 'Wisconsin Alumni Research Foundation', 'country_name': 'United States'}]","['Wisconsin Alumni Research Foundation', 'WISCONSIN ALUMNI RES FOUND']",2018-08-21,US-10054586-B2,Biomarkers for early diagnosis and differentiation of mycobacterial infection
['Adel M. Talaat'],,,2015,Application,['grant.3810813'],"[{'id': 'grid.453773.1', 'acronym': 'WARF', 'name': 'Wisconsin Alumni Research Foundation', 'country_name': 'United States'}]","['Wisconsin Alumni Research Foundation', 'WISCONSIN ALUMNI RES FOUND']",2016-05-05,US-20160123979-A1,BIOMARKERS FOR EARLY DIAGNOSIS AND DIFFERENTIATION OF MYCOBACTERIAL INFECTION
['Adel M. Talaat'],,,2018,Application,['grant.3810813'],"[{'id': 'grid.453773.1', 'acronym': 'WARF', 'name': 'Wisconsin Alumni Research Foundation', 'country_name': 'United States'}]","['Wisconsin Alumni Research Foundation', 'WISCONSIN ALUMNI RES FOUND']",2018-11-01,US-20180313832-A1,BIOMARKERS FOR EARLY DIAGNOSIS AND DIFFERENTIATION OF MYCOBACTERIAL INFECTION
"['Nobuyuki Matoba', 'Krystal Hamorsky']",,,2018,Application,['grant.7132231'],"[{'id': 'grid.266623.5', 'name': 'University of Louisville', 'country_name': 'United States'}]","['University of Louisville Research Foundation (ULRF)', 'UNIV LOUISVILLE RES FOUND INC']",2019-03-21,US-20190085036-A1,Polypeptides Having Immunoactivating Activity And Methods Of Producing The Same
"['Nobuyuki Matoba', 'Adam Husk']",,2018.0,2014,Grant,['grant.7132151'],"[{'id': 'grid.266623.5', 'name': 'University of Louisville', 'country_name': 'United States'}]","['University of Louisville Research Foundation (ULRF)', 'UNIV LOUISVILLE RES FOUND INC']",2018-09-04,US-10066238-B2,Methods for producing antibodies
"['Kenneth E. Palmer', 'Nobuyuki Matoba', 'Joshua Fuqua']",,,2014,Application,['grant.7132231'],"[{'id': 'grid.266623.5', 'name': 'University of Louisville', 'country_name': 'United States'}]","['University of Louisville Research Foundation (ULRF)', 'UNIV LOUISVILLE RES FOUND']",2016-06-23,US-20160175426-A1,"COMPOSITIONS FOR MUCUSAL DELIVERY, USEFUL FOR TREATING PAPILLOMAVIRUS INFECTIONS"
"['Nobuyuki Matoba', 'Adam Husk']",,,2014,Application,['grant.7132151'],"[{'id': 'grid.266623.5', 'name': 'University of Louisville', 'country_name': 'United States'}]","['University of Louisville Research Foundation (ULRF)', 'UNIV LOUISVILLE RES FOUND']",2015-12-24,US-20150368661-A1,METHODS FOR PRODUCING ANTIBODIES
"['Nobuyuki Matoba', 'Krystal Hamorsky']",3.0,,2012,Application,['grant.7132231'],"[{'id': 'grid.266623.5', 'name': 'University of Louisville', 'country_name': 'United States'}]","['University of Louisville Research Foundation (ULRF)', 'MATOBA NOBUYUKI', 'HAMORSKY KRYSTAL', 'UNIV LOUISVILLE RES FOUND']",2014-09-25,US-20140286986-A1,POLYPEPTIDES HAVING IMMUNOACTIVATING ACTIVITY AND METHODS OF PRODUCING THE SAME
"['Nobuyuki Matoba', 'Keegan BALDAUF', 'Joshua ROYAL']",,,2016,Application,['grant.7132231'],"[{'id': 'grid.266623.5', 'name': 'University of Louisville', 'country_name': 'United States'}]","['University of Louisville Research Foundation (ULRF)', 'UNIV LOUISVILLE RES FOUND INC']",2019-04-18,US-20190111123-A1,COMPOSITIONS AND METHODS FOR TREATING CANCER AND PROMOTING WOUND HEALING
['Adel M. Talaat'],,,2018,Application,['grant.3810813'],"[{'id': 'grid.453773.1', 'acronym': 'WARF', 'name': 'Wisconsin Alumni Research Foundation', 'country_name': 'United States'}]","['Wisconsin Alumni Research Foundation', 'WISCONSIN ALUMNI RES FOUND']",2018-11-01,US-20180313831-A1,BIOMARKERS FOR EARLY DIAGNOSIS AND DIFFERENTIATION OF MYCOBACTERIAL INFECTION
"['Michael R. Yeaman', 'John E. Edwards, Jr.', 'Scott G. Filler', 'Ashraf S. Ibrahim', 'Yue Fu', 'John P. Hennessey, Jr.']",1.0,,2012,Application,['grant.7132355'],"[{'id': 'grid.239844.0', 'name': 'Harbor–UCLA Medical Center', 'country_name': 'United States'}, {'id': 'grid.19006.3e', 'acronym': 'UCLA', 'name': 'University of California Los Angeles', 'country_name': 'United States'}, {'id': 'grid.422883.7', 'name': 'NovaDigm Therapeutics (United States)', 'country_name': 'United States'}]","['NOVADIGM THERAPEUTICS Inc', 'Harbor Ucla Medical Center', 'YEAMAN MICHAEL R', 'EDWARDS JR JOHN E', 'FILLER SCOTT G', 'IBRAHIM ASHRAF S', 'FU YUE', 'HENNESSEY JR JOHN P', 'LOS ANGELES BIOMED RES INST', 'NOVADIGM THERAPEUTICS INC']",2015-10-01,US-20150273031-A1,METHODS AND COMPOSITIONS FOR VACCINATING AGAINST STAPHYLOCOCCUS AUREUS
"['Nobuyuki Matoba', 'Krystal Hamorsky']",,2018.0,2012,Grant,['grant.7132231'],"[{'id': 'grid.266623.5', 'name': 'University of Louisville', 'country_name': 'United States'}]","['University of Louisville Research Foundation (ULRF)', 'MATOBA NOBUYUKI', 'HAMORSKY KRYSTAL', 'UNIV LOUISVILLE RES FOUND INC']",2018-12-25,US-10160789-B2,Polypeptides having immunoactivating activity and methods of producing the same
"['Ronald G. Crystal', 'Jonathan B. Rosenberg', 'Bishnu P. De', 'Martin J. Hicks', 'Stephen M. Kaminsky']",,2018.0,2013,Grant,"['grant.2669275', 'grant.2486616']","[{'id': 'grid.5386.8', 'acronym': 'CU', 'name': 'Cornell University', 'country_name': 'United States'}]","['Cornell University', 'UNIV CORNELL']",2018-06-26,US-10004811-B2,Development of a highly efficient second generation nicotine-conjugate vaccine to treat nicotine addiction
"['Stephen C. Harrison', 'Bing Chen', 'Dan C. Barouch', 'Joseph P. Nkolola', 'Michael Scott Seaman']",18.0,,2011,Application,"['grant.2695832', 'grant.2457315', 'grant.2456583', 'grant.2458792', 'grant.2695783']","[{'id': 'grid.2515.3', 'name': ""Boston Children's Hospital"", 'country_name': 'United States'}, {'id': 'grid.239395.7', 'acronym': 'BIDMC', 'name': 'Beth Israel Deaconess Medical Center', 'country_name': 'United States'}, {'id': 'grid.414197.e', 'name': ""Dayton Children's Hospital"", 'country_name': 'United States'}, {'id': 'grid.414196.f', 'name': ""Children's Medical Center"", 'country_name': 'United States'}]","['Children s Medical Center Corp', 'Beth Israel Deaconess Medical Center Inc', 'HARRISON STEPHEN C', 'CHEN BING', 'BAROUCH DAN C', 'NKOLOLA JOSEPH P', 'SEAMAN MICHAEL SCOTT', 'BETH ISRAEL HOSPITAL', 'CHILDRENS MEDICAL CENTER']",2012-02-23,US-20120045472-A1,Biochemically Stabilized HIV-1 ENV Trimer Vaccine
"['Stephen C. Harrison', 'Bing Chen', 'Dan C. Barouch', 'Joseph P. Nkolola', 'Michael Scott Seaman']",,2017.0,2011,Grant,"['grant.2695783', 'grant.2456583', 'grant.2458792', 'grant.2457315', 'grant.2695832']","[{'id': 'grid.2515.3', 'name': ""Boston Children's Hospital"", 'country_name': 'United States'}, {'id': 'grid.239395.7', 'acronym': 'BIDMC', 'name': 'Beth Israel Deaconess Medical Center', 'country_name': 'United States'}, {'id': 'grid.94365.3d', 'acronym': 'NIH', 'name': 'National Institutes of Health', 'country_name': 'United States'}, {'id': 'grid.48336.3a', 'acronym': 'NCI', 'name': 'National Cancer Institute', 'country_name': 'United States'}]","['National Institutes Of Health (nih) United States, Department Of Health And Human Services (dhhs)', 'Children s Medical Center Corp', 'Beth Israel Deaconess Medical Center Inc', 'HARRISON STEPHEN C', 'CHEN BING', 'BAROUCH DAN C', 'NKOLOLA JOSEPH P', 'SEAMAN MICHAEL SCOTT', ""CHILDREN'S MEDICAL CENTER CORP"", 'NAT INST OF HEALTH (NIH) THE UNITED STATES OF AMERICA DEPT OF HEALTH AND HUMAN SERVICES (DHHS)']",2017-07-18,US-9707289-B2,Biochemically stabilized HIV-1 ENV trimer vaccine
