Grant Number,Title,Funding Amount in USD,Start Year,End Year,Funder,Funder Country
R01HD060338,Effect of a sanitation & nutrition intervention on HIV-exposed infant health,2005228,2008,2014,National Institute of Child Health and Human Development,United States
R21CA132279,EBV-Specific T-Cell Therapy for Nasopharynx Cancer: Immunomodulation and Response,759710,2008,2012,National Cancer Institute,United States
R01DA025223,Multisite Controlled Trial of Cocaine Vaccine (1of 6) Lead Site/ Houston Treatmen,1677185,2008,2015,National Institute on Drug Abuse,United States
R21CA128232,Therapeutic HPV vaccination for stage IB1 cervical cancer,582462,2008,2012,National Cancer Institute,United States
R01CA135272,RNA-based Immunotherapy Targeting Antigens Unique to Brain Tumor Stem Cells,2349699,2008,2013,National Cancer Institute,United States
R01CA129517,Adoptive T Cell Therapy for the Treatment of HER2 Overexpressing Cancers,2236359,2008,2013,National Cancer Institute,United States
U18IP000184,"Annual Estimates of Influenza Vaccine Effectiveness:  Davidson County, TN",2950681,2008,2012,Centers for Disease Control and Prevention,United States
R21DA024388,Nicotine Vaccine &Nicotine Occupancy of Brain Nicotinic Receptors,351268,2008,2011,National Institute on Drug Abuse,United States
R21CA123864,Clinical Trial of DRibble Vaccine in NSCLC,653850,2008,2011,National Cancer Institute,United States
R01HL086488,Development of a P. vivax immunization and sporozoite challenge model for human,1237748,2008,2014,National Heart Lung and Blood Institute,United States
UL1RR025744,Stanford Center for Clinical and Translational Education and Research (SCCTER)UL1,22403116,2008,2013,National Center for Advancing Translational Sciences,United States
UL1RR025777,UAB Center for Clinical and Translational Science (CCTS) UL1,22323402,2008,2013,National Center for Advancing Translational Sciences,United States
U01CA132194,Early Clinical Trials of New Anti-Cancer Agents with Phase I Emphasis (U01),1607939,2008,2014,National Cancer Institute,United States
R21DA023521,An Arts Intervention for Drug-Using Homeless Youth,423500,2008,2011,National Institute on Drug Abuse,United States
R21CA132891,Effect on IL-2R Antibody on Regulatory T-cells in Patients with Malignant Gliomas,464100,2008,2009,National Cancer Institute,United States
U01IP000127,"EFFICACY OF OSELTAMIVIR IN REDUCING DURATION OF ILLNESS, VIRAL SHEDDING &TRANSIS",1428220,2007,2011,Centers for Disease Control and Prevention,United States
U01IP000129,Evaluation of vaccination reminder/recall systems for adolescent patients,95343,2007,2010,Centers for Disease Control and Prevention,United States
U54MD002316,Leveraging Bio-Cultural Mechanisms to Maximize the Impact of Multi-Level Preventable Disease Interventions with Southwest Populations,5652227,2007,2022,National Institute on Minority Health and Health Disparities,United States
P50DE019032,Spore in Head and Neck Cancer,27095948,2007,2019,National Institute of Dental and Craniofacial Research,United States
UL1RR024982,North and Central Texas Clinical and Translational Science Initiative (UL1),27945448,2007,2012,National Center for Advancing Translational Sciences,United States
UL1RR025008,Atlanta Clinical and Translational Science Institute (UL1),28984820,2007,2012,National Center for Advancing Translational Sciences,United States
R21AI077102,Impact of Bilateral Priming on Response to Unilateral Flu Vaccination,461300,2007,2011,National Institute of Allergy and Infectious Diseases,United States
K23NR010408,The Psychoneuroimmunology of Insomnia: Response to a Vaccine Challenge,420334,2007,2010,National Institute of Nursing Research,United States
R01AI075603,Diagnostic yield of induced sputum for rapid diagnosis of pulmonary tuberculosis,409744,2007,2013,National Institute of Allergy and Infectious Diseases,United States
U44AI069674,Clinical Safety and Pharmacokinetics of Sustained Release Depot Tacrolimus,1299084,2007,2019,National Institute of Allergy and Infectious Diseases,United States
R01FD003369,PHASE 1 STUDY OF SAFETY &IMMUNOGENICITY OF AN ALUM-FORMULATED RECOMBINANT RICIN,633556,2007,2012,United States Food and Drug Administration,United States
R01AI070018,Immune Reconstitution of HIV-1 Infected Zambian Children Initiating Antiretrovira,1813712,2007,2013,National Institute of Allergy and Infectious Diseases,United States
R21AI066957,"Immunity of neoantigen response in HCV, HIV, and HCV-HIV",426544,2007,2010,National Institute of Allergy and Infectious Diseases,United States
R21CA117152,Vaccination With Peptide-loaded alphaDC1s For Malignant Gliomas,564300,2007,2009,National Cancer Institute,United States
P30AI073961,Miami Center for AIDS Research,20620192,2006,2022,National Institute of Allergy and Infectious Diseases,United States
UL1RR024128,Duke CTSI,48090796,2006,2012,National Center for Advancing Translational Sciences,United States
UL1RR024160,The University of Rochester Clinical and Translational Science Institute,38732064,2006,2012,National Center for Advancing Translational Sciences,United States
U01CI000435,Pittsburgh Influenza Prevention Project,,2006,2009,Centers for Disease Control and Prevention,United States
U01CI000446,Evaluation of Masks as a Source Control NPI,,2006,2009,Centers for Disease Control and Prevention,United States
R01CA125614,Virotherapy for Relapsed Refractory Multiple Myeloma,1240272,2006,2012,National Cancer Institute,United States
U01IP000074,PiiiTCH Study,,2006,2008,Centers for Disease Control and Prevention,United States
R21AT002708,Synbiotics as Adjuvant to Influenza Vaccine in Elderly,356582,2006,2009,National Center for Complementary and Integrative Health,United States
R21CA123876,Therapeutic DNA-MVA prime boost vaccination for HPV disease,435650,2006,2010,National Cancer Institute,United States
U01CA121947,AIDS Malignancy Clinical Trials Consortium (AMC),54677484,2006,2015,National Cancer Institute,United States
P50CA121973,SPORE in Skin Cancer,22894338,2006,2019,National Cancer Institute,United States
UM1AI068614,LOC:  HIV Vaccine Trials Network,319524416,2006,2020,National Institute of Allergy and Infectious Diseases,United States
U01AI068632,International Maternal Pediatric Adolescent AIDS Clinical Trials (IMPAACT) Group,109700264,2006,2013,National Institute of Allergy and Infectious Diseases,United States
U01AI068614,Leadership Group for a Global HIV Vaccine Clinical Trials Network,181539904,2006,2013,National Institute of Allergy and Infectious Diseases,United States
R01CA112358,Dendritic Cell Vaccine Targeting Melanoma-Associated Antigens in Malignant Glioma,1275311,2006,2012,National Cancer Institute,United States
R44CA121612,New Cancer Vaccine Technology Based on DRibbles Produced by Tumor Cells,3375529,2006,2016,National Cancer Institute,United States
R21AI069363,BLyS and IFN responses to antigen challenge in human SLE,417735,2006,2010,National Institute of Allergy and Infectious Diseases,United States
R01NR010004,HIV Testing and Women's Attitudes on HIV Vaccine Trials,2184669,2006,2012,National Institute of Nursing Research,United States
UM1CA121947,AIDS Malignancy Consortium (AMC),99538896,2006,2020,National Cancer Institute,United States
R01AI066992,Induction of HIV-specific Immune Responses,2691533,2006,2012,National Institute of Allergy and Infectious Diseases,United States
R01DP000339,Mechanisms &Therapeutic Effects of Relaxation Response,1446000,2005,2010,Centers for Disease Control and Prevention,United States
U01AI065683,Genetic diversity and protective immunity to malaria infection and disease,2964305,2005,2016,National Institute of Allergy and Infectious Diseases,United States
U19AI065683,Malaria Vaccine Trials in Mali,4748457,2005,2010,National Institute of Allergy and Infectious Diseases,United States
R01DA017894,Efficacy of a Nicotine Vaccine for Smoking Cessation,4010628,2005,2007,National Institute on Drug Abuse,United States
R01ES013611,Diesel-Induced Alterations of Influenza infectivity,3694722,2005,2017,National Institute of Environmental Health Sciences,United States
R21CA115043,GM - CSF - producing tumor cell line as a CML vaccine,653914,2005,2007,National Cancer Institute,United States
R21CA105837,Multimodality Therapy for Metastatic Breast Cancer,569924,2005,2008,National Cancer Institute,United States
R01MH072556,The STIRR Intervention for Dually Diagnosed Clients,1696698,2005,2010,National Institute of Mental Health,United States
R01CA112198,"Melanoma Vaccines with Peptides, Protein and Adjuvant",1579638,2005,2011,National Cancer Institute,United States
U01AI064002,Chemoprophylaxis for HIV Prevention in  Men,41279316,2004,2013,National Institute of Allergy and Infectious Diseases,United States
U01AI063565,CMV Subunit Vaccine in Young Women at Risk,4674628,2004,2012,National Institute of Allergy and Infectious Diseases,United States
P01AI057127,Immunopathogenesis of acute and early HIV infection,8985629,2004,2010,National Institute of Allergy and Infectious Diseases,United States
P50CA108786,SPORE in Brain Cancer,12266496,2004,2010,National Cancer Institute,United States
P30AI060354,Harvard University Center for AIDS Research,60230920,2004,2024,National Institute of Allergy and Infectious Diseases,United States
R21CA091624,Autologous Dendritic Cell Vaccines in NSCLC,603827,2004,2007,National Cancer Institute,United States
R21CA099265,Peptide Booster Vaccination in A2+ Melanoma Patients,583430,2004,2007,National Cancer Institute,United States
U01CI000164,A School-Based Intervention to Reduce Lyme Disease,,2004,2009,Centers for Disease Control and Prevention,United States
R01DE015324,MAGE-A3/HPV 16 Peptide Vaccines for Head and Neck Cancer,792436,2004,2010,National Institute of Dental and Craniofacial Research,United States
R43AI058870,iMIC for HIV Research,99941,2004,2005,National Institute of Allergy and Infectious Diseases,United States
P50CA098252,SPORE in Cervical Cancer,37810968,2003,2024,National Cancer Institute,United States
R01DA017476,A Randomized Trial of Vaccine Adherence in Young IDU,2010333,2003,2008,National Institute on Drug Abuse,United States
R01DA017482,HIV Vaccine Trials in Women,1653241,2003,2007,National Institute on Drug Abuse,United States
U54HD061221,Rare Diseases Clinical Research Consortia (RDCRC) for the Rare Diseases Clinical Research Network (RDCRN) (U54 Clinical Trial Optional),14223792,2003,2024,National Institute of Child Health and Human Development,United States
U54RR019453,Rare Diseases CRC- Urea Cycle Disorders,7038501,2003,2009,National Center for Advancing Translational Sciences,United States
P50CA101451,Michigan Center for Health Communications Research II,18207004,2003,2015,National Cancer Institute,United States
R21CA105776,CTLA-4 Blockade in GM-CSF Vaccinated Patients,729356,2003,2006,National Cancer Institute,United States
P50CA101942,DF/HCC Kidney Cancer SPORE,35617792,2003,2020,National Cancer Institute,United States
R21CA105696,A Phase I/II Trial of a Therapeutic HPV Vaccine,606000,2003,2007,National Cancer Institute,United States
U19AI055794,Dendritic Cell-Based Immunotherapy for HIV Infection,1626362,2003,2013,National Institute of Allergy and Infectious Diseases,United States
U10HL074424,COPD Clinical Research Network - Data Coordinating Center,20977188,2003,2015,National Heart Lung and Blood Institute,United States
U54AI057168,Middle Atlantic Regional Center for Excellence for Biodefense and Emerging Infect,91450944,2003,2015,National Institute of Allergy and Infectious Diseases,United States
U54AI057159,New England Regional Center of Excellence in Biodefense and Emerging Infectious D,113703600,2003,2015,National Institute of Allergy and Infectious Diseases,United States
U19AI057229,"Influenza responses and repertoire in vaccination, infection and tonsil organoids.",63578120,2003,2024,National Institute of Allergy and Infectious Diseases,United States
U19AI057266,Vaccine Induced Immunity in the Young and Aged,58817920,2003,2024,National Institute of Allergy and Infectious Diseases,United States
P01AI055793,Basic and Clinical Studies of CpG ODN in HIV Disease,2201316,2003,2006,National Institute of Allergy and Infectious Diseases,United States
R01AI051355,PHASE IB TRIAL OF CYTOMEGALOVIRUS GLYCOPROTEIN B VACCINE,865817,2003,2010,National Institute of Allergy and Infectious Diseases,United States
R01AI051986,HIV Therapy &Interruption RCT in Resource Poor Clinic,983015,2003,2007,National Institute of Allergy and Infectious Diseases,United States
K23CA100691,T Cell Memory After Immunization with a HER2 DNA Vaccine,655290,2003,2009,National Cancer Institute,United States
P01AG020677,"Aging Well, Sleeping Efficiently",17511796,2003,2017,National Institute on Aging,United States
P50CA105632,Reducing Cervical Cancer in Appalachia,17226688,2003,2017,National Cancer Institute,United States
R01DA014502,SYRINGE EXCHANGE BASED HEPATITIS B VACCINATION OF IDU'S,1607768,2003,2007,National Institute on Drug Abuse,United States
U01AI053719,INDO-US Collaboration to Develop Rotavirus Vaccines,1130283,2003,2008,National Institute of Allergy and Infectious Diseases,United States
U19AI053217,CIPRA-SA:  Safeguard the household: comprehensive AIDS research: Extension,44850708,2002,2012,National Institute of Allergy and Infectious Diseases,United States
U01DE014961,Integrated Microfluidic System for Oral Diagnostics,4200000,2002,2008,National Institute of Dental and Craniofacial Research,United States
R01HL072705,Cardiovascular Status of HAART-Exposed Infants/Children,5630880,2002,2009,National Heart Lung and Blood Institute,United States
P50CA096888,SPORE in Lymphoma,13583458,2002,2010,National Cancer Institute,United States
R01MH065867,SOUTH AFRICAN ADOLESCENT HEALTH PROMOTION PROJECT,5616071,2002,2011,National Institute of Mental Health,United States
P50CA097186,The Pacific Northwest Prostate Cancer SPORE,40271988,2002,2023,National Cancer Institute,United States
R01AI049644,Interventions to Increase HBV Vaccination in STD Clinics,2997512,2002,2008,National Institute of Allergy and Infectious Diseases,United States
R01CA093714,Chemotherapy plus vaccine for metastatic breast cancer,1769241,2002,2008,National Cancer Institute,United States
M01RR016587,GENERAL CLINICAL RESEARCH CENTER,6761860,2002,2007,National Center for Advancing Translational Sciences,United States
P30CA093373,Cancer Center Support Grant P30,59376908,2002,2021,National Cancer Institute,United States
K08AI051223,Cytokine-Augmented DNA Vaccine-Elicited Immunity to HIV,447620,2002,2005,National Institute of Allergy and Infectious Diseases,United States
R01MH064882,RCT OF STEPPING STONES BEHAVIOURAL INTERVENTION FOR HIV,1458000,2002,2007,National Institute of Mental Health,United States
R01CA095648,Immunotherapy for Renal Cell Carcinoma,2261484,2002,2012,National Cancer Institute,United States
R01AI051181,Hiv Immune Reactivity 'in Vivo' and 'In Vitro',2108792,2002,2008,National Institute of Allergy and Infectious Diseases,United States
P01CA095426,Innate Immunity: Elucidation and Modulation for Cancer Therapy,29634280,2002,2017,National Cancer Institute,United States
P01CA094237,ENHANCING T CELL THERAPY OF CANCER,27835980,2001,2020,National Cancer Institute,United States
R01AI050467,Role of Immunization Site in Eliciting Mucosal Immunity,1248486,2001,2004,National Institute of Allergy and Infectious Diseases,United States
U01HL069294,BMT Clinical Research Network Data Coordinating Center,63255056,2001,2011,National Heart Lung and Blood Institute,United States
U01DK061055,Type 1 Diabetes Trialnet: Operations Coord. Center,93180848,2001,2010,National Institute of Diabetes and Digestive and Kidney Diseases,United States
R01HL069114,Chlamydia Infection as a Risk Factor for Cerebrovascula*,1422870,2001,2006,National Heart Lung and Blood Institute,United States
R21CA094523,Immunotherapy with TRICOM Modified Dendritic Cells,634872,2001,2003,National Cancer Institute,United States
P01AI049364,"DNA/MWA Immunogens, Cross-clade Immune Responses",12774926,2001,2007,National Institute of Allergy and Infectious Diseases,United States
T32HD040672,Training in Epidemiology and Clinical Trials (TECT),4168854,2001,2017,National Institute of Child Health and Human Development,United States
U10HD040498,MULTICENTER NETWORK OF NEONATAL INTENSIVE CARE UNITS,2074426,2001,2007,National Institute of Child Health and Human Development,United States
U10HD040521,MULTICENTER NETWORK OF NEONATAL INTENSIVE CARE UNITS,2292384,2001,2009,National Institute of Child Health and Human Development,United States
U10HD040492,Eunice Kennedy Shriver NICHD Cooperative Multicenter Neonatal Research Network,5423450,2001,2016,National Institute of Child Health and Human Development,United States
U10HD040689,NICHD Cooperative Multicenter Neonatal Research Network,5631441,2001,2016,National Institute of Child Health and Human Development,United States
R01CA089102,IMMUNOTHERAPY WITH RENAL TUMOR RNA TRANSFECTED  CELLS,1032504,2001,2005,National Cancer Institute,United States
R01CA088972,CEA BASED VACCINE THERAPY IN PATIENTS WITH ADVANCED CA,1465467,2001,2006,National Cancer Institute,United States
U01AI058935,Protecutive immunity to human cholera in Bangladesh,7806005,2000,2016,National Institute of Allergy and Infectious Diseases,United States
P01AI047490,NOVEL HIV VACCINES,5698191,2000,2007,National Institute of Allergy and Infectious Diseases,United States
R01AG018367,BEHAVIORAL INTERVENTION FOR HERPES ZOSTER RISK IN AGING,1316250,2000,2005,National Institute on Aging,United States
R01AI045407,DISSEMINATED TUBERCULOSIS IN HIV INFECTION,4588139,2000,2005,National Institute of Allergy and Infectious Diseases,United States
U01AI045407,Disseminated Tuberculosis in HIV Infection,4287054,2000,2008,National Institute of Allergy and Infectious Diseases,United States
R01CA088058,ALLOGENIC PANCREATIC TUMOR VACCINE CELL LINE,1599665,2000,2005,National Cancer Institute,United States
R01AG016634,RANDOMIZED TRIAL OF TAPWATER TREATMENT IN THE ELDERLY,2858456,2000,2007,National Institute on Aging,United States
R01AI047062,Assessing Laboratory Correlates of Immune Protection,3606069,2000,2008,National Institute of Allergy and Infectious Diseases,United States
P50CA083639,The University of Texas M. D. Anderson Cancer Center SPORE in Ovarian Cancer,33020950,1999,2017,National Cancer Institute,United States
U10CA081851,Comprehensive Cancer Center of Wake Forest COOP Research Base,22009600,1999,2015,National Cancer Institute,United States
R21CA082614,IMMUNE RESPONSE TO THE MUTATED GP?00 PEPTIDE (209O-2M),139348,1999,2001,National Cancer Institute,United States
R01CA082661,PHASE I TRIAL OF A PEPTIDE VACCINE AGAINST EGFRVIII,603043,1999,2006,National Cancer Institute,United States
P30CA082103,Cancer Center Support Grant,150120496,1999,2023,National Cancer Institute,United States
P01CA078673,"Immunotherapy with High Frequency, CEA Specific T Cells",13164640,1999,2010,National Cancer Institute,United States
P01AI045142,DEVELOPMENT OF A NOVEL MULTIENVELOPE AIDS VACCINE,7044139,1999,2006,National Institute of Allergy and Infectious Diseases,United States
R01AI044628,IN VIVO INDUCTION OF HIV SPECIFIC CTL BY DENDRITIC CELLS,2337090,1999,2004,National Institute of Allergy and Infectious Diseases,United States
P01AI043664,ANTIGEN DELIVERY FOR ADJUVANT HIV IMMUNOTHERAPY,3127447,1998,2006,National Institute of Allergy and Infectious Diseases,United States
N01AI085346,Malaria:Clinical Research and Trial Preparation Sites-26685346,2765994,1998,2003,National Institute of Allergy and Infectious Diseases,United States
U01HD036790,Data Ctr for the Cooperative Neonatal Research Network,21844932,1998,2008,National Institute of Child Health and Human Development,United States
U01CA076576,Phase I Trials of Anti-Cancer Agents,9098593,1998,2015,National Cancer Institute,United States
R01CA077544,Control of CMV infection post-HCT using attenuated MVA-based CMV subunit vaccine,5568224,1998,2018,National Cancer Institute,United States
P30CA076292,Moffitt Cancer Center Support Grant,63066708,1998,2022,National Cancer Institute,United States
P01CA073743,Dendritic Cell Biology and Therapy,12298725,1998,2011,National Cancer Institute,United States
K12CA076930,Career Development in Pediatric and Medical Oncology,9763326,1997,2021,National Cancer Institute,United States
R01AI041050,Control of Epidemic Influenza,4457497,1997,2009,National Institute of Allergy and Infectious Diseases,United States
U01AI041534,Understanding and Altering the Virologic Setpoint,10131316,1997,2008,National Institute of Allergy and Infectious Diseases,United States
P51OD011106,Wisconsin National Primate Research Center Support,89781568,1997,2022,Office of the Director,United States
P30CA072720,Cancer Center Support Grant,64367452,1997,2024,National Cancer Institute,United States
P50HL056384,Immune Dysregulation in Allergic Asthma,9745710,1996,2007,National Heart Lung and Blood Institute,United States
U10HD034216,Cooperative Multicenter Neonatal Research Network - UAB,6447199,1996,2016,National Institute of Child Health and Human Development,United States
P01CA068484,Therapeutic Index of Acute Lymphoblastic Leukemia,31949828,1995,2013,National Cancer Institute,United States
U01CA069853,Phase I Clinical Trials of Anti-Cancer Agents,3611323,1995,2009,National Cancer Institute,United States
U01CA069912,Phase I Clinical Trials of Anticancer Agents,10132902,1995,2014,National Cancer Institute,United States
U01CA062490,Early Clinical Trials of New Anti-Cancer Agents with Phase I Emphasis,10220664,1994,2014,National Cancer Institute,United States
U01CA062461,Phase I Studies of Targeted Anti-Cancer Therapies,7240486,1994,2015,National Cancer Institute,United States
U01CA062500,EARLY CLINICAL TRIALS OF ANTIANGIOGENESIS AGENTS,,1994,1998,National Cancer Institute,United States
R01HL051630,EXPRESSION OF TUBERCULOSIS IN THE LUNG,2217527,1993,2007,National Heart Lung and Blood Institute,United States
U01CA061498,SYSTEMIC IMMUNITY BY PARTICLE MEDIATED BRM GENE TRANSFER,,1993,2001,National Cancer Institute,United States
P30CA060553,The Robert H. Lurie Comprehensive Cancer Center,107854592,1993,2023,National Cancer Institute,United States
P50CA058204,SPORE in Prostate Cancer,21273374,1992,2010,National Cancer Institute,United States
P50CA058223,SPORE in Breast Cancer,43018240,1992,2023,National Cancer Institute,United States
M01RR007122,General Clinical Research Center,35231168,1992,2011,National Center for Advancing Translational Sciences,United States
U01CA058211,TREATMENT OF NEUROBLASTOMA WITH IL2 TRANSDUCED TUMOR,,1992,1996,National Cancer Institute,United States
R01CA057653,Melanoma vaccines using MHC-associated peptides,3388834,1992,2014,National Cancer Institute,United States
R01AI032391,Killer Cells &Viral Load in Vertical HIV Infection,2711141,1991,2010,National Institute of Allergy and Infectious Diseases,United States
P30CA054174,Cancer Therapy & Research Center at UTHSCSA,40827196,1991,2020,National Cancer Institute,United States
R01AI030904,Protective CMI mechanisms of a dual-subtype FIV vaccine,4213791,1991,2015,National Institute of Allergy and Infectious Diseases,United States
U10HD021385,Cooperative Multicenter Network of Neontal Intensive Care Units,8748209,1991,2016,National Institute of Child Health and Human Development,United States
U10HD021397,Maternal Lifestyle Study,6688404,1991,2007,National Institute of Child Health and Human Development,United States
U10HD027880,NICHD Cooperative Multicenter Neonatal Research Network,6142607,1991,2016,National Institute of Child Health and Human Development,United States
U10HD027851,Eunice Kennedy Shriver NICHD Cooperative Multicenter Neonatal Research Network,5024081,1991,2016,National Institute of Child Health and Human Development,United States
P30CA051008,Georgetown University Lombardi Comprehensive Cancer Center Support Grant,54687552,1990,2023,National Cancer Institute,United States
R37CA051323,Natural History of HPV Infection to Neoplasia,15443312,1990,2017,National Cancer Institute,United States
P30CA044579,University of Virginia Cancer Center Support Grant,52850196,1987,2022,National Cancer Institute,United States
P30CA043703,Case Comprehensive Cancer Center Support Grant,101426208,1987,2023,National Cancer Institute,United States
K12HD000850,Pediatric Scientist Development Program (K12) 2017-2022,34799756,1986,2022,National Institute of Child Health and Human Development,United States
P01AG005842,Improving Health Outcomes for an Aging Population,39924648,1986,2023,National Institute on Aging,United States
P30CA036727,Fred & Pamela Buffett Cancer Center Support Grant,35622972,1984,2021,National Cancer Institute,United States
P50NS020023,SRC on Primary Tumors of the CNS,17310368,1984,2015,National Institute of Neurological Disorders and Stroke,United States
U10CA031946,Cancer and Leukemia Group B,158397808,1982,2015,National Cancer Institute,United States
U10CA032102,Southwest Oncology Group Treatment Grant,141286976,1981,2015,National Cancer Institute,United States
P01CA030206,Hematopoietic Cell Transplantation for Hematologic Malignancies,31844534,1981,2013,National Cancer Institute,United States
P30CA033572,Cancer Center Support Grant,55374368,1981,2022,National Cancer Institute,United States
U10CA027469,Gynecologic Oncology Group,132577192,1980,2015,National Cancer Institute,United States
P30CA014089,USC Norris Comprehensive Cancer Center (Core) Grant,132882592,1980,2020,National Cancer Institute,United States
P30CA015083,Mayo Comprehensive Cancer Center Grant,110102400,1980,2024,National Cancer Institute,United States
P30CA006927,Comprehensive Cancer Center Program at Fox Chase,124246648,1979,2021,National Cancer Institute,United States
P30CA022453,Cancer Center Support Grant,48334076,1979,2020,National Cancer Institute,United States
M01RR000070,General Clinical Research Center,32397614,1978,2008,National Center for Advancing Translational Sciences,United States
M01RR000032,General Clinical Research Center,23574104,1978,2008,National Center for Advancing Translational Sciences,United States
M01RR000633,GENERAL CLINICAL RESEARCH CENTER,20980404,1978,2007,National Center for Advancing Translational Sciences,United States
P30CA023074,University of Arizona Cancer Center - Cancer Center Support Grant,81123232,1978,2021,National Cancer Institute,United States
P01CA023766,Immunobiology of Allogeneic Hematopoietic Cell Transplantation,51138044,1978,2024,National Cancer Institute,United States
P30CA016672,Cancer Center Support Grant,207129520,1978,2024,National Cancer Institute,United States
P30CA023108,Cancer Center Support Grant,67678440,1978,2024,National Cancer Institute,United States
P30CA016056,Roswell Park Cancer Center Support Grant,83418016,1978,2024,National Cancer Institute,United States
U10CA021115,Eastern Cooperative Oncology Group Operations Office,132636432,1978,2016,National Cancer Institute,United States
P30CA006973,Regional Oncology Research Center,151138480,1978,2022,National Cancer Institute,United States
M01RR000042,General Clinical Research Center,40798736,1977,2007,National Center for Advancing Translational Sciences,United States
P30CA006516,Dana-Farber/Harvard Cancer Center,238734720,1977,2021,National Cancer Institute,United States
P30CA016042,Cancer Center Support Grant,94728944,1977,2025,National Cancer Institute,United States
P30CA021765,Cancer Center Support Grant (CCSG),117691216,1977,2024,National Cancer Institute,United States
P30CA016058,Cancer Center Support Grant,90288128,1977,2020,National Cancer Institute,United States
P30CA013330,Core Support for Cancer Center,82920984,1977,2022,National Cancer Institute,United States
P30CA014599,Cancer Center Support Grant,89704640,1977,2023,National Cancer Institute,United States
P30CA008748,Cancer Center Support Grant,250916048,1977,2023,National Cancer Institute,United States
P30CA015704,Cancer Center Support Grant,216676224,1977,2024,National Cancer Institute,United States
P01CA015396,Bone  Marrow Transplantation in Human Disease,38146988,1976,2019,National Cancer Institute,United States
P30CA014236,Cancer Center Support Grant,130248544,1976,2024,National Cancer Institute,United States
P30CA012197,Cancer Center Support Grant,38103464,1976,2022,National Cancer Institute,United States
P01HL009011,A RESEARCH AND RESOURCE PROGRAM IN BLOOD,,1976,1986,National Heart Lung and Blood Institute,United States
P30CA014520,UW Comprehensive CANCER CENTER SUPPORT,103526592,1976,2023,National Cancer Institute,United States
M01RR000030,GENERAL CLINICAL RESEARCH CENTER,20045440,1975,2006,National Center for Advancing Translational Sciences,United States
M01RR000039,GENERAL CLINICAL RESEARCH CENTER,21262572,1974,2007,National Center for Advancing Translational Sciences,United States
M01RR000044,General Clinical Research Center,13806891,1974,2006,National Center for Advancing Translational Sciences,United States
N/A,Development of recombinant TB vaccine,101459,1999,2003,Canadian Institutes of Health Research,Canada
N/A,Hepatitis C: Vaccines and Immunotherapy,9841,2000,2001,Canadian Institutes of Health Research,Canada
N/A,DNA vaccine for chlamydia,67329,1999,2001,Canadian Institutes of Health Research,Canada
211347,nd,1514,2016,2017,Fonds de Recherche du Québec – Nature et technologies,Canada
VIRX0201,New Generation Recombinant Viral Vaccine Vectors,81841,2002,2003,"Ministry of Business, Innovation and Employment",New Zealand
SWSS0402,The automated synthesis of tuberculosis vaccines,182350,2004,2007,"Ministry of Business, Innovation and Employment",New Zealand
2010-0029242,신변종 인플루엔자 바이러스 제어 연구,0,2010,2011,National Research Foundation of Korea,South Korea
762208,Mucosal Vaccine against HIV-1 Infection,66584,2008,2010,University Grants Committee,China
AF/090/97,Oral DNA Vaccines,638466,1997,1999,Innovation and Technology Commission,China
N/A,Microcontainers for oral vaccine delivery,579532,2014,2014,Danish Agency for Science and Higher Education,Denmark
N/A,Microcontainers for oral vaccine delivery,88992,2014,2014,Danish Agency for Science and Higher Education,Denmark
VM0108,EC collaborative study for tetanus vaccines,23691,1992,1993,Department for Environment Food and Rural Affairs,United Kingdom
SE2805,Antigenic properties of vaccine virus strains,230794,1996,1999,Department for Environment Food and Rural Affairs,United Kingdom
SE1203,Alternative methods of formulating FMDV vaccines,74889,1990,1993,Department for Environment Food and Rural Affairs,United Kingdom
SE1201,To maintain the footandmouth vaccine bank,552165,1990,1993,Department for Environment Food and Rural Affairs,United Kingdom
609967,Vaccins et adjuvants pour la vache laitière,3391,2016,2017,Natural Sciences and Engineering Research Council,Canada
606399,Prototype vaccine against sea lice,3391,2016,2017,Natural Sciences and Engineering Research Council,Canada
604388,Thermal Stabilization of Phage and Vaccines,3391,2016,2017,Natural Sciences and Engineering Research Council,Canada
159106,A DNA Vaccine to Prevent Schistosomiasis,71382,2001,2004,National Health and Medical Research Council,Australia
890745,Immune response to malaria vaccine candidate,229287,1989,1991,National Health and Medical Research Council,Australia
900006,Development of a contraceptive vaccine,46740,1990,1991,National Health and Medical Research Council,Australia
920969,Challenging the malaria vaccine development strategy,78134,1992,1998,National Health and Medical Research Council,Australia
596899,Diabetes Vaccine Development Centre (DVDC),5147415,2010,2017,National Health and Medical Research Council,Australia
900655,Vivax malaria sporozoite vaccine development,84188,1990,1992,National Health and Medical Research Council,Australia
920275,New vaccines produced by genetic engineering,136593,1992,1994,National Health and Medical Research Council,Australia
997640,A Mucosal HIV Polytype Vaccine,33003,1999,2001,National Health and Medical Research Council,Australia
960338,HIV (AIDS) vaccine delivery vectors,120675,1996,1998,National Health and Medical Research Council,Australia
920330,A vaccine for cervical cancer,133297,1992,1994,National Health and Medical Research Council,Australia
910123,Development of an oral pneumococcal vaccine.,68538,1991,1993,National Health and Medical Research Council,Australia
910471,Development of new types of vaccines.,116900,1991,1993,National Health and Medical Research Council,Australia
209187,DNA and avipox vaccines for HIV.,64693,2002,2007,National Health and Medical Research Council,Australia
456152,Characterisation of Neisseria meningitidis vaccine candidates,298213,2007,2013,National Health and Medical Research Council,Australia
